symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
GBPNZD,2023Q1,43,21,48.84,0.387,1.82,True
GBPNZD,2023Q2,38,16,42.11,0.205,1.4,False
GBPNZD,2023Q3,44,22,50.0,0.397,1.82,True
GBPNZD,2023Q4,34,13,38.24,0.139,1.24,False
GBPNZD,2024Q1,33,14,42.42,0.139,1.26,False
GBPNZD,2024Q2,42,17,40.48,0.012,1.02,False
GBPNZD,2024Q3,46,27,58.7,0.626,2.59,True
GBPNZD,2024Q4,35,17,48.57,0.319,1.62,True
GBPNZD,2025Q1,53,20,37.74,0.051,1.09,False
GBPNZD,2025Q2,63,23,36.51,0.071,1.12,False
GBPNZD,2025Q3,64,29,45.31,0.244,1.46,False
GBPNZD,2025Q4,45,15,33.33,-0.03,0.95,False
GBPNZD,2026Q1,36,16,44.44,0.265,1.5,False
