symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
GBPNZD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,535,42.43,0.273,1.32,23.1,5.97
GBPNZD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,394,46.19,0.386,1.5,15.4,5.89
GBPNZD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,468,42.09,0.263,1.29,23.1,5.63
GBPNZD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,345,46.67,0.4,1.53,7.7,2.51
GBPNZD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1840,42.61,0.278,1.31,15.4,2.3
GBPNZD,OR,f_candle|f_ema,10,1,0.9,NY07-16,1725,42.55,0.277,1.29,15.4,2.24
GBPNZD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,336,46.13,0.384,1.48,7.7,1.98
GBPNZD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,381,45.41,0.362,1.46,7.7,1.25
GBPNZD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,367,43.87,0.316,1.35,7.7,-0.28
GBPNZD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,600,40.0,0.2,1.2,15.4,-0.31
GBPNZD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,422,43.36,0.301,1.35,7.7,-0.79
GBPNZD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,451,43.24,0.297,1.33,7.7,-0.92
GBPNZD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,389,43.19,0.296,1.32,7.7,-0.97
GBPNZD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1443,42.9,0.287,1.32,7.7,-1.26
GBPNZD,OR,f_candle|f_ema,10,1,0.9,NY08-12,1354,42.84,0.285,1.29,7.7,-1.32
GBPNZD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1459,42.63,0.279,1.28,7.7,-1.52
GBPNZD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1551,42.62,0.279,1.3,7.7,-1.54
GBPNZD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,685,40.88,0.226,1.25,7.7,-3.28
