symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
GBPNZD,"{'adx_min': 18.0, 'add_vol_confirm': True}",576,43.4,0.302,1.4,30.8,10.79
GBPNZD,{'require_h1_rsi_align': True},443,45.37,0.361,1.49,23.1,8.91
GBPNZD,{'add_vol_confirm': True},618,44.01,0.32,1.43,23.1,7.55
GBPNZD,{'adx_min': 22.0},387,43.15,0.295,1.38,23.1,6.69
GBPNZD,{},535,42.43,0.273,1.32,23.1,5.97
GBPNZD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",405,44.2,0.326,1.44,15.4,3.89
GBPNZD,{'adx_min': 18.0},494,41.5,0.245,1.28,15.4,1.19
GBPNZD,{'require_macd_align': True},376,41.49,0.245,1.19,7.7,-2.66
GBPNZD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",314,45.22,0.357,1.4,0.0,-2.78
GBPNZD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",233,44.64,0.339,1.36,0.0,-3.36
GBPNZD,"{'adx_min': 18.0, 'require_macd_align': True}",330,39.7,0.191,1.11,0.0,-8.3
