entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 19:00:00,2023-01-03 19:10:00,L,1.91646,1.91867,1.91535,1.91867,2.0,tp,2.59,0.89,1.7,1.7
2023-01-03 19:15:00,2023-01-03 19:25:00,L,1.91837,1.91535,1.91535,1.92441,-1.0,sl,-3.54,0.89,-4.43,-2.73
2023-01-03 21:55:00,2023-01-03 23:45:00,L,1.91601,1.91466,1.91466,1.9187,-1.0,sl,-1.57,0.89,-2.46,-5.19
2023-01-04 17:05:00,2023-01-05 01:05:00,L,1.9068,1.91741,1.89933,1.92174,1.421,time,12.41,0.89,11.52,6.33
2023-01-06 14:35:00,2023-01-06 15:25:00,S,1.91193,1.9075,1.91415,1.9075,2.0,tp,5.19,0.89,4.3,10.63
2023-01-10 16:05:00,2023-01-10 17:30:00,S,1.90667,1.91211,1.91211,1.89579,-1.0,sl,-6.37,0.89,-7.26,3.37
2023-01-11 16:15:00,2023-01-11 17:00:00,L,1.90737,1.91349,1.90431,1.91349,2.0,tp,7.16,0.89,6.27,9.64
2023-01-11 21:00:00,2023-01-12 00:00:00,L,1.90841,1.90586,1.90586,1.9135,-1.0,sl,-2.98,0.89,-3.87,5.77
2023-01-12 16:05:00,2023-01-12 16:25:00,L,1.90824,1.9129,1.90591,1.9129,2.0,tp,5.45,0.89,4.56,10.33
2023-01-12 16:30:00,2023-01-12 17:25:00,L,1.91111,1.90592,1.90592,1.92148,-1.0,sl,-6.07,0.89,-6.96,3.37
2023-01-12 18:05:00,2023-01-13 02:05:00,L,1.91076,1.91403,1.90569,1.92089,0.646,time,3.83,0.89,2.94,6.31
2023-01-13 19:35:00,2023-01-16 00:00:00,L,1.91669,1.91407,1.91407,1.92193,-1.0,sl,-3.06,0.89,-3.95,2.36
2023-01-19 16:50:00,2023-01-19 20:25:00,L,1.93288,1.94049,1.92908,1.94049,2.0,tp,8.9,0.89,8.01,10.37
2023-01-23 16:10:00,2023-01-23 16:20:00,S,1.91243,1.91415,1.91415,1.90898,-1.0,sl,-2.02,0.89,-2.91,7.46
2023-01-23 16:50:00,2023-01-24 00:50:00,S,1.91009,1.90653,1.91627,1.89774,0.576,time,4.17,0.89,3.28,10.74
2023-02-02 17:50:00,2023-02-03 01:50:00,S,1.89097,1.88634,1.89552,1.88187,1.018,time,5.42,0.89,4.53,15.27
2023-02-03 14:30:00,2023-02-03 14:45:00,S,1.89303,1.89105,1.89402,1.89105,2.0,tp,2.31,0.89,1.42,16.69
2023-02-07 15:20:00,2023-02-07 15:25:00,S,1.90125,1.90252,1.90252,1.89872,-1.0,sl,-1.48,0.89,-2.37,14.32
2023-02-07 15:40:00,2023-02-07 15:50:00,S,1.90251,1.90354,1.90354,1.90045,-1.0,sl,-1.2,0.89,-2.09,12.23
2023-02-07 16:00:00,2023-02-07 16:15:00,S,1.90323,1.90429,1.90429,1.90111,-1.0,sl,-1.24,0.89,-2.13,10.1
2023-02-10 15:30:00,2023-02-10 15:30:00,L,1.91283,1.9118,1.9118,1.91488,-1.0,sl,-1.2,0.89,-2.09,8.01
2023-02-13 15:50:00,2023-02-13 16:40:00,S,1.90812,1.90655,1.9089,1.90655,2.0,tp,1.83,0.89,0.94,8.95
2023-02-14 22:10:00,2023-02-15 00:00:00,L,1.92048,1.91872,1.91872,1.92401,-1.0,sl,-2.06,0.89,-2.95,6.0
2023-02-16 16:10:00,2023-02-17 00:00:00,L,1.91618,1.91291,1.91291,1.92272,-1.0,sl,-3.82,0.89,-4.71,1.29
2023-02-20 14:15:00,2023-02-20 14:20:00,L,1.92517,1.92653,1.92449,1.92653,2.0,tp,1.59,0.89,0.7,1.99
2023-02-20 15:00:00,2023-02-20 15:30:00,L,1.92555,1.92451,1.92451,1.92764,-1.0,sl,-1.22,0.89,-2.11,-0.12
2023-02-20 15:50:00,2023-02-20 17:50:00,L,1.92528,1.92226,1.92226,1.93131,-1.0,sl,-3.53,0.89,-4.42,-4.54
2023-02-22 14:10:00,2023-02-22 14:25:00,L,1.94054,1.93944,1.93944,1.94275,-1.0,sl,-1.29,0.89,-2.18,-6.72
2023-02-22 14:45:00,2023-02-22 15:20:00,L,1.93907,1.94187,1.93767,1.94187,2.0,tp,3.28,0.89,2.39,-4.33
2023-02-22 15:25:00,2023-02-22 17:05:00,L,1.94171,1.93767,1.93767,1.94979,-1.0,sl,-4.73,0.89,-5.62,-9.95
2023-02-24 14:05:00,2023-02-24 22:05:00,L,1.93476,1.93705,1.92996,1.94437,0.477,time,2.68,0.89,1.79,-8.16
2023-03-06 16:05:00,2023-03-06 18:20:00,L,1.94063,1.9455,1.93819,1.9455,2.0,tp,5.7,0.89,4.81,-3.35
2023-03-10 15:50:00,2023-03-10 16:45:00,L,1.95726,1.96347,1.95416,1.96347,2.0,tp,7.26,0.89,6.37,3.02
2023-03-16 15:05:00,2023-03-16 17:20:00,L,1.95365,1.95976,1.95059,1.95976,2.0,tp,7.15,0.89,6.26,9.28
2023-03-21 22:30:00,2023-03-21 22:30:00,L,1.97272,1.97224,1.97224,1.97367,-1.0,sl,-0.56,0.89,-1.45,7.83
2023-03-22 18:05:00,2023-03-22 19:55:00,L,1.96779,1.97199,1.96569,1.97199,2.0,tp,4.92,0.89,4.03,11.86
2023-03-29 17:25:00,2023-03-29 17:25:00,L,1.97726,1.97645,1.97645,1.97888,-1.0,sl,-0.95,0.89,-1.84,10.02
2023-03-29 17:50:00,2023-03-30 00:00:00,L,1.97834,1.9757,1.9757,1.98361,-1.0,sl,-3.09,0.89,-3.98,6.04
2023-03-30 18:35:00,2023-03-31 00:00:00,L,1.97879,1.97664,1.97664,1.9831,-1.0,sl,-2.52,0.89,-3.41,2.63
2023-04-04 17:45:00,2023-04-04 20:15:00,L,1.98313,1.98137,1.98137,1.98665,-1.0,sl,-2.06,0.89,-2.95,-0.32
2023-04-04 20:35:00,2023-04-04 21:05:00,L,1.98188,1.98454,1.98055,1.98454,2.0,tp,3.11,0.89,2.22,1.9
2023-04-10 15:55:00,2023-04-10 23:55:00,L,1.99177,1.99109,1.98885,1.9976,-0.233,time,-0.8,0.89,-1.69,0.21
2023-04-12 16:25:00,2023-04-12 20:45:00,L,2.00087,2.00968,1.99646,2.00968,2.0,tp,10.31,0.89,9.42,9.63
2023-04-17 17:10:00,2023-04-17 17:30:00,L,2.00451,2.00703,2.00325,2.00703,2.0,tp,2.94,0.89,2.05,11.68
2023-04-17 17:35:00,2023-04-17 17:50:00,L,2.00594,2.00325,2.00325,2.01133,-1.0,sl,-3.15,0.89,-4.04,7.64
2023-04-17 18:35:00,2023-04-17 18:50:00,L,2.00266,2.00165,2.00165,2.00468,-1.0,sl,-1.18,0.89,-2.07,5.57
2023-04-17 19:05:00,2023-04-17 22:25:00,L,2.00264,2.00099,2.00099,2.00593,-1.0,sl,-1.93,0.89,-2.82,2.75
2023-04-17 22:35:00,2023-04-17 22:55:00,L,2.00151,2.00082,2.00082,2.0029,-1.0,sl,-0.81,0.89,-1.7,1.05
2023-04-19 16:00:00,2023-04-20 00:00:00,L,2.00445,2.00393,2.00061,2.01213,-0.135,time,-0.61,0.89,-1.5,-0.45
2023-04-20 14:15:00,2023-04-20 17:00:00,L,2.0144,2.01075,2.01075,2.0217,-1.0,sl,-4.27,0.89,-5.16,-5.61
2023-04-20 18:10:00,2023-04-20 22:45:00,L,2.01112,2.01583,2.00876,2.01583,2.0,tp,5.51,0.89,4.62,-0.99
2023-04-21 17:20:00,2023-04-21 17:45:00,L,2.01677,2.01892,2.01569,2.01892,2.0,tp,2.52,0.89,1.63,0.64
2023-04-21 17:50:00,2023-04-21 22:45:00,L,2.01988,2.02822,2.01571,2.02822,2.0,tp,9.76,0.89,8.87,9.51
2023-04-24 22:15:00,2023-04-24 22:35:00,L,2.02443,2.02396,2.02396,2.02537,-1.0,sl,-0.55,0.89,-1.44,8.07
2023-04-27 21:20:00,2023-04-28 00:00:00,L,2.03267,2.03117,2.03117,2.03567,-1.0,sl,-1.76,0.89,-2.65,5.42
2023-04-28 22:25:00,2023-05-01 00:10:00,L,2.03114,2.03024,2.03024,2.03294,-1.0,sl,-1.05,0.89,-1.94,3.48
2023-05-10 20:55:00,2023-05-10 21:10:00,S,1.98743,1.98609,1.9881,1.98609,2.0,tp,1.57,0.89,0.68,4.16
2023-05-10 21:15:00,2023-05-11 03:00:00,S,1.98577,1.98113,1.98809,1.98113,2.0,tp,5.43,0.89,4.54,8.7
2023-05-12 16:10:00,2023-05-12 17:00:00,L,2.00753,2.00981,2.00639,2.00981,2.0,tp,2.67,0.89,1.78,10.48
2023-05-15 19:25:00,2023-05-15 20:05:00,L,2.01064,2.00975,2.00975,2.01241,-1.0,sl,-1.04,0.89,-1.93,8.55
2023-05-15 20:50:00,2023-05-15 20:55:00,L,2.00878,2.00839,2.00839,2.00956,-1.0,sl,-0.46,0.89,-1.35,7.2
2023-05-15 21:55:00,2023-05-15 22:10:00,L,2.00851,2.008,2.008,2.00953,-1.0,sl,-0.6,0.89,-1.49,5.71
