entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-18 20:00:00,2026-02-18 20:55:00,L,2.25948,2.26222,2.25811,2.26222,2.0,tp,3.21,0.89,2.32,2.32
2026-02-18 21:00:00,2026-02-19 04:00:00,L,2.26181,2.25854,2.25854,2.26836,-1.0,sl,-3.83,0.89,-4.72,-2.4
2026-02-25 16:50:00,2026-02-25 17:50:00,L,2.2621,2.26055,2.26055,2.26519,-1.0,sl,-1.81,0.89,-2.7,-5.1
2026-02-26 17:20:00,2026-02-26 17:20:00,S,2.2653,2.26577,2.26577,2.26437,-1.0,sl,-0.55,0.89,-1.44,-6.54
2026-02-26 17:30:00,2026-02-26 17:45:00,S,2.26507,2.26258,2.26632,2.26258,2.0,tp,2.92,0.89,2.03,-4.51
2026-02-26 17:50:00,2026-02-26 20:40:00,S,2.262,2.25331,2.26635,2.25331,2.0,tp,10.17,0.89,9.28,4.77
2026-02-27 20:40:00,2026-02-27 21:20:00,S,2.24601,2.2466,2.2466,2.24482,-1.0,sl,-0.7,0.89,-1.59,3.18
2026-03-06 20:55:00,2026-03-08 23:00:00,L,2.26879,2.27294,2.26672,2.27294,2.0,tp,4.85,0.89,3.96,7.14
2026-03-10 15:05:00,2026-03-10 15:40:00,L,2.26388,2.26712,2.26226,2.26712,2.0,tp,3.79,0.89,2.9,10.04
2026-03-11 17:20:00,2026-03-12 00:20:00,L,2.26434,2.26964,2.26169,2.26964,2.0,tp,6.2,0.89,5.31,15.35
2026-03-17 16:05:00,2026-03-17 23:15:00,L,2.2784,2.28178,2.27671,2.28178,2.0,tp,3.95,0.89,3.06,18.41
2026-03-18 16:35:00,2026-03-18 17:00:00,L,2.28265,2.2807,2.2807,2.28655,-1.0,sl,-2.28,0.89,-3.17,15.24
2026-03-18 18:00:00,2026-03-18 20:00:00,L,2.28156,2.28659,2.27905,2.28659,2.0,tp,5.88,0.89,4.99,20.23
2026-03-19 21:45:00,2026-03-19 23:10:00,L,2.28686,2.28447,2.28447,2.29164,-1.0,sl,-2.79,0.89,-3.68,16.55
2026-03-23 14:15:00,2026-03-23 16:00:00,L,2.29895,2.28933,2.28933,2.31818,-1.0,sl,-11.25,0.89,-12.14,4.41
2026-03-23 17:10:00,2026-03-23 17:35:00,L,2.28771,2.29181,2.28566,2.29181,2.0,tp,4.79,0.89,3.9,8.31
2026-03-23 17:55:00,2026-03-24 01:55:00,L,2.2916,2.29325,2.28566,2.30348,0.278,time,1.93,0.89,1.04,9.35
2026-03-25 16:55:00,2026-03-26 00:55:00,L,2.29999,2.30149,2.29731,2.30535,0.559,time,1.75,0.89,0.86,10.21
2026-03-31 14:55:00,2026-03-31 18:00:00,L,2.31105,2.30923,2.30923,2.31469,-1.0,sl,-2.13,0.89,-3.02,7.19
2026-04-02 14:05:00,2026-04-02 14:45:00,L,2.31132,2.31383,2.31006,2.31383,2.0,tp,2.94,0.89,2.05,9.24
2026-04-02 17:45:00,2026-04-02 17:45:00,L,2.3086,2.31031,2.30774,2.31031,2.0,tp,2.0,0.89,1.11,10.35
2026-04-02 17:50:00,2026-04-03 01:50:00,L,2.31026,2.31313,2.30775,2.31528,1.143,time,3.36,0.89,2.47,12.82
2026-04-03 15:40:00,2026-04-03 18:20:00,L,2.31679,2.32063,2.31487,2.32063,2.0,tp,4.49,0.89,3.6,16.42
2026-04-07 23:00:00,2026-04-07 23:40:00,L,2.32122,2.31997,2.31997,2.32372,-1.0,sl,-1.46,0.89,-2.35,14.07
2026-04-10 16:40:00,2026-04-10 17:00:00,L,2.29782,2.29954,2.29696,2.29954,2.0,tp,2.01,0.89,1.12,15.19
2026-04-10 17:30:00,2026-04-10 17:45:00,L,2.2971,2.29869,2.2963,2.29869,2.0,tp,1.86,0.89,0.97,16.16
2026-04-10 17:50:00,2026-04-10 18:40:00,L,2.29873,2.30362,2.29628,2.30362,2.0,tp,5.72,0.89,4.83,20.99
2026-04-13 17:50:00,2026-04-13 19:30:00,L,2.3028,2.30183,2.30183,2.30475,-1.0,sl,-1.14,0.89,-2.03,18.96
