entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 19:00:00,2023-01-03 19:10:00,L,1.91646,1.91867,1.91535,1.91867,2.0,tp,2.59,0.89,1.7,1.7
2023-01-03 19:15:00,2023-01-03 19:25:00,L,1.91837,1.91535,1.91535,1.92441,-1.0,sl,-3.54,0.89,-4.43,-2.73
2023-01-03 19:40:00,2023-01-03 19:45:00,L,1.91614,1.91491,1.91491,1.9186,-1.0,sl,-1.44,0.89,-2.33,-5.06
2023-01-04 17:05:00,2023-01-05 01:05:00,L,1.9068,1.91741,1.89933,1.92174,1.421,time,12.41,0.89,11.52,6.46
2023-01-06 14:35:00,2023-01-06 15:25:00,S,1.91193,1.9075,1.91415,1.9075,2.0,tp,5.19,0.89,4.3,10.76
2023-01-06 15:30:00,2023-01-06 23:30:00,S,1.90159,1.90465,1.91419,1.87638,-0.243,time,-3.58,0.89,-4.47,6.29
2023-01-10 16:05:00,2023-01-10 17:30:00,S,1.90667,1.91211,1.91211,1.89579,-1.0,sl,-6.37,0.89,-7.26,-0.97
2023-01-11 16:05:00,2023-01-11 16:50:00,L,1.90634,1.9104,1.90431,1.9104,2.0,tp,4.75,0.89,3.86,2.89
2023-01-11 16:55:00,2023-01-12 00:55:00,L,1.90992,1.907,1.90467,1.92041,-0.557,time,-3.42,0.89,-4.31,-1.42
2023-01-12 16:05:00,2023-01-12 16:25:00,L,1.90824,1.9129,1.90591,1.9129,2.0,tp,5.45,0.89,4.56,3.14
2023-01-12 16:30:00,2023-01-12 17:25:00,L,1.91111,1.90592,1.90592,1.92148,-1.0,sl,-6.07,0.89,-6.96,-3.82
2023-01-13 19:35:00,2023-01-16 00:00:00,L,1.91669,1.91407,1.91407,1.92193,-1.0,sl,-3.06,0.89,-3.95,-7.77
2023-01-19 16:35:00,2023-01-19 17:40:00,L,1.93071,1.93396,1.92909,1.93396,2.0,tp,3.8,0.89,2.91,-4.86
2023-01-19 17:45:00,2023-01-19 20:25:00,L,1.93389,1.94026,1.93071,1.94026,2.0,tp,7.45,0.89,6.56,1.7
2023-01-23 16:10:00,2023-01-23 16:20:00,S,1.91243,1.91415,1.91415,1.90898,-1.0,sl,-2.02,0.89,-2.91,-1.21
2023-01-23 16:40:00,2023-01-23 17:55:00,S,1.91293,1.9063,1.91625,1.9063,2.0,tp,7.76,0.89,6.87,5.66
2023-02-02 17:50:00,2023-02-03 01:50:00,S,1.89097,1.88634,1.89552,1.88187,1.018,time,5.42,0.89,4.53,10.19
2023-02-03 14:45:00,2023-02-03 15:30:00,S,1.89193,1.89399,1.89399,1.8878,-1.0,sl,-2.41,0.89,-3.3,6.89
2023-02-07 15:20:00,2023-02-07 15:25:00,S,1.90125,1.90252,1.90252,1.89872,-1.0,sl,-1.48,0.89,-2.37,4.52
2023-02-07 15:40:00,2023-02-07 15:50:00,S,1.90251,1.90354,1.90354,1.90045,-1.0,sl,-1.2,0.89,-2.09,2.43
2023-02-07 16:00:00,2023-02-07 16:15:00,S,1.90323,1.90429,1.90429,1.90111,-1.0,sl,-1.24,0.89,-2.13,0.3
2023-02-07 19:05:00,2023-02-07 19:45:00,S,1.90541,1.90296,1.90663,1.90296,2.0,tp,2.86,0.89,1.97,2.27
2023-02-10 15:25:00,2023-02-10 15:30:00,L,1.91263,1.91187,1.91187,1.91415,-1.0,sl,-0.89,0.89,-1.78,0.49
2023-02-10 15:45:00,2023-02-10 16:15:00,L,1.91225,1.91143,1.91143,1.91389,-1.0,sl,-0.96,0.89,-1.85,-1.36
2023-02-10 16:30:00,2023-02-10 16:40:00,L,1.91183,1.91378,1.91086,1.91378,2.0,tp,2.28,0.89,1.39,0.03
2023-02-13 15:50:00,2023-02-13 16:40:00,S,1.90812,1.90655,1.9089,1.90655,2.0,tp,1.83,0.89,0.94,0.97
2023-02-13 16:45:00,2023-02-13 17:05:00,S,1.90661,1.90891,1.90891,1.90201,-1.0,sl,-2.69,0.89,-3.58,-2.61
2023-02-16 16:05:00,2023-02-16 17:40:00,L,1.91544,1.92051,1.9129,1.92051,2.0,tp,5.94,0.89,5.05,2.44
2023-02-20 14:15:00,2023-02-20 14:20:00,L,1.92517,1.92653,1.92449,1.92653,2.0,tp,1.59,0.89,0.7,3.14
2023-02-20 15:50:00,2023-02-20 17:50:00,L,1.92528,1.92226,1.92226,1.93131,-1.0,sl,-3.53,0.89,-4.42,-1.28
2023-02-22 14:10:00,2023-02-22 14:25:00,L,1.94054,1.93944,1.93944,1.94275,-1.0,sl,-1.29,0.89,-2.18,-3.46
2023-02-22 14:45:00,2023-02-22 15:20:00,L,1.93907,1.94187,1.93767,1.94187,2.0,tp,3.28,0.89,2.39,-1.07
2023-02-22 15:25:00,2023-02-22 17:05:00,L,1.94171,1.93767,1.93767,1.94979,-1.0,sl,-4.73,0.89,-5.62,-6.69
2023-02-24 14:05:00,2023-02-24 22:05:00,L,1.93476,1.93705,1.92996,1.94437,0.477,time,2.68,0.89,1.79,-4.9
2023-03-06 15:25:00,2023-03-06 15:25:00,L,1.94001,1.93892,1.93892,1.94219,-1.0,sl,-1.27,0.89,-2.16,-7.06
2023-03-06 16:05:00,2023-03-06 18:20:00,L,1.94063,1.9455,1.93819,1.9455,2.0,tp,5.7,0.89,4.81,-2.25
2023-03-10 15:50:00,2023-03-10 16:45:00,L,1.95726,1.96347,1.95416,1.96347,2.0,tp,7.26,0.89,6.37,4.12
2023-03-10 16:50:00,2023-03-12 23:55:00,L,1.96494,1.96619,1.95608,1.98265,0.141,time,1.46,0.89,0.57,4.69
2023-03-16 15:05:00,2023-03-16 17:20:00,L,1.95365,1.95976,1.95059,1.95976,2.0,tp,7.15,0.89,6.26,10.95
2023-03-22 18:05:00,2023-03-22 19:55:00,L,1.96779,1.97199,1.96569,1.97199,2.0,tp,4.92,0.89,4.03,14.98
2023-03-28 14:10:00,2023-03-28 22:10:00,L,1.97701,1.9746,1.97308,1.98486,-0.614,time,-2.82,0.89,-3.71,11.27
2023-03-29 17:25:00,2023-03-29 17:25:00,L,1.97726,1.97645,1.97645,1.97888,-1.0,sl,-0.95,0.89,-1.84,9.43
2023-03-29 17:35:00,2023-03-30 00:00:00,L,1.97745,1.9757,1.9757,1.98094,-1.0,sl,-2.04,0.89,-2.93,6.5
2023-04-04 17:10:00,2023-04-04 17:15:00,L,1.98348,1.98227,1.98227,1.98589,-1.0,sl,-1.41,0.89,-2.3,4.2
2023-04-04 17:25:00,2023-04-04 18:15:00,L,1.98261,1.98513,1.98135,1.98513,2.0,tp,2.94,0.89,2.05,6.25
2023-04-10 15:55:00,2023-04-10 23:55:00,L,1.99177,1.99109,1.98885,1.9976,-0.233,time,-0.8,0.89,-1.69,4.56
2023-04-12 16:10:00,2023-04-12 16:40:00,L,1.99887,2.00371,1.99645,2.00371,2.0,tp,5.66,0.89,4.77,9.33
2023-04-12 16:45:00,2023-04-13 00:45:00,L,2.00305,2.00714,1.99646,2.01622,0.621,time,4.79,0.89,3.9,13.23
2023-04-17 17:00:00,2023-04-17 17:50:00,L,2.0048,2.00324,2.00324,2.00791,-1.0,sl,-1.82,0.89,-2.71,10.52
2023-04-17 18:35:00,2023-04-17 18:50:00,L,2.00266,2.00165,2.00165,2.00468,-1.0,sl,-1.18,0.89,-2.07,8.45
2023-04-17 19:05:00,2023-04-17 22:25:00,L,2.00264,2.00099,2.00099,2.00593,-1.0,sl,-1.93,0.89,-2.82,5.63
2023-04-19 16:00:00,2023-04-20 00:00:00,L,2.00445,2.00393,2.00061,2.01213,-0.135,time,-0.61,0.89,-1.5,4.13
2023-04-20 14:15:00,2023-04-20 17:00:00,L,2.0144,2.01075,2.01075,2.0217,-1.0,sl,-4.27,0.89,-5.16,-1.03
2023-04-20 17:10:00,2023-04-20 17:10:00,L,2.01097,2.01023,2.01023,2.01246,-1.0,sl,-0.87,0.89,-1.76,-2.79
2023-04-20 18:10:00,2023-04-20 22:45:00,L,2.01112,2.01583,2.00876,2.01583,2.0,tp,5.51,0.89,4.62,1.83
2023-04-21 17:05:00,2023-04-21 17:10:00,L,2.01893,2.0164,2.0164,2.02398,-1.0,sl,-2.95,0.89,-3.84,-2.01
2023-04-21 17:20:00,2023-04-21 17:45:00,L,2.01677,2.01892,2.01569,2.01892,2.0,tp,2.52,0.89,1.63,-0.38
2023-04-21 17:50:00,2023-04-21 22:45:00,L,2.01988,2.02822,2.01571,2.02822,2.0,tp,9.76,0.89,8.87,8.49
2023-05-10 20:55:00,2023-05-10 21:10:00,S,1.98743,1.98609,1.9881,1.98609,2.0,tp,1.57,0.89,0.68,9.17
2023-05-10 21:15:00,2023-05-11 03:00:00,S,1.98577,1.98113,1.98809,1.98113,2.0,tp,5.43,0.89,4.54,13.71
2023-05-12 16:10:00,2023-05-12 17:00:00,L,2.00753,2.00981,2.00639,2.00981,2.0,tp,2.67,0.89,1.78,15.49
2023-05-12 17:05:00,2023-05-15 01:10:00,L,2.01036,2.00955,2.00636,2.01835,-0.203,time,-0.95,0.89,-1.84,13.65
