exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 02:05:00,4.34,4.34,1004.34,0.0
2023-01-04 17:05:00,-5.51,-1.17,998.83,-0.55
2023-01-05 01:45:00,0.74,-0.43,999.57,-0.47
2023-01-05 15:30:00,10.69,10.26,1010.26,0.0
2023-01-06 00:35:00,1.62,11.88,1011.88,0.0
2023-01-06 19:45:00,26.53,38.41,1038.41,0.0
2023-01-09 15:25:00,5.62,44.03,1044.03,0.0
2023-01-09 23:55:00,0.96,44.99,1044.99,0.0
2023-01-11 00:05:00,-2.62,42.37,1042.37,-0.25
2023-01-11 17:00:00,6.3,48.67,1048.67,0.0
2023-01-12 15:30:00,-6.12,42.55,1042.55,-0.58
2023-01-12 23:35:00,2.58,45.13,1045.13,-0.34
2023-01-13 21:10:00,10.4,55.53,1055.53,0.0
2023-01-18 00:10:00,3.86,59.39,1059.39,0.0
2023-01-18 18:20:00,-6.31,53.08,1053.08,-0.6
2023-01-19 23:40:00,7.56,60.64,1060.64,0.0
2023-01-20 21:30:00,8.26,68.9,1068.9,0.0
2023-01-25 17:00:00,8.17,77.07,1077.07,0.0
2023-01-26 01:05:00,5.28,82.35,1082.35,0.0
2023-01-26 15:30:00,-2.88,79.47,1079.47,-0.27
2023-01-26 17:35:00,-7.6,71.87,1071.87,-0.97
2023-01-27 16:10:00,-3.18,68.69,1068.69,-1.26
2023-01-27 17:50:00,-6.61,62.08,1062.08,-1.87
2023-01-27 19:50:00,2.69,64.77,1064.77,-1.62
2023-02-01 16:50:00,3.63,68.4,1068.4,-1.29
2023-02-03 15:30:00,4.36,72.76,1072.76,-0.89
2023-02-03 23:35:00,22.94,95.7,1095.7,0.0
2023-02-06 17:40:00,7.99,103.69,1103.69,0.0
2023-02-07 02:05:00,-3.5,100.19,1100.19,-0.32
2023-02-07 17:45:00,-5.26,94.93,1094.93,-0.79
2023-02-13 01:10:00,9.68,104.61,1104.61,0.0
2023-02-14 16:25:00,-19.5,85.11,1085.11,-1.77
2023-02-15 01:05:00,-4.88,80.23,1080.23,-2.21
2023-02-15 23:25:00,0.84,81.07,1081.07,-2.13
2023-02-16 15:45:00,8.43,89.5,1089.5,-1.37
2023-02-16 17:35:00,-6.88,82.62,1082.62,-1.99
2023-02-17 02:25:00,8.75,91.37,1091.37,-1.2
2023-02-17 17:00:00,-4.3,87.07,1087.07,-1.59
2023-02-22 17:50:00,5.36,92.43,1092.43,-1.1
2023-02-23 02:15:00,3.28,95.71,1095.71,-0.81
2023-02-23 16:45:00,-4.82,90.89,1090.89,-1.24
2023-02-24 01:15:00,4.18,95.07,1095.07,-0.86
2023-02-24 16:15:00,6.7,101.77,1101.77,-0.26
2023-02-27 00:30:00,-3.4,98.37,1098.37,-0.56
2023-03-01 17:00:00,8.95,107.32,1107.32,0.0
2023-03-01 19:05:00,-8.36,98.96,1098.96,-0.75
2023-03-02 04:00:00,1.94,100.9,1100.9,-0.58
2023-03-02 23:30:00,0.46,101.36,1101.36,-0.54
2023-03-03 20:10:00,-8.19,93.17,1093.17,-1.28
2023-03-07 17:00:00,6.77,99.94,1099.94,-0.67
2023-03-08 01:05:00,17.8,117.74,1117.74,0.0
2023-03-08 17:00:00,4.51,122.25,1122.25,0.0
2023-03-08 17:20:00,-4.89,117.36,1117.36,-0.44
2023-03-09 02:05:00,-3.88,113.48,1113.48,-0.78
2023-03-13 16:45:00,12.01,125.49,1125.49,0.0
2023-03-14 01:15:00,2.08,127.57,1127.57,0.0
2023-03-14 23:05:00,-6.2,121.37,1121.37,-0.55
2023-03-15 23:55:00,2.28,123.65,1123.65,-0.35
2023-03-17 00:05:00,7.52,131.17,1131.17,0.0
2023-03-17 20:00:00,8.07,139.24,1139.24,0.0
2023-03-20 23:25:00,5.76,145.0,1145.0,0.0
2023-03-22 20:00:00,4.09,149.09,1149.09,0.0
2023-03-23 20:55:00,-8.62,140.47,1140.47,-0.75
2023-03-28 00:30:00,4.14,144.61,1144.61,-0.39
2023-03-28 15:40:00,-1.73,142.88,1142.88,-0.54
2023-03-28 17:45:00,4.27,147.15,1147.15,-0.17
2023-03-30 15:35:00,5.26,152.41,1152.41,0.0
2023-03-30 21:55:00,6.16,158.57,1158.57,0.0
2023-03-31 17:50:00,-5.61,152.96,1152.96,-0.48
2023-04-03 23:05:00,7.38,160.34,1160.34,0.0
2023-04-04 17:00:00,5.41,165.75,1165.75,0.0
2023-04-05 01:05:00,0.08,165.83,1165.83,0.0
2023-04-05 17:40:00,-4.45,161.38,1161.38,-0.38
2023-04-11 18:40:00,-3.57,157.81,1157.81,-0.69
2023-04-12 23:35:00,5.0,162.81,1162.81,-0.26
2023-04-13 15:30:00,3.06,165.87,1165.87,0.0
2023-04-13 23:35:00,0.68,166.55,1166.55,0.0
2023-04-18 15:50:00,-2.42,164.13,1164.13,-0.21
2023-04-19 01:10:00,-1.58,162.55,1162.55,-0.34
2023-04-19 15:55:00,5.56,168.11,1168.11,0.0
2023-04-20 00:05:00,-0.84,167.27,1167.27,-0.07
2023-04-20 17:05:00,1.94,169.21,1169.21,0.0
2023-04-24 03:20:00,3.62,172.83,1172.83,0.0
2023-04-24 17:30:00,3.94,176.77,1176.77,0.0
2023-04-25 01:35:00,6.66,183.43,1183.43,0.0
2023-04-26 16:20:00,5.24,188.67,1188.67,0.0
2023-04-26 21:15:00,-10.4,178.27,1178.27,-0.87
2023-04-27 22:05:00,7.0,185.27,1185.27,-0.29
2023-04-28 15:30:00,-3.78,181.49,1181.49,-0.6
2023-04-28 16:00:00,6.88,188.37,1188.37,-0.03
2023-04-28 17:55:00,11.56,199.93,1199.93,0.0
2023-05-01 02:30:00,-1.08,198.85,1198.85,-0.09
2023-05-03 21:00:00,11.94,210.79,1210.79,0.0
2023-05-05 00:35:00,-0.16,210.63,1210.63,-0.01
2023-05-08 00:25:00,7.82,218.45,1218.45,0.0
2023-05-08 17:25:00,-2.35,216.1,1216.1,-0.19
2023-05-08 21:00:00,-2.11,213.99,1213.99,-0.37
2023-05-10 02:15:00,1.38,215.37,1215.37,-0.25
2023-05-10 15:30:00,3.77,219.14,1219.14,0.0
2023-05-10 23:35:00,-4.0,215.14,1215.14,-0.33
2023-05-16 02:35:00,1.92,217.06,1217.06,-0.17
2023-05-17 19:45:00,4.89,221.95,1221.95,0.0
2023-05-18 23:35:00,2.64,224.59,1224.59,0.0
2023-05-22 02:20:00,2.14,226.73,1226.73,0.0
2023-05-22 16:05:00,-2.29,224.44,1224.44,-0.19
2023-05-24 18:00:00,7.17,231.61,1231.61,0.0
2023-05-25 02:25:00,0.34,231.95,1231.95,0.0
2023-05-25 23:35:00,5.68,237.63,1237.63,0.0
2023-05-26 17:45:00,8.63,246.26,1246.26,0.0
2023-05-29 02:10:00,-3.92,242.34,1242.34,-0.31
2023-05-29 18:00:00,-2.18,240.16,1240.16,-0.49
2023-05-30 20:05:00,-2.73,237.43,1237.43,-0.71
2023-05-31 16:40:00,5.51,242.94,1242.94,-0.27
2023-05-31 17:10:00,-7.69,235.25,1235.25,-0.88
2023-05-31 22:55:00,10.8,246.05,1246.05,-0.02
2023-06-01 18:50:00,11.51,257.56,1257.56,0.0
2023-06-02 15:30:00,-1.65,255.91,1255.91,-0.13
2023-06-02 17:50:00,-8.26,247.65,1247.65,-0.79
2023-06-07 16:55:00,4.9,252.55,1252.55,-0.4
2023-06-07 17:50:00,-3.64,248.91,1248.91,-0.69
2023-06-08 16:20:00,5.63,254.54,1254.54,-0.24
2023-06-09 00:25:00,10.52,265.06,1265.06,0.0
2023-06-09 16:10:00,2.17,267.23,1267.23,0.0
2023-06-12 00:30:00,-0.42,266.81,1266.81,-0.03
2023-06-13 15:30:00,2.0,268.81,1268.81,0.0
2023-06-13 23:35:00,1.96,270.77,1270.77,0.0
2023-06-14 21:00:00,-5.03,265.74,1265.74,-0.4
2023-06-15 16:55:00,10.07,275.81,1275.81,0.0
2023-06-16 16:10:00,-7.35,268.46,1268.46,-0.58
2023-06-16 17:50:00,-6.15,262.31,1262.31,-1.06
2023-06-19 03:15:00,2.72,265.03,1265.03,-0.84
2023-06-19 15:30:00,-1.61,263.42,1263.42,-0.97
2023-06-21 20:45:00,5.97,269.39,1269.39,-0.5
2023-06-27 15:30:00,-1.89,267.5,1267.5,-0.65
2023-06-27 16:15:00,5.05,272.55,1272.55,-0.26
2023-06-28 00:35:00,0.82,273.37,1273.37,-0.19
2023-07-03 00:05:00,2.04,275.41,1275.41,-0.03
2023-07-03 17:00:00,5.47,280.88,1280.88,0.0
2023-07-03 18:05:00,-6.46,274.42,1274.42,-0.5
2023-07-04 02:50:00,-1.16,273.26,1273.26,-0.59
2023-07-04 19:25:00,-2.76,270.5,1270.5,-0.81
2023-07-05 15:40:00,3.03,273.53,1273.53,-0.57
2023-07-05 17:30:00,-1.94,271.59,1271.59,-0.73
2023-07-06 16:45:00,-5.29,266.3,1266.3,-1.14
2023-07-07 23:35:00,5.52,271.82,1271.82,-0.71
2023-07-10 21:35:00,10.37,282.19,1282.19,0.0
2023-07-12 00:35:00,5.14,287.33,1287.33,0.0
2023-07-12 23:35:00,7.42,294.75,1294.75,0.0
2023-07-14 00:00:00,8.0,302.75,1302.75,0.0
2023-07-14 17:00:00,-2.61,300.14,1300.14,-0.2
2023-07-14 22:55:00,-5.26,294.88,1294.88,-0.6
2023-07-25 21:30:00,9.21,304.09,1304.09,0.0
2023-07-26 20:55:00,-2.66,301.43,1301.43,-0.2
2023-07-31 01:55:00,-3.08,298.35,1298.35,-0.44
2023-08-01 01:05:00,-5.6,292.75,1292.75,-0.87
2023-08-02 23:35:00,4.28,297.03,1297.03,-0.54
2023-08-03 15:40:00,-7.8,289.23,1289.23,-1.14
2023-08-03 17:20:00,-7.95,281.28,1281.28,-1.75
2023-08-04 15:30:00,-2.52,278.76,1278.76,-1.94
2023-08-04 20:35:00,14.72,293.48,1293.48,-0.81
2023-08-07 23:25:00,5.58,299.06,1299.06,-0.39
2023-08-09 16:05:00,-2.94,296.12,1296.12,-0.61
2023-08-10 01:35:00,2.38,298.5,1298.5,-0.43
2023-08-10 17:50:00,5.69,304.19,1304.19,0.0
2023-08-11 15:40:00,5.97,310.16,1310.16,0.0
