symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
GBPUSD,2023Q1,69,45,65.22,0.604,3.04,True
GBPUSD,2023Q2,68,43,63.24,0.615,3.05,True
GBPUSD,2023Q3,75,36,48.0,0.087,1.18,True
GBPUSD,2023Q4,56,27,48.21,0.263,1.58,True
GBPUSD,2024Q1,60,28,46.67,0.246,1.56,False
GBPUSD,2024Q2,64,36,56.25,0.447,2.12,True
GBPUSD,2024Q3,83,39,46.99,0.21,1.43,False
GBPUSD,2024Q4,74,36,48.65,0.349,1.85,True
GBPUSD,2025Q1,66,31,46.97,0.209,1.44,False
GBPUSD,2025Q2,83,36,43.37,0.168,1.34,False
GBPUSD,2025Q3,65,38,58.46,0.31,1.96,True
GBPUSD,2025Q4,73,34,46.58,0.171,1.35,False
GBPUSD,2026Q1,34,17,50.0,0.336,1.73,True
