symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
GBPUSD,OR,f_candle|f_ema,10,1,0.9,NY08-13,563,45.65,0.369,1.5,20.0,7.65
GBPUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,583,45.11,0.353,1.46,20.0,7.11
GBPUSD,OR,f_candle|f_ema,10,1,0.9,NY08-12,513,44.64,0.339,1.44,20.0,6.64
GBPUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,528,44.32,0.33,1.42,20.0,6.32
GBPUSD,OR,f_candle|f_ema,10,1,0.9,NY07-16,719,42.56,0.277,1.34,20.0,4.56
GBPUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,179,42.46,0.274,1.36,20.0,4.46
GBPUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,179,42.46,0.274,1.36,20.0,4.46
GBPUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,248,43.55,0.306,1.4,0.0,-4.45
GBPUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,280,43.21,0.296,1.39,0.0,-4.79
GBPUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,755,42.52,0.275,1.33,0.0,-5.48
GBPUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,225,42.22,0.267,1.38,0.0,-5.78
GBPUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,255,41.57,0.247,1.36,0.0,-6.43
GBPUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,155,40.65,0.219,1.26,0.0,-7.35
GBPUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,155,40.65,0.219,1.26,0.0,-7.35
GBPUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,159,40.25,0.208,1.3,0.0,-7.75
GBPUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,159,40.25,0.208,1.3,0.0,-7.75
GBPUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,139,39.57,0.187,1.27,0.0,-8.43
GBPUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,139,39.57,0.187,1.27,0.0,-8.43
