symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
GBPUSD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",870,51.26,0.538,1.71,61.5,34.03
GBPUSD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",612,50.82,0.525,1.55,61.5,33.59
GBPUSD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",1085,48.66,0.46,1.62,61.5,31.43
GBPUSD,{'require_h1_rsi_align': True},1359,49.3,0.479,1.7,53.8,28.22
GBPUSD,"{'adx_min': 18.0, 'add_vol_confirm': True}",1324,46.68,0.4,1.49,53.8,25.6
GBPUSD,"{'adx_min': 18.0, 'require_macd_align': True}",770,47.79,0.434,1.41,46.2,22.87
GBPUSD,{'add_vol_confirm': True},1639,46.74,0.402,1.51,46.2,21.81
GBPUSD,{'require_macd_align': True},966,48.45,0.453,1.52,38.5,19.68
GBPUSD,{},1524,46.39,0.392,1.5,30.8,13.78
GBPUSD,{'adx_min': 22.0},968,45.87,0.376,1.41,30.8,13.25
GBPUSD,{'adx_min': 18.0},1230,45.69,0.371,1.43,23.1,9.23
