entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2025-01-28 17:45:00,2025-01-28 18:50:00,S,1.24389,1.24218,1.24475,1.24218,2.0,tp,3.43,0.32,3.11,3.11
2025-01-29 17:25:00,2025-01-29 17:40:00,S,1.24159,1.24269,1.24269,1.23939,-1.0,sl,-2.2,0.32,-2.52,0.59
2025-01-29 17:55:00,2025-01-29 19:15:00,S,1.24353,1.24464,1.24464,1.2413,-1.0,sl,-2.23,0.32,-2.55,-1.96
2025-01-30 22:40:00,2025-01-31 06:40:00,S,1.24198,1.24204,1.24647,1.233,-0.013,time,-0.12,0.32,-0.44,-2.4
2025-01-31 15:25:00,2025-01-31 16:30:00,S,1.24188,1.23928,1.24318,1.23928,2.0,tp,5.2,0.32,4.88,2.48
2025-01-31 20:10:00,2025-01-31 20:25:00,S,1.2454,1.24179,1.24721,1.24179,2.0,tp,7.22,0.32,6.9,9.38
2025-02-03 16:05:00,2025-02-03 17:20:00,S,1.23504,1.23755,1.23755,1.23001,-1.0,sl,-5.03,0.32,-5.35,4.03
2025-02-06 20:35:00,2025-02-06 20:40:00,S,1.24438,1.245,1.245,1.24313,-1.0,sl,-1.25,0.32,-1.57,2.46
2025-02-06 21:15:00,2025-02-07 05:15:00,S,1.24437,1.24338,1.24559,1.24193,0.812,time,1.98,0.32,1.66,4.12
2025-02-07 17:15:00,2025-02-07 17:50:00,S,1.24429,1.23944,1.24672,1.23944,2.0,tp,9.71,0.32,9.39,13.51
2025-02-13 15:35:00,2025-02-13 17:15:00,L,1.24709,1.25095,1.24516,1.25095,2.0,tp,7.71,0.32,7.39,20.9
2025-02-13 21:05:00,2025-02-14 05:05:00,L,1.2521,1.25554,1.24772,1.26087,0.784,time,6.88,0.32,6.56,27.46
2025-02-14 20:55:00,2025-02-14 21:45:00,L,1.25981,1.25943,1.25943,1.26056,-1.0,sl,-0.75,0.32,-1.07,26.39
2025-02-18 15:15:00,2025-02-18 16:25:00,L,1.25895,1.26055,1.25815,1.26055,2.0,tp,3.2,0.32,2.88,29.27
2025-02-18 20:55:00,2025-02-18 23:55:00,L,1.25989,1.2613,1.25918,1.2613,2.0,tp,2.82,0.32,2.5,31.77
2025-02-20 14:05:00,2025-02-20 14:55:00,L,1.26142,1.25994,1.25994,1.26439,-1.0,sl,-2.97,0.32,-3.29,28.48
2025-02-21 14:20:00,2025-02-21 16:45:00,L,1.26436,1.26589,1.2636,1.26589,2.0,tp,3.06,0.32,2.74,31.22
2025-02-21 17:50:00,2025-02-21 20:25:00,L,1.26375,1.26291,1.26291,1.26542,-1.0,sl,-1.67,0.32,-1.99,29.23
2025-02-25 19:25:00,2025-02-25 20:00:00,L,1.26475,1.26633,1.26396,1.26633,2.0,tp,3.17,0.32,2.85,32.08
2025-03-03 22:10:00,2025-03-03 22:35:00,L,1.26941,1.26842,1.26842,1.2714,-1.0,sl,-1.99,0.32,-2.31,29.77
2025-03-03 22:45:00,2025-03-03 22:50:00,L,1.26832,1.26914,1.26791,1.26914,2.0,tp,1.65,0.32,1.33,31.1
2025-03-03 23:00:00,2025-03-04 06:00:00,L,1.26971,1.26791,1.26791,1.27331,-1.0,sl,-3.6,0.32,-3.92,27.18
2025-03-04 16:55:00,2025-03-04 17:00:00,L,1.27124,1.27061,1.27061,1.27251,-1.0,sl,-1.27,0.32,-1.59,25.59
2025-03-04 17:05:00,2025-03-04 17:20:00,L,1.27106,1.27035,1.27035,1.27248,-1.0,sl,-1.42,0.32,-1.74,23.85
2025-03-04 17:25:00,2025-03-04 19:00:00,L,1.27099,1.27332,1.26982,1.27332,2.0,tp,4.67,0.32,4.35,28.2
2025-03-05 15:20:00,2025-03-05 16:10:00,L,1.28142,1.2837,1.28028,1.2837,2.0,tp,4.57,0.32,4.25,32.45
2025-03-06 21:00:00,2025-03-06 23:05:00,L,1.28852,1.2876,1.2876,1.29035,-1.0,sl,-1.83,0.32,-2.15,30.3
