entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 15:35:00,2026-02-17 20:35:00,S,1.35373,1.35595,1.35595,1.34929,-1.0,sl,-4.44,0.32,-4.76,-4.76
2026-02-18 15:15:00,2026-02-18 15:25:00,S,1.35763,1.35661,1.35814,1.35661,2.0,tp,2.05,0.32,1.73,-3.03
2026-02-18 15:35:00,2026-02-18 19:15:00,S,1.35639,1.35288,1.35815,1.35288,2.0,tp,7.03,0.32,6.71,3.68
2026-02-18 19:35:00,2026-02-19 03:35:00,S,1.35272,1.34926,1.35501,1.34813,1.508,time,6.92,0.32,6.6,10.28
2026-02-19 16:20:00,2026-02-19 17:05:00,S,1.34394,1.34697,1.34697,1.33787,-1.0,sl,-6.07,0.32,-6.39,3.89
2026-02-19 18:10:00,2026-02-20 02:10:00,S,1.34462,1.3459,1.34745,1.33897,-0.453,time,-2.56,0.32,-2.88,1.01
2026-02-23 17:35:00,2026-02-24 01:35:00,S,1.35095,1.34962,1.35253,1.3478,0.843,time,2.66,0.32,2.34,3.35
2026-02-26 17:15:00,2026-02-26 17:25:00,S,1.35393,1.35092,1.35544,1.35092,2.0,tp,6.02,0.32,5.7,9.05
2026-02-26 18:05:00,2026-02-27 02:05:00,S,1.3508,1.3488,1.35482,1.34277,0.498,time,4.0,0.32,3.68,12.73
2026-02-27 15:05:00,2026-02-27 21:25:00,S,1.34656,1.34794,1.34794,1.3438,-1.0,sl,-2.76,0.32,-3.08,9.65
2026-03-02 15:25:00,2026-03-02 16:45:00,S,1.33987,1.34161,1.34161,1.33639,-1.0,sl,-3.48,0.32,-3.8,5.85
2026-03-02 17:25:00,2026-03-02 21:35:00,S,1.33959,1.34261,1.34261,1.33356,-1.0,sl,-6.03,0.32,-6.35,-0.5
2026-03-03 15:30:00,2026-03-03 17:05:00,S,1.33087,1.32709,1.33276,1.32709,2.0,tp,7.56,0.32,7.24,6.74
2026-03-03 17:20:00,2026-03-03 18:15:00,S,1.32559,1.33151,1.33151,1.31374,-1.0,sl,-11.85,0.32,-12.17,-5.43
