entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2025-01-28 15:50:00,2025-01-28 16:05:00,S,1.24174,1.24348,1.24348,1.23826,-1.0,sl,-3.48,0.32,-3.8,-3.8
2025-01-28 18:00:00,2025-01-29 02:00:00,S,1.24319,1.24444,1.24475,1.24007,-0.801,time,-2.5,0.32,-2.82,-6.62
2025-01-29 15:25:00,2025-01-29 17:40:00,S,1.23972,1.24287,1.24287,1.23342,-1.0,sl,-6.3,0.32,-6.62,-13.24
2025-01-29 18:55:00,2025-01-29 19:00:00,S,1.24327,1.24434,1.24434,1.24112,-1.0,sl,-2.15,0.32,-2.47,-15.71
2025-01-31 15:35:00,2025-01-31 18:30:00,S,1.24148,1.24319,1.24319,1.23805,-1.0,sl,-3.43,0.32,-3.75,-19.46
2025-02-06 19:35:00,2025-02-06 20:00:00,S,1.24363,1.24428,1.24428,1.24234,-1.0,sl,-1.29,0.32,-1.61,-21.07
2025-02-07 15:05:00,2025-02-07 15:15:00,S,1.24468,1.24521,1.24521,1.24362,-1.0,sl,-1.06,0.32,-1.38,-22.45
2025-02-07 15:45:00,2025-02-07 23:45:00,S,1.24364,1.24044,1.24941,1.23211,0.555,time,6.4,0.32,6.08,-16.37
2025-02-10 16:15:00,2025-02-11 00:15:00,S,1.23818,1.23663,1.23999,1.23456,0.857,time,3.1,0.32,2.78,-13.59
2025-02-12 15:05:00,2025-02-12 15:30:00,S,1.24457,1.24185,1.24593,1.24185,2.0,tp,5.44,0.32,5.12,-8.47
2025-02-13 15:35:00,2025-02-13 17:15:00,L,1.24709,1.25095,1.24516,1.25095,2.0,tp,7.71,0.32,7.39,-1.08
2025-02-13 17:50:00,2025-02-14 01:50:00,L,1.25207,1.25607,1.24761,1.261,0.896,time,8.0,0.32,7.68,6.6
2025-02-14 15:05:00,2025-02-14 16:10:00,L,1.25855,1.26143,1.25711,1.26143,2.0,tp,5.75,0.32,5.43,12.03
2025-02-14 16:15:00,2025-02-14 22:05:00,L,1.2616,1.25912,1.25912,1.26656,-1.0,sl,-4.96,0.32,-5.28,6.75
2025-02-17 15:25:00,2025-02-17 16:10:00,L,1.26003,1.25904,1.25904,1.26202,-1.0,sl,-1.99,0.32,-2.31,4.44
2025-02-17 16:45:00,2025-02-17 19:15:00,L,1.25952,1.26165,1.25845,1.26165,2.0,tp,4.27,0.32,3.95,8.39
2025-02-18 16:05:00,2025-02-18 17:30:00,L,1.25937,1.26183,1.25814,1.26183,2.0,tp,4.91,0.32,4.59,12.98
2025-02-18 17:45:00,2025-02-18 20:05:00,L,1.26178,1.25954,1.25954,1.26626,-1.0,sl,-4.48,0.32,-4.8,8.18
2025-02-20 15:20:00,2025-02-20 18:10:00,L,1.26132,1.26473,1.25962,1.26473,2.0,tp,6.81,0.32,6.49,14.67
2025-02-21 16:05:00,2025-02-21 16:45:00,L,1.26467,1.26628,1.26386,1.26628,2.0,tp,3.23,0.32,2.91,17.58
2025-02-21 17:00:00,2025-02-21 17:20:00,L,1.26557,1.26386,1.26386,1.26899,-1.0,sl,-3.42,0.32,-3.74,13.84
2025-02-25 19:40:00,2025-02-26 03:40:00,L,1.26539,1.26658,1.26396,1.26825,0.834,time,2.38,0.32,2.06,15.9
2025-02-26 15:20:00,2025-02-26 17:30:00,L,1.26531,1.26786,1.26403,1.26786,2.0,tp,5.11,0.32,4.79,20.69
2025-02-26 18:10:00,2025-02-27 02:10:00,L,1.26969,1.26727,1.26577,1.27753,-0.618,time,-4.84,0.32,-5.16,15.53
2025-03-03 16:45:00,2025-03-04 00:45:00,L,1.26968,1.26989,1.26716,1.27473,0.083,time,0.42,0.32,0.1,15.63
2025-03-04 15:10:00,2025-03-04 15:20:00,L,1.27514,1.27356,1.27356,1.27831,-1.0,sl,-3.17,0.32,-3.49,12.14
2025-03-04 17:25:00,2025-03-04 19:00:00,L,1.27099,1.27332,1.26982,1.27332,2.0,tp,4.67,0.32,4.35,16.49
2025-03-04 19:25:00,2025-03-04 22:10:00,L,1.27376,1.27952,1.27088,1.27952,2.0,tp,11.51,0.32,11.19,27.68
2025-03-05 15:50:00,2025-03-05 16:30:00,L,1.28203,1.28553,1.28028,1.28553,2.0,tp,6.99,0.32,6.67,34.35
2025-03-05 17:20:00,2025-03-06 01:20:00,L,1.28627,1.2891,1.28341,1.29199,0.989,time,5.66,0.32,5.34,39.69
2025-03-06 15:25:00,2025-03-06 17:00:00,L,1.28887,1.29162,1.2875,1.29162,2.0,tp,5.49,0.32,5.17,44.86
2025-03-06 18:30:00,2025-03-06 20:40:00,L,1.29059,1.28811,1.28811,1.29555,-1.0,sl,-4.96,0.32,-5.28,39.58
2025-03-07 15:10:00,2025-03-07 15:30:00,L,1.29115,1.29021,1.29021,1.29303,-1.0,sl,-1.88,0.32,-2.2,37.38
2025-03-07 15:35:00,2025-03-07 17:40:00,L,1.293,1.2901,1.2901,1.29881,-1.0,sl,-5.81,0.32,-6.13,31.25
2025-03-07 18:05:00,2025-03-07 19:15:00,L,1.29237,1.28993,1.28993,1.29726,-1.0,sl,-4.89,0.32,-5.21,26.04
2025-03-10 15:25:00,2025-03-10 15:50:00,L,1.29433,1.29251,1.29251,1.29796,-1.0,sl,-3.63,0.32,-3.95,22.09
2025-03-11 15:05:00,2025-03-11 16:00:00,L,1.29384,1.29242,1.29242,1.29667,-1.0,sl,-2.83,0.32,-3.15,18.94
2025-03-11 17:00:00,2025-03-11 20:10:00,L,1.29309,1.29588,1.29169,1.29588,2.0,tp,5.59,0.32,5.27,24.21
2025-03-12 16:55:00,2025-03-12 18:05:00,L,1.29399,1.2973,1.29233,1.2973,2.0,tp,6.62,0.32,6.3,30.51
2025-03-12 18:10:00,2025-03-13 02:10:00,L,1.29767,1.2963,1.29436,1.30429,-0.414,time,-2.74,0.32,-3.06,27.45
2025-03-13 16:05:00,2025-03-14 00:05:00,L,1.2945,1.29539,1.29199,1.29953,0.354,time,1.78,0.32,1.46,28.91
2025-03-17 15:20:00,2025-03-17 23:20:00,L,1.29742,1.29878,1.29582,1.30062,0.85,time,2.72,0.32,2.4,31.31
2025-03-18 17:30:00,2025-03-19 01:30:00,L,1.29733,1.30011,1.29552,1.30096,1.533,time,5.56,0.32,5.24,36.55
2025-03-25 16:50:00,2025-03-26 00:50:00,L,1.29505,1.29426,1.29321,1.29873,-0.429,time,-1.58,0.32,-1.9,34.65
2025-03-27 16:40:00,2025-03-27 17:30:00,L,1.29382,1.29712,1.29217,1.29712,2.0,tp,6.59,0.32,6.27,40.92
2025-03-27 18:00:00,2025-03-28 02:00:00,L,1.29624,1.29478,1.2942,1.30031,-0.717,time,-2.92,0.32,-3.24,37.68
2025-03-28 15:05:00,2025-03-31 00:10:00,L,1.2945,1.29368,1.29231,1.29888,-0.374,time,-1.64,0.32,-1.96,35.72
2025-04-02 15:15:00,2025-04-02 15:50:00,L,1.29441,1.29364,1.29364,1.29594,-1.0,sl,-1.53,0.32,-1.85,33.87
2025-04-02 17:40:00,2025-04-02 20:05:00,L,1.29483,1.29789,1.2933,1.29789,2.0,tp,6.12,0.32,5.8,39.67
2025-04-03 15:05:00,2025-04-03 18:15:00,L,1.31837,1.31365,1.31365,1.32781,-1.0,sl,-9.44,0.32,-9.76,29.91
2025-04-07 17:05:00,2025-04-07 17:10:00,S,1.28049,1.28327,1.28327,1.27492,-1.0,sl,-5.57,0.32,-5.89,24.02
2025-04-07 17:40:00,2025-04-08 01:40:00,S,1.27781,1.27331,1.28481,1.26381,0.643,time,9.0,0.32,8.68,32.7
2025-04-08 16:00:00,2025-04-08 21:15:00,S,1.27755,1.27964,1.27964,1.27337,-1.0,sl,-4.18,0.32,-4.5,28.2
2025-04-10 17:05:00,2025-04-10 21:30:00,L,1.29253,1.29943,1.28908,1.29943,2.0,tp,13.8,0.32,13.48,41.68
2025-04-11 15:05:00,2025-04-11 16:55:00,L,1.30893,1.30629,1.30629,1.31421,-1.0,sl,-5.28,0.32,-5.6,36.08
2025-04-11 19:30:00,2025-04-11 19:45:00,L,1.30382,1.30569,1.30288,1.30569,2.0,tp,3.75,0.32,3.43,39.51
2025-04-11 19:50:00,2025-04-14 03:10:00,L,1.30542,1.31048,1.30289,1.31048,2.0,tp,10.13,0.32,9.81,49.32
2025-04-14 16:45:00,2025-04-15 00:45:00,L,1.31523,1.31852,1.31213,1.32143,1.061,time,6.58,0.32,6.26,55.58
2025-04-15 15:10:00,2025-04-15 16:25:00,L,1.32331,1.32176,1.32176,1.3264,-1.0,sl,-3.09,0.32,-3.41,52.17
2025-04-15 16:50:00,2025-04-15 17:10:00,L,1.32303,1.32136,1.32136,1.32637,-1.0,sl,-3.34,0.32,-3.66,48.51
2025-04-15 17:35:00,2025-04-16 01:35:00,L,1.32355,1.32352,1.32039,1.32986,-0.01,time,-0.06,0.32,-0.38,48.13
2025-04-16 16:20:00,2025-04-16 17:05:00,L,1.32691,1.32493,1.32493,1.33086,-1.0,sl,-3.95,0.32,-4.27,43.86
2025-04-16 17:55:00,2025-04-16 18:20:00,L,1.3255,1.32378,1.32378,1.32894,-1.0,sl,-3.44,0.32,-3.76,40.1
2025-04-17 15:05:00,2025-04-17 15:20:00,L,1.32338,1.32235,1.32235,1.32544,-1.0,sl,-2.06,0.32,-2.38,37.72
2025-04-17 15:40:00,2025-04-17 17:15:00,L,1.32338,1.32651,1.32181,1.32651,2.0,tp,6.26,0.32,5.94,43.66
2025-04-17 18:40:00,2025-04-18 02:40:00,L,1.32504,1.32672,1.32263,1.32986,0.696,time,3.36,0.32,3.04,46.7
2025-04-21 15:05:00,2025-04-21 18:05:00,L,1.34001,1.33784,1.33784,1.34434,-1.0,sl,-4.33,0.32,-4.65,42.05
2025-04-22 17:05:00,2025-04-22 19:20:00,L,1.33717,1.33571,1.33571,1.34008,-1.0,sl,-2.91,0.32,-3.23,38.82
2025-04-24 16:35:00,2025-04-24 17:40:00,L,1.33071,1.33279,1.32967,1.33279,2.0,tp,4.15,0.32,3.83,42.65
2025-04-24 17:45:00,2025-04-24 18:15:00,L,1.33281,1.33034,1.33034,1.33775,-1.0,sl,-4.94,0.32,-5.26,37.39
2025-04-24 19:15:00,2025-04-25 03:15:00,L,1.33092,1.33166,1.32893,1.33489,0.373,time,1.48,0.32,1.16,38.55
2025-04-25 15:25:00,2025-04-25 16:50:00,L,1.33224,1.33044,1.33044,1.33585,-1.0,sl,-3.61,0.32,-3.93,34.62
2025-04-25 17:40:00,2025-04-28 00:00:00,L,1.33174,1.32969,1.32969,1.33583,-1.0,sl,-4.09,0.32,-4.41,30.21
2025-04-28 15:15:00,2025-04-28 16:40:00,L,1.33429,1.33671,1.33308,1.33671,2.0,tp,4.84,0.32,4.52,34.73
2025-04-28 17:00:00,2025-04-28 17:40:00,L,1.33662,1.34186,1.334,1.34186,2.0,tp,10.48,0.32,10.16,44.89
2025-04-28 18:05:00,2025-04-29 02:05:00,L,1.33936,1.34354,1.33631,1.34545,1.372,time,8.36,0.32,8.04,52.93
2025-04-29 15:15:00,2025-04-29 15:40:00,L,1.33872,1.33991,1.33812,1.33991,2.0,tp,2.39,0.32,2.07,55.0
2025-04-29 16:15:00,2025-04-30 00:15:00,L,1.34063,1.34031,1.33837,1.34515,-0.142,time,-0.64,0.32,-0.96,54.04
2025-05-02 16:05:00,2025-05-05 00:00:00,L,1.3292,1.32597,1.32597,1.33566,-1.0,sl,-6.46,0.32,-6.78,47.26
2025-05-05 15:50:00,2025-05-05 17:00:00,L,1.3329,1.33132,1.33132,1.33607,-1.0,sl,-3.17,0.32,-3.49,43.77
2025-05-06 15:35:00,2025-05-06 18:05:00,L,1.33854,1.33636,1.33636,1.34291,-1.0,sl,-4.37,0.32,-4.69,39.08
2025-05-06 19:30:00,2025-05-07 01:15:00,L,1.33662,1.33508,1.33508,1.3397,-1.0,sl,-3.08,0.32,-3.4,35.68
2025-05-07 15:30:00,2025-05-07 16:20:00,L,1.33528,1.33708,1.33438,1.33708,2.0,tp,3.59,0.32,3.27,38.95
2025-05-07 17:40:00,2025-05-07 18:15:00,L,1.33678,1.33562,1.33562,1.33909,-1.0,sl,-2.31,0.32,-2.63,36.32
2025-05-08 15:05:00,2025-05-08 18:05:00,L,1.33296,1.33053,1.33053,1.33781,-1.0,sl,-4.85,0.32,-5.17,31.15
2025-05-09 16:00:00,2025-05-09 17:20:00,L,1.3285,1.33115,1.32718,1.33115,2.0,tp,5.3,0.32,4.98,36.13
2025-05-09 17:55:00,2025-05-12 00:00:00,L,1.33006,1.32831,1.32831,1.33355,-1.0,sl,-3.49,0.32,-3.81,32.32
2025-05-13 15:10:00,2025-05-13 16:25:00,L,1.32193,1.3248,1.32049,1.3248,2.0,tp,5.75,0.32,5.43,37.75
2025-05-13 17:50:00,2025-05-13 19:50:00,L,1.32444,1.3293,1.32201,1.3293,2.0,tp,9.72,0.32,9.4,47.15
2025-05-14 15:45:00,2025-05-14 16:10:00,L,1.33333,1.33153,1.33153,1.33693,-1.0,sl,-3.6,0.32,-3.92,43.23
2025-05-14 16:55:00,2025-05-14 17:00:00,L,1.33274,1.33087,1.33087,1.33647,-1.0,sl,-3.73,0.32,-4.05,39.18
2025-05-14 18:15:00,2025-05-14 19:40:00,L,1.32949,1.32858,1.32858,1.33131,-1.0,sl,-1.82,0.32,-2.14,37.04
2025-05-15 15:20:00,2025-05-15 17:35:00,L,1.32848,1.32662,1.32662,1.33221,-1.0,sl,-3.73,0.32,-4.05,32.99
2025-05-15 18:15:00,2025-05-16 02:15:00,L,1.32862,1.33077,1.32624,1.33338,0.903,time,4.3,0.32,3.98,36.97
2025-05-19 17:55:00,2025-05-19 18:55:00,L,1.33663,1.3353,1.3353,1.33928,-1.0,sl,-2.65,0.32,-2.97,34.0
