exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 16:55:00,1.96,1.96,1001.96,0.0
2023-01-03 23:55:00,-5.09,-3.13,996.87,-0.51
2023-01-05 17:50:00,-2.47,-5.6,994.4,-0.75
2023-01-09 16:30:00,-1.86,-7.46,992.54,-0.94
2023-01-09 17:00:00,1.62,-5.84,994.16,-0.78
2023-01-09 19:05:00,-4.52,-10.36,989.64,-1.23
2023-01-10 16:00:00,1.01,-9.35,990.65,-1.13
2023-01-11 20:00:00,-3.23,-12.58,987.42,-1.45
2023-01-18 15:30:00,-2.65,-15.23,984.77,-1.72
2023-01-18 17:15:00,-2.72,-17.95,982.05,-1.99
2023-01-18 17:50:00,-1.76,-19.71,980.29,-2.16
2023-01-23 17:50:00,2.47,-17.24,982.76,-1.92
2023-02-03 16:30:00,-2.89,-20.13,979.87,-2.2
2023-02-03 17:15:00,-2.12,-22.25,977.75,-2.42
2023-02-09 17:50:00,-1.9,-24.15,975.85,-2.61
2023-02-14 23:35:00,3.58,-20.57,979.43,-2.25
2023-02-16 15:30:00,-1.64,-22.21,977.79,-2.41
2023-02-28 20:00:00,-2.74,-24.95,975.05,-2.69
2023-03-13 16:20:00,-2.88,-27.83,972.17,-2.97
2023-03-13 17:00:00,-2.2,-30.03,969.97,-3.19
2023-03-14 02:05:00,2.8,-27.23,972.77,-2.91
2023-03-14 23:00:00,-2.67,-29.9,970.1,-3.18
2023-03-16 18:45:00,-1.85,-31.75,968.25,-3.36
2023-03-20 15:30:00,-1.51,-33.26,966.74,-3.52
2023-03-20 16:00:00,-2.21,-35.47,964.53,-3.74
2023-03-20 18:05:00,3.08,-32.39,967.61,-3.43
2023-03-24 16:00:00,-3.14,-35.53,964.47,-3.74
2023-03-24 17:55:00,-3.99,-39.52,960.48,-4.14
2023-03-27 00:00:00,1.85,-37.67,962.33,-3.96
2023-03-30 23:05:00,3.91,-33.76,966.24,-3.57
2023-03-31 17:50:00,-2.28,-36.04,963.96,-3.79
2023-04-03 18:10:00,-2.58,-38.62,961.38,-4.05
2023-04-03 19:15:00,1.02,-37.6,962.4,-3.95
2023-04-05 19:25:00,0.96,-36.64,963.36,-3.85
2023-04-05 23:45:00,-3.07,-39.71,960.29,-4.16
2023-04-11 18:00:00,-1.35,-41.06,958.94,-4.29
2023-04-11 19:15:00,0.27,-40.79,959.21,-4.27
2023-04-18 18:15:00,-1.1,-41.89,958.11,-4.38
2023-04-19 02:50:00,0.23,-41.66,958.34,-4.35
2023-04-24 02:40:00,1.14,-40.52,959.48,-4.24
2023-04-24 22:00:00,-2.57,-43.09,956.91,-4.5
2023-05-03 03:10:00,0.84,-42.25,957.75,-4.41
2023-05-15 19:55:00,2.94,-39.31,960.69,-4.12
2023-05-18 22:15:00,2.44,-36.87,963.13,-3.88
2023-05-22 00:00:00,-3.8,-40.67,959.33,-4.25
2023-05-31 17:00:00,-1.71,-42.38,957.62,-4.43
2023-06-02 23:05:00,1.11,-41.27,958.73,-4.31
2023-06-06 00:00:00,-2.59,-43.86,956.14,-4.57
2023-06-07 01:10:00,0.55,-43.31,956.69,-4.52
2023-06-08 16:45:00,-2.88,-46.19,953.81,-4.81
2023-06-12 16:40:00,-1.5,-47.69,952.31,-4.96
