symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
NZDJPY,2023Q1,31,9,29.03,-0.2,0.72,False
NZDJPY,2023Q2,30,16,53.33,0.354,1.76,True
NZDJPY,2023Q3,20,8,40.0,0.021,1.04,False
NZDJPY,2023Q4,28,13,46.43,0.403,1.77,False
NZDJPY,2024Q1,34,11,32.35,-0.06,0.91,False
NZDJPY,2024Q2,32,12,37.5,-0.031,0.95,False
NZDJPY,2024Q3,30,13,43.33,0.243,1.43,False
NZDJPY,2024Q4,13,8,61.54,0.783,4.27,False
NZDJPY,2025Q1,33,13,39.39,0.05,1.08,False
NZDJPY,2025Q2,22,7,31.82,-0.205,0.7,False
NZDJPY,2025Q3,35,18,51.43,0.449,1.93,True
NZDJPY,2025Q4,35,20,57.14,0.677,2.8,True
NZDJPY,2026Q1,17,6,35.29,-0.056,0.91,False
