symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
NZDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,410,42.68,0.28,1.33,23.1,6.22
NZDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,541,42.51,0.275,1.32,23.1,6.05
NZDJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,595,42.18,0.266,1.3,23.1,5.72
NZDJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,414,42.03,0.261,1.28,23.1,5.57
NZDJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,450,42.0,0.26,1.28,23.1,5.54
NZDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,428,41.82,0.255,1.27,23.1,5.36
NZDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,705,41.7,0.251,1.29,23.1,5.24
NZDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,441,41.5,0.245,1.25,23.1,5.04
NZDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,780,41.15,0.235,1.26,23.1,4.69
NZDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,487,40.66,0.22,1.2,23.1,4.2
NZDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,379,42.48,0.274,1.31,15.4,2.17
NZDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,390,42.31,0.269,1.29,15.4,2.0
NZDJPY,OR,f_candle|f_ema,10,1,0.9,NY07-16,1768,42.14,0.264,1.31,0.0,-5.86
NZDJPY,OR,f_candle|f_ema,10,1,0.9,NY08-13,1490,41.68,0.25,1.26,0.0,-6.32
NZDJPY,OR,f_candle|f_ema,10,1,0.9,NY08-12,1410,41.63,0.249,1.26,0.0,-6.37
NZDJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1918,41.55,0.247,1.29,0.0,-6.45
NZDJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1613,41.23,0.237,1.25,0.0,-6.77
NZDJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1525,40.98,0.23,1.24,0.0,-7.02
