symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
NZDJPY,{'require_h1_rsi_align': True},444,46.85,0.405,1.66,17.6,7.67
NZDJPY,{},567,43.21,0.296,1.39,23.5,6.97
NZDJPY,{'add_vol_confirm': True},683,42.75,0.283,1.34,23.5,6.52
NZDJPY,"{'adx_min': 18.0, 'add_vol_confirm': True}",590,42.71,0.281,1.34,23.5,6.48
NZDJPY,{'adx_min': 18.0},481,43.45,0.304,1.4,17.6,4.27
NZDJPY,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",366,47.54,0.426,1.71,5.9,2.48
NZDJPY,"{'require_h1_rsi_align': True, 'require_macd_align': True}",325,46.46,0.394,1.44,5.9,1.4
NZDJPY,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",216,47.22,0.417,1.44,0.0,-0.78
NZDJPY,{'adx_min': 22.0},369,43.63,0.309,1.4,5.9,-1.43
NZDJPY,{'require_macd_align': True},404,43.56,0.307,1.26,5.9,-1.49
NZDJPY,"{'adx_min': 18.0, 'require_macd_align': True}",325,43.69,0.311,1.24,0.0,-4.31
