entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:50:00,2023-01-03 16:55:00,S,81.762,81.55634,81.86483,81.55634,2.0,tp,2.58,0.62,1.96,1.96
2023-01-03 17:00:00,2023-01-03 23:55:00,S,81.512,81.8675,81.8675,80.80099,-1.0,sl,-4.47,0.62,-5.09,-3.13
2023-01-05 16:30:00,2023-01-05 17:50:00,L,83.324,83.17704,83.17704,83.61793,-1.0,sl,-1.85,0.62,-2.47,-5.6
2023-01-05 20:30:00,2023-01-06 03:00:00,L,82.989,83.34858,82.80921,83.34858,2.0,tp,4.52,0.62,3.9,-1.7
2023-01-09 16:30:00,2023-01-09 16:30:00,L,84.24,84.14135,84.14135,84.4373,-1.0,sl,-1.24,0.62,-1.86,-3.56
2023-01-09 16:50:00,2023-01-09 17:00:00,L,84.19,84.36836,84.10082,84.36836,2.0,tp,2.24,0.62,1.62,-1.94
2023-01-09 17:05:00,2023-01-09 19:05:00,L,84.41,84.09975,84.09975,85.0305,-1.0,sl,-3.9,0.62,-4.52,-6.46
2023-01-09 19:35:00,2023-01-09 20:35:00,L,84.169,84.09473,84.09473,84.31754,-1.0,sl,-0.93,0.62,-1.55,-8.01
2023-01-09 20:50:00,2023-01-09 21:05:00,L,84.073,84.03898,84.03898,84.14104,-1.0,sl,-0.43,0.62,-1.05,-9.06
2023-01-09 22:45:00,2023-01-09 22:55:00,L,83.985,83.93661,83.93661,84.08177,-1.0,sl,-0.61,0.62,-1.23,-10.29
2023-01-10 15:10:00,2023-01-10 16:00:00,L,83.997,84.12704,83.93198,84.12704,2.0,tp,1.63,0.62,1.01,-9.28
2023-01-11 14:50:00,2023-01-11 20:00:00,L,84.264,84.03807,84.03807,84.71586,-1.0,sl,-2.84,0.62,-3.46,-12.74
2023-01-18 14:45:00,2023-01-18 15:30:00,L,83.698,83.5503,83.5503,83.9934,-1.0,sl,-1.86,0.62,-2.48,-15.22
2023-01-18 16:35:00,2023-01-18 17:15:00,L,83.363,83.19592,83.19592,83.69717,-1.0,sl,-2.1,0.62,-2.72,-17.94
2023-01-18 17:30:00,2023-01-18 17:50:00,L,83.196,83.10513,83.10513,83.37775,-1.0,sl,-1.14,0.62,-1.76,-19.7
2023-01-23 16:25:00,2023-01-23 17:50:00,L,84.281,84.52716,84.15792,84.52716,2.0,tp,3.09,0.62,2.47,-17.23
2023-01-30 21:35:00,2023-01-30 23:20:00,L,84.425,84.3216,84.3216,84.6318,-1.0,sl,-1.3,0.62,-1.92,-19.15
2023-02-03 15:50:00,2023-02-03 16:30:00,S,83.128,83.30886,83.30886,82.76628,-1.0,sl,-2.27,0.62,-2.89,-22.04
2023-02-03 16:55:00,2023-02-03 17:15:00,S,83.305,83.42411,83.42411,83.06677,-1.0,sl,-1.5,0.62,-2.12,-24.16
2023-02-03 18:20:00,2023-02-06 02:25:00,S,83.405,83.427,83.66903,82.87693,-0.083,time,-0.28,0.62,-0.9,-25.06
2023-02-07 20:05:00,2023-02-08 04:05:00,S,82.819,82.937,83.0519,82.3532,-0.507,time,-1.48,0.62,-2.1,-27.16
2023-02-09 15:55:00,2023-02-09 17:50:00,L,83.273,83.17107,83.17107,83.47686,-1.0,sl,-1.28,0.62,-1.9,-29.06
2023-02-10 17:45:00,2023-02-13 01:50:00,S,82.882,83.03,83.10363,82.43873,-0.668,time,-1.86,0.62,-2.48,-31.54
2023-02-13 20:30:00,2023-02-13 21:35:00,L,84.225,84.17235,84.17235,84.3303,-1.0,sl,-0.66,0.62,-1.28,-32.82
2023-02-13 22:45:00,2023-02-13 22:55:00,L,84.133,84.11419,84.11419,84.17063,-1.0,sl,-0.24,0.62,-0.86,-33.68
2023-02-14 15:35:00,2023-02-14 23:35:00,L,83.958,84.292,83.51898,84.83604,0.761,time,4.2,0.62,3.58,-30.1
2023-02-15 14:20:00,2023-02-15 15:30:00,L,83.752,83.63655,83.63655,83.98289,-1.0,sl,-1.45,0.62,-2.07,-32.17
2023-02-16 14:15:00,2023-02-16 14:25:00,L,84.121,84.08283,84.08283,84.19734,-1.0,sl,-0.48,0.62,-1.1,-33.27
2023-02-16 15:05:00,2023-02-16 15:30:00,L,84.095,84.01379,84.01379,84.25743,-1.0,sl,-1.02,0.62,-1.64,-34.91
2023-02-28 17:35:00,2023-02-28 20:00:00,L,84.362,84.19312,84.19312,84.69976,-1.0,sl,-2.12,0.62,-2.74,-37.65
2023-02-28 20:25:00,2023-02-28 21:15:00,L,84.194,84.13401,84.13401,84.31397,-1.0,sl,-0.75,0.62,-1.37,-39.02
2023-02-28 21:50:00,2023-02-28 22:30:00,L,84.199,84.08743,84.08743,84.42213,-1.0,sl,-1.4,0.62,-2.02,-41.04
2023-03-13 16:05:00,2023-03-13 16:20:00,S,82.645,82.82485,82.82485,82.28531,-1.0,sl,-2.26,0.62,-2.88,-43.92
2023-03-13 16:55:00,2023-03-13 17:00:00,S,82.842,82.96745,82.96745,82.5911,-1.0,sl,-1.58,0.62,-2.2,-46.12
2023-03-13 18:05:00,2023-03-14 02:05:00,S,83.0,82.728,83.20534,82.58932,1.325,time,3.42,0.62,2.8,-43.32
2023-03-14 19:40:00,2023-03-14 23:00:00,L,83.629,83.46562,83.46562,83.95577,-1.0,sl,-2.05,0.62,-2.67,-45.99
2023-03-15 21:30:00,2023-03-16 04:10:00,S,82.535,81.83574,82.88463,81.83574,2.0,tp,8.78,0.62,8.16,-37.83
2023-03-16 18:35:00,2023-03-16 18:45:00,S,82.048,82.14629,82.14629,81.85141,-1.0,sl,-1.23,0.62,-1.85,-39.68
