entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-20 15:10:00,2026-02-20 15:30:00,L,92.4,92.36205,92.36205,92.47591,-1.0,sl,-0.48,0.62,-1.1,-1.1
2026-02-23 16:55:00,2026-02-23 18:00:00,S,92.362,92.05553,92.51524,92.05553,2.0,tp,3.85,0.62,3.23,2.13
2026-02-24 15:10:00,2026-02-24 16:40:00,L,92.767,92.9165,92.69225,92.9165,2.0,tp,1.88,0.62,1.26,3.39
2026-02-27 15:05:00,2026-02-27 16:50:00,L,93.289,93.44897,93.20902,93.44897,2.0,tp,2.01,0.62,1.39,4.78
2026-03-02 19:10:00,2026-03-03 03:10:00,L,93.385,93.709,93.19499,93.76501,1.705,time,4.07,0.62,3.45,8.23
2026-03-05 16:35:00,2026-03-05 16:35:00,L,93.145,93.05082,93.05082,93.33336,-1.0,sl,-1.18,0.62,-1.8,6.43
2026-03-05 17:00:00,2026-03-05 17:25:00,L,93.148,92.9483,92.9483,93.5474,-1.0,sl,-2.51,0.62,-3.13,3.3
2026-03-11 18:15:00,2026-03-11 18:30:00,L,93.851,93.94799,93.80251,93.94799,2.0,tp,1.22,0.62,0.6,3.9
2026-03-11 18:35:00,2026-03-12 00:35:00,L,93.952,93.80288,93.80288,94.25024,-1.0,sl,-1.87,0.62,-2.49,1.41
2026-03-13 15:05:00,2026-03-13 15:35:00,S,92.919,92.8004,92.9783,92.8004,2.0,tp,1.49,0.62,0.87,2.28
2026-03-13 15:45:00,2026-03-13 17:20:00,S,92.865,92.6384,92.9783,92.6384,2.0,tp,2.85,0.62,2.23,4.51
2026-03-19 17:20:00,2026-03-19 17:40:00,S,92.495,92.32864,92.57818,92.32864,2.0,tp,2.09,0.62,1.47,5.98
2026-03-19 17:50:00,2026-03-19 21:00:00,S,92.395,92.5778,92.5778,92.02939,-1.0,sl,-2.3,0.62,-2.92,3.06
2026-03-20 17:15:00,2026-03-20 20:55:00,L,92.922,92.77323,92.77323,93.21954,-1.0,sl,-1.87,0.62,-2.49,0.57
2026-03-23 17:25:00,2026-03-24 01:25:00,S,92.965,92.77,93.21619,92.46262,0.776,time,2.45,0.62,1.83,2.4
2026-03-26 15:40:00,2026-03-26 15:45:00,S,92.314,92.35997,92.35997,92.22205,-1.0,sl,-0.58,0.62,-1.2,1.2
2026-03-26 16:00:00,2026-03-26 16:45:00,S,92.346,92.23876,92.39962,92.23876,2.0,tp,1.35,0.62,0.73,1.93
2026-03-27 18:10:00,2026-03-27 22:00:00,S,92.172,91.97817,92.26891,91.97817,2.0,tp,2.43,0.62,1.81,3.74
2026-03-31 15:15:00,2026-03-31 16:30:00,S,91.328,91.13897,91.42251,91.13897,2.0,tp,2.37,0.62,1.75,5.49
2026-04-02 15:45:00,2026-04-02 16:30:00,S,91.134,91.20535,91.20535,90.9913,-1.0,sl,-0.9,0.62,-1.52,3.97
2026-04-02 18:25:00,2026-04-03 02:25:00,S,91.207,91.196,91.37415,90.8727,0.066,time,0.14,0.62,-0.48,3.49
2026-04-10 19:25:00,2026-04-10 19:30:00,L,93.034,92.97864,92.97864,93.14472,-1.0,sl,-0.7,0.62,-1.32,2.17
2026-04-13 15:30:00,2026-04-13 16:45:00,L,93.024,93.18723,92.94238,93.18723,2.0,tp,2.05,0.62,1.43,3.6
2026-04-22 15:25:00,2026-04-22 15:30:00,L,94.049,94.00531,94.00531,94.13637,-1.0,sl,-0.55,0.62,-1.17,2.43
2026-04-22 15:50:00,2026-04-22 15:50:00,L,94.016,93.98442,93.98442,94.07917,-1.0,sl,-0.4,0.62,-1.02,1.41
2026-04-22 16:20:00,2026-04-22 17:20:00,L,94.054,94.20175,93.98013,94.20175,2.0,tp,1.86,0.62,1.24,2.65
2026-05-01 15:35:00,2026-05-01 15:35:00,S,92.378,92.41219,92.41219,92.30963,-1.0,sl,-0.43,0.62,-1.05,1.6
2026-05-01 15:50:00,2026-05-01 15:55:00,S,92.402,92.43263,92.43263,92.34074,-1.0,sl,-0.38,0.62,-1.0,0.6
2026-05-01 16:25:00,2026-05-01 16:30:00,S,92.442,92.47737,92.47737,92.37127,-1.0,sl,-0.44,0.62,-1.06,-0.46
2026-05-01 18:35:00,2026-05-01 20:35:00,S,92.776,92.70429,92.81186,92.70429,2.0,tp,0.9,0.62,0.28,-0.18
2026-05-06 16:55:00,2026-05-06 17:35:00,L,92.977,93.08238,92.92431,93.08238,2.0,tp,1.32,0.62,0.7,0.52
2026-05-07 19:20:00,2026-05-07 21:10:00,L,93.305,93.25775,93.25775,93.3995,-1.0,sl,-0.59,0.62,-1.21,-0.69
2026-05-08 15:30:00,2026-05-08 15:30:00,L,93.396,93.33426,93.33426,93.51949,-1.0,sl,-0.78,0.62,-1.4,-2.09
2026-05-08 15:35:00,2026-05-08 16:05:00,L,93.411,93.28821,93.28821,93.65658,-1.0,sl,-1.54,0.62,-2.16,-4.25
2026-05-08 16:35:00,2026-05-11 00:00:00,L,93.301,93.1997,93.1997,93.50361,-1.0,sl,-1.27,0.62,-1.89,-6.14
