entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 16:50:00,2023-01-03 16:55:00,S,81.762,81.55634,81.86483,81.55634,2.0,tp,2.58,0.62,1.96,1.96
2023-01-03 17:00:00,2023-01-03 23:55:00,S,81.512,81.8675,81.8675,80.80099,-1.0,sl,-4.47,0.62,-5.09,-3.13
2023-01-05 16:30:00,2023-01-05 17:50:00,L,83.324,83.17704,83.17704,83.61793,-1.0,sl,-1.85,0.62,-2.47,-5.6
2023-01-09 16:30:00,2023-01-09 16:30:00,L,84.24,84.14135,84.14135,84.4373,-1.0,sl,-1.24,0.62,-1.86,-7.46
2023-01-09 16:50:00,2023-01-09 17:00:00,L,84.19,84.36836,84.10082,84.36836,2.0,tp,2.24,0.62,1.62,-5.84
2023-01-09 17:05:00,2023-01-09 19:05:00,L,84.41,84.09975,84.09975,85.0305,-1.0,sl,-3.9,0.62,-4.52,-10.36
2023-01-10 15:10:00,2023-01-10 16:00:00,L,83.997,84.12704,83.93198,84.12704,2.0,tp,1.63,0.62,1.01,-9.35
2023-01-11 15:10:00,2023-01-11 20:00:00,L,84.246,84.03793,84.03793,84.66215,-1.0,sl,-2.61,0.62,-3.23,-12.58
2023-01-18 15:10:00,2023-01-18 15:30:00,L,83.712,83.55008,83.55008,84.03583,-1.0,sl,-2.03,0.62,-2.65,-15.23
2023-01-18 16:35:00,2023-01-18 17:15:00,L,83.363,83.19592,83.19592,83.69717,-1.0,sl,-2.1,0.62,-2.72,-17.95
2023-01-18 17:30:00,2023-01-18 17:50:00,L,83.196,83.10513,83.10513,83.37775,-1.0,sl,-1.14,0.62,-1.76,-19.71
2023-01-23 16:25:00,2023-01-23 17:50:00,L,84.281,84.52716,84.15792,84.52716,2.0,tp,3.09,0.62,2.47,-17.24
2023-02-03 15:50:00,2023-02-03 16:30:00,S,83.128,83.30886,83.30886,82.76628,-1.0,sl,-2.27,0.62,-2.89,-20.13
2023-02-03 16:55:00,2023-02-03 17:15:00,S,83.305,83.42411,83.42411,83.06677,-1.0,sl,-1.5,0.62,-2.12,-22.25
2023-02-09 15:55:00,2023-02-09 17:50:00,L,83.273,83.17107,83.17107,83.47686,-1.0,sl,-1.28,0.62,-1.9,-24.15
2023-02-14 15:35:00,2023-02-14 23:35:00,L,83.958,84.292,83.51898,84.83604,0.761,time,4.2,0.62,3.58,-20.57
2023-02-16 15:05:00,2023-02-16 15:30:00,L,84.095,84.01379,84.01379,84.25743,-1.0,sl,-1.02,0.62,-1.64,-22.21
2023-02-28 17:35:00,2023-02-28 20:00:00,L,84.362,84.19312,84.19312,84.69976,-1.0,sl,-2.12,0.62,-2.74,-24.95
2023-03-13 16:05:00,2023-03-13 16:20:00,S,82.645,82.82485,82.82485,82.28531,-1.0,sl,-2.26,0.62,-2.88,-27.83
2023-03-13 16:55:00,2023-03-13 17:00:00,S,82.842,82.96745,82.96745,82.5911,-1.0,sl,-1.58,0.62,-2.2,-30.03
2023-03-13 18:05:00,2023-03-14 02:05:00,S,83.0,82.728,83.20534,82.58932,1.325,time,3.42,0.62,2.8,-27.23
2023-03-14 19:40:00,2023-03-14 23:00:00,L,83.629,83.46562,83.46562,83.95577,-1.0,sl,-2.05,0.62,-2.67,-29.9
2023-03-16 18:35:00,2023-03-16 18:45:00,S,82.048,82.14629,82.14629,81.85141,-1.0,sl,-1.23,0.62,-1.85,-31.75
2023-03-20 15:25:00,2023-03-20 15:30:00,S,82.264,82.33495,82.33495,82.12211,-1.0,sl,-0.89,0.62,-1.51,-33.26
2023-03-20 15:55:00,2023-03-20 16:00:00,S,82.345,82.47128,82.47128,82.09245,-1.0,sl,-1.59,0.62,-2.21,-35.47
2023-03-20 16:10:00,2023-03-20 18:05:00,S,82.352,82.05762,82.49919,82.05762,2.0,tp,3.7,0.62,3.08,-32.39
2023-03-24 15:50:00,2023-03-24 16:00:00,S,80.748,80.94901,80.94901,80.34597,-1.0,sl,-2.52,0.62,-3.14,-35.53
2023-03-24 17:10:00,2023-03-24 17:55:00,S,80.803,81.07157,81.07157,80.26587,-1.0,sl,-3.37,0.62,-3.99,-39.52
2023-03-24 19:00:00,2023-03-27 00:00:00,S,81.131,80.93427,81.22937,80.93427,2.0,tp,2.47,0.62,1.85,-37.67
2023-03-30 15:05:00,2023-03-30 23:05:00,L,82.71,83.071,82.49852,83.13296,1.707,time,4.53,0.62,3.91,-33.76
2023-03-31 15:55:00,2023-03-31 17:50:00,L,83.276,83.14412,83.14412,83.53975,-1.0,sl,-1.66,0.62,-2.28,-36.04
2023-04-03 17:30:00,2023-04-03 18:10:00,L,83.291,83.13515,83.13515,83.60271,-1.0,sl,-1.96,0.62,-2.58,-38.62
2023-04-03 18:40:00,2023-04-03 19:15:00,L,83.156,83.28692,83.09054,83.28692,2.0,tp,1.64,0.62,1.02,-37.6
2023-04-05 19:05:00,2023-04-05 19:25:00,S,82.889,82.76319,82.95191,82.76319,2.0,tp,1.58,0.62,0.96,-36.64
2023-04-05 19:30:00,2023-04-05 23:45:00,S,82.756,82.95097,82.95097,82.36605,-1.0,sl,-2.45,0.62,-3.07,-39.71
2023-04-11 17:40:00,2023-04-11 18:00:00,S,82.755,82.81327,82.81327,82.63847,-1.0,sl,-0.73,0.62,-1.35,-41.06
2023-04-11 18:30:00,2023-04-11 19:15:00,S,82.816,82.74483,82.85159,82.74483,2.0,tp,0.89,0.62,0.27,-40.79
2023-04-18 18:15:00,2023-04-18 18:15:00,L,83.184,83.14602,83.14602,83.25997,-1.0,sl,-0.48,0.62,-1.1,-41.89
