exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 01:20:00,1.68,1.68,1001.68,0.0
2023-01-05 15:30:00,4.93,6.61,1006.61,0.0
2023-01-06 00:40:00,1.38,7.99,1007.99,0.0
2023-01-06 15:40:00,6.17,14.16,1014.16,0.0
2023-01-06 18:35:00,17.86,32.02,1032.02,0.0
2023-01-09 03:00:00,5.76,37.78,1037.78,0.0
2023-01-09 15:25:00,3.66,41.44,1041.44,0.0
2023-01-09 16:20:00,-3.83,37.61,1037.61,-0.37
2023-01-09 22:30:00,-3.28,34.33,1034.33,-0.68
2023-01-11 00:05:00,-2.6,31.73,1031.73,-0.93
2023-01-12 15:30:00,-2.97,28.76,1028.76,-1.22
2023-01-12 23:35:00,1.9,30.66,1030.66,-1.04
2023-01-13 20:45:00,3.54,34.2,1034.2,-0.7
2023-01-16 22:20:00,-1.56,32.64,1032.64,-0.84
2023-01-17 15:05:00,-2.04,30.6,1030.6,-1.04
2023-01-17 17:30:00,4.6,35.2,1035.2,-0.6
2023-01-18 01:45:00,1.44,36.64,1036.64,-0.46
2023-01-18 16:30:00,6.71,43.35,1043.35,0.0
2023-01-18 17:35:00,-5.61,37.74,1037.74,-0.54
2023-01-18 18:15:00,-2.01,35.73,1035.73,-0.73
2023-01-18 18:55:00,1.83,37.56,1037.56,-0.55
2023-01-20 17:15:00,4.62,42.18,1042.18,-0.11
2023-01-23 01:25:00,6.42,48.6,1048.6,0.0
2023-01-24 01:20:00,6.68,55.28,1055.28,0.0
2023-01-24 17:25:00,4.6,59.88,1059.88,0.0
2023-01-25 01:40:00,-1.38,58.5,1058.5,-0.13
2023-01-26 15:30:00,-1.66,56.84,1056.84,-0.29
2023-01-26 17:50:00,-4.99,51.85,1051.85,-0.76
2023-01-30 03:00:00,3.63,55.48,1055.48,-0.42
2023-02-01 17:00:00,-2.28,53.2,1053.2,-0.63
2023-02-02 16:40:00,-3.15,50.05,1050.05,-0.93
2023-02-03 00:05:00,-5.85,44.2,1044.2,-1.48
2023-02-03 15:30:00,3.0,47.2,1047.2,-1.2
2023-02-03 23:35:00,19.2,66.4,1066.4,0.0
2023-02-06 16:15:00,4.27,70.67,1070.67,0.0
2023-02-06 17:15:00,2.87,73.54,1073.54,0.0
2023-02-06 20:55:00,-5.62,67.92,1067.92,-0.52
2023-02-07 17:55:00,-2.55,65.37,1065.37,-0.76
2023-02-07 18:30:00,-1.29,64.08,1064.08,-0.88
2023-02-07 18:45:00,-1.64,62.44,1062.44,-1.03
2023-02-08 23:55:00,2.4,64.84,1064.84,-0.81
2023-02-13 01:10:00,2.26,67.1,1067.1,-0.6
2023-02-15 00:05:00,1.92,69.02,1069.02,-0.42
2023-02-15 15:45:00,-2.21,66.81,1066.81,-0.63
2023-02-15 16:05:00,2.58,69.39,1069.39,-0.39
2023-02-15 21:10:00,-5.03,64.36,1064.36,-0.86
2023-02-16 15:30:00,2.62,66.98,1066.98,-0.61
2023-02-16 16:45:00,4.72,71.7,1071.7,-0.17
2023-02-16 18:45:00,-7.1,64.6,1064.6,-0.83
2023-02-16 19:45:00,-3.23,61.37,1061.37,-1.13
2023-02-17 15:45:00,-1.31,60.06,1060.06,-1.26
2023-02-17 17:00:00,-1.5,58.56,1058.56,-1.4
2023-02-17 19:10:00,-2.5,56.06,1056.06,-1.63
2023-02-21 15:45:00,1.17,57.23,1057.23,-1.52
2023-02-21 17:40:00,-2.35,54.88,1054.88,-1.74
2023-02-21 18:20:00,3.08,57.96,1057.96,-1.45
2023-02-22 02:35:00,0.7,58.66,1058.66,-1.39
2023-02-23 16:50:00,-3.36,55.3,1055.3,-1.7
2023-02-24 01:10:00,-1.36,53.94,1053.94,-1.83
2023-02-24 23:15:00,2.34,56.28,1056.28,-1.61
2023-02-27 15:30:00,-3.02,53.26,1053.26,-1.89
2023-02-27 17:05:00,-1.71,51.55,1051.55,-2.05
2023-02-28 01:55:00,-0.2,51.35,1051.35,-2.07
2023-03-02 23:05:00,-0.68,50.67,1050.67,-2.13
2023-03-03 17:00:00,3.88,54.55,1054.55,-1.77
2023-03-03 21:10:00,-3.45,51.1,1051.1,-2.09
2023-03-06 16:00:00,1.6,52.7,1052.7,-1.94
2023-03-06 17:15:00,-3.2,49.5,1049.5,-2.24
2023-03-06 20:50:00,2.61,52.11,1052.11,-2.0
2023-03-07 15:20:00,-1.05,51.06,1051.06,-2.09
2023-03-07 17:00:00,2.08,53.14,1053.14,-1.9
2023-03-08 01:05:00,8.86,62.0,1062.0,-1.07
2023-03-08 15:40:00,-1.82,60.18,1060.18,-1.24
2023-03-08 16:30:00,-2.35,57.83,1057.83,-1.46
2023-03-08 17:20:00,-1.95,55.88,1055.88,-1.65
2023-03-08 20:45:00,4.78,60.66,1060.66,-1.2
2023-03-15 23:05:00,2.16,62.82,1062.82,-1.0
