symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
NZDUSD,2023Q1,97,48,49.48,0.315,1.67,True
NZDUSD,2023Q2,98,52,53.06,0.369,1.86,True
NZDUSD,2023Q3,102,50,49.02,0.276,1.58,True
NZDUSD,2023Q4,124,63,50.81,0.404,1.87,True
NZDUSD,2024Q1,91,42,46.15,0.165,1.32,False
NZDUSD,2024Q2,90,53,58.89,0.516,2.41,True
NZDUSD,2024Q3,129,62,48.06,0.322,1.64,True
NZDUSD,2024Q4,113,58,51.33,0.448,2.04,True
NZDUSD,2025Q1,99,43,43.43,0.196,1.36,False
NZDUSD,2025Q2,102,53,51.96,0.388,1.84,True
NZDUSD,2025Q3,111,47,42.34,0.173,1.32,False
NZDUSD,2025Q4,96,36,37.5,0.084,1.14,False
NZDUSD,2026Q1,66,30,45.45,0.207,1.39,False
