symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
NZDUSD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1489,45.6,0.368,1.46,38.5,16.83
NZDUSD,OR,f_candle|f_ema,10,1,0.9,NY08-12,1385,45.42,0.362,1.44,38.5,16.65
NZDUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,449,46.1,0.383,1.48,30.8,13.49
NZDUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,483,45.34,0.36,1.43,30.8,12.73
NZDUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,406,45.32,0.36,1.41,30.8,12.7
NZDUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1605,45.17,0.355,1.46,30.8,12.56
NZDUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,431,46.4,0.392,1.5,23.1,9.94
NZDUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,391,45.27,0.358,1.4,23.1,8.81
NZDUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,509,44.99,0.35,1.41,23.1,8.53
NZDUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1492,44.84,0.345,1.44,23.1,8.38
NZDUSD,OR,f_candle|f_ema,10,1,0.9,NY07-16,1857,44.1,0.323,1.39,23.1,7.64
NZDUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,436,44.04,0.321,1.34,23.1,7.58
NZDUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,459,44.01,0.32,1.34,23.1,7.55
NZDUSD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,782,42.97,0.289,1.36,23.1,6.51
NZDUSD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,572,42.83,0.285,1.31,23.1,6.37
NZDUSD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,640,43.59,0.308,1.37,15.4,3.29
NZDUSD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,700,42.0,0.26,1.3,15.4,1.69
NZDUSD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2007,44.05,0.321,1.41,7.7,-0.11
