symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
NZDUSD,{'require_h1_rsi_align': True},1318,48.33,0.45,1.62,61.5,31.1
NZDUSD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",922,47.72,0.432,1.49,46.2,22.8
NZDUSD,"{'adx_min': 18.0, 'add_vol_confirm': True}",1353,47.01,0.41,1.55,46.2,22.08
NZDUSD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",1080,47.87,0.436,1.55,38.5,19.1
NZDUSD,{'add_vol_confirm': True},1652,47.28,0.418,1.59,38.5,18.51
NZDUSD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",664,46.99,0.41,1.4,38.5,18.22
NZDUSD,"{'adx_min': 18.0, 'require_macd_align': True}",806,46.28,0.388,1.37,38.5,17.51
NZDUSD,{},1489,45.6,0.368,1.46,38.5,16.83
NZDUSD,{'require_macd_align': True},1003,45.86,0.376,1.38,30.8,13.25
NZDUSD,{'adx_min': 18.0},1229,45.57,0.367,1.42,30.8,12.95
NZDUSD,{'adx_min': 22.0},997,44.93,0.348,1.34,30.8,12.32
