entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:20:00,2023-01-04 01:20:00,S,0.62534,0.62428,0.62844,0.61914,0.342,time,2.12,0.44,1.68,1.68
2023-01-05 21:05:00,2023-01-05 23:20:00,S,0.6242,0.62232,0.62514,0.62232,2.0,tp,3.76,0.44,3.32,5.0
2023-01-06 15:05:00,2023-01-06 15:30:00,L,0.62021,0.62264,0.61899,0.62264,2.0,tp,4.87,0.44,4.43,9.43
2023-01-09 19:50:00,2023-01-09 20:40:00,L,0.63874,0.63786,0.63786,0.6405,-1.0,sl,-1.76,0.44,-2.2,7.23
2023-01-09 21:00:00,2023-01-09 22:30:00,L,0.63802,0.63744,0.63744,0.63918,-1.0,sl,-1.16,0.44,-1.6,5.63
2023-01-10 16:05:00,2023-01-11 00:05:00,L,0.63757,0.63649,0.63411,0.6445,-0.312,time,-2.16,0.44,-2.6,3.03
2023-01-12 17:15:00,2023-01-13 01:15:00,L,0.63596,0.63847,0.63198,0.64393,0.63,time,5.02,0.44,4.58,7.61
2023-01-16 16:10:00,2023-01-16 23:55:00,L,0.63859,0.63742,0.63742,0.64093,-1.0,sl,-2.34,0.44,-2.78,4.83
2023-01-18 18:05:00,2023-01-18 18:15:00,L,0.64746,0.64667,0.64667,0.64903,-1.0,sl,-1.57,0.44,-2.01,2.82
2023-01-18 18:50:00,2023-01-18 18:55:00,L,0.64491,0.64605,0.64434,0.64605,2.0,tp,2.27,0.44,1.83,4.65
2023-01-23 14:45:00,2023-01-23 15:35:00,L,0.64795,0.64626,0.64626,0.65133,-1.0,sl,-3.38,0.44,-3.82,0.83
2023-01-23 16:50:00,2023-01-24 00:50:00,L,0.64632,0.64859,0.6436,0.65176,0.834,time,4.54,0.44,4.1,4.93
2023-01-24 17:10:00,2023-01-24 17:25:00,L,0.64744,0.64996,0.64618,0.64996,2.0,tp,5.04,0.44,4.6,9.53
2023-01-24 17:40:00,2023-01-25 01:40:00,L,0.64899,0.64852,0.64618,0.65461,-0.167,time,-0.94,0.44,-1.38,8.15
2023-01-30 14:10:00,2023-01-30 21:05:00,L,0.64879,0.64763,0.64763,0.65112,-1.0,sl,-2.33,0.44,-2.77,5.38
2023-02-02 17:35:00,2023-02-03 00:05:00,L,0.64882,0.64611,0.64611,0.65423,-1.0,sl,-5.41,0.44,-5.85,-0.47
2023-02-06 14:55:00,2023-02-06 15:25:00,S,0.6316,0.63055,0.63212,0.63055,2.0,tp,2.1,0.44,1.66,1.19
2023-02-06 15:30:00,2023-02-06 17:40:00,S,0.63045,0.62709,0.63213,0.62709,2.0,tp,6.73,0.44,6.29,7.48
2023-02-06 22:00:00,2023-02-07 01:05:00,S,0.62972,0.63065,0.63065,0.62786,-1.0,sl,-1.86,0.44,-2.3,5.18
2023-02-07 18:25:00,2023-02-07 18:30:00,S,0.63015,0.63057,0.63057,0.6293,-1.0,sl,-0.85,0.44,-1.29,3.89
2023-02-07 18:40:00,2023-02-07 18:45:00,S,0.63014,0.63074,0.63074,0.62894,-1.0,sl,-1.2,0.44,-1.64,2.25
2023-02-07 20:30:00,2023-02-08 04:30:00,S,0.63072,0.63151,0.63597,0.62022,-0.151,time,-1.58,0.44,-2.02,0.23
2023-02-10 16:15:00,2023-02-10 16:45:00,S,0.6334,0.63387,0.63387,0.63245,-1.0,sl,-0.95,0.44,-1.39,-1.16
2023-02-10 16:55:00,2023-02-10 18:25:00,S,0.63295,0.63094,0.63396,0.63094,2.0,tp,4.02,0.44,3.58,2.42
2023-02-14 16:05:00,2023-02-15 00:05:00,S,0.63439,0.63321,0.63913,0.62492,0.249,time,2.36,0.44,1.92,4.34
2023-02-15 22:00:00,2023-02-16 02:30:00,S,0.62797,0.62635,0.62878,0.62635,2.0,tp,3.23,0.44,2.79,7.13
2023-02-16 19:20:00,2023-02-16 19:45:00,S,0.62618,0.62757,0.62757,0.62339,-1.0,sl,-2.79,0.44,-3.23,3.9
2023-02-16 20:15:00,2023-02-16 22:05:00,S,0.62742,0.62604,0.62811,0.62604,2.0,tp,2.75,0.44,2.31,6.21
2023-02-17 15:45:00,2023-02-17 15:45:00,S,0.62073,0.62117,0.62117,0.61986,-1.0,sl,-0.87,0.44,-1.31,4.9
2023-02-17 16:25:00,2023-02-17 17:00:00,S,0.62195,0.62248,0.62248,0.62089,-1.0,sl,-1.06,0.44,-1.5,3.4
2023-02-17 17:40:00,2023-02-17 19:10:00,S,0.62354,0.62457,0.62457,0.62148,-1.0,sl,-2.06,0.44,-2.5,0.9
2023-02-17 19:45:00,2023-02-17 21:20:00,S,0.6241,0.62475,0.62475,0.62281,-1.0,sl,-1.29,0.44,-1.73,-0.83
2023-02-17 21:35:00,2023-02-20 00:00:00,S,0.62443,0.62368,0.62481,0.62368,2.0,tp,1.51,0.44,1.07,0.24
2023-02-27 16:00:00,2023-02-27 17:05:00,S,0.61599,0.61663,0.61663,0.61472,-1.0,sl,-1.27,0.44,-1.71,-1.47
2023-02-27 17:55:00,2023-02-28 01:55:00,S,0.61639,0.61627,0.61797,0.61323,0.076,time,0.24,0.44,-0.2,-1.67
2023-02-28 14:10:00,2023-02-28 14:55:00,S,0.61582,0.61639,0.61639,0.61468,-1.0,sl,-1.14,0.44,-1.58,-3.25
2023-03-02 14:30:00,2023-03-02 22:30:00,S,0.62202,0.62202,0.62338,0.61929,-0.0,time,-0.0,0.44,-0.44,-3.69
