entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-18 15:05:00,2026-02-18 15:55:00,S,0.60021,0.59864,0.601,0.59864,2.0,tp,3.15,0.44,2.71,2.71
2026-02-18 16:20:00,2026-02-19 00:20:00,S,0.59845,0.59639,0.60007,0.59521,1.271,time,4.12,0.44,3.68,6.39
2026-02-19 15:05:00,2026-02-19 17:45:00,S,0.59589,0.59743,0.59743,0.5928,-1.0,sl,-3.09,0.44,-3.53,2.86
2026-02-19 18:00:00,2026-02-20 02:00:00,S,0.59713,0.59704,0.59801,0.59536,0.102,time,0.18,0.44,-0.26,2.6
2026-02-20 15:15:00,2026-02-20 15:25:00,S,0.59525,0.59565,0.59565,0.59446,-1.0,sl,-0.79,0.44,-1.23,1.37
2026-02-20 15:35:00,2026-02-20 17:00:00,S,0.5948,0.59598,0.59598,0.59244,-1.0,sl,-2.36,0.44,-2.8,-1.43
2026-02-23 15:15:00,2026-02-23 15:20:00,S,0.59637,0.59663,0.59663,0.59585,-1.0,sl,-0.52,0.44,-0.96,-2.39
2026-02-23 15:25:00,2026-02-23 15:30:00,S,0.59625,0.5967,0.5967,0.59535,-1.0,sl,-0.9,0.44,-1.34,-3.73
2026-02-23 16:20:00,2026-02-23 16:30:00,S,0.59726,0.59753,0.59753,0.59672,-1.0,sl,-0.54,0.44,-0.98,-4.71
2026-02-23 17:05:00,2026-02-23 18:00:00,S,0.59729,0.59613,0.59787,0.59613,2.0,tp,2.32,0.44,1.88,-2.83
2026-02-23 18:20:00,2026-02-24 00:00:00,S,0.59654,0.59475,0.59743,0.59475,2.0,tp,3.57,0.44,3.13,0.3
2026-02-24 15:05:00,2026-02-24 16:10:00,S,0.59518,0.59421,0.59567,0.59421,2.0,tp,1.94,0.44,1.5,1.8
2026-02-24 16:30:00,2026-02-24 16:45:00,S,0.59469,0.59533,0.59533,0.59341,-1.0,sl,-1.28,0.44,-1.72,0.08
2026-02-24 16:55:00,2026-02-24 17:20:00,S,0.59528,0.59559,0.59559,0.59467,-1.0,sl,-0.61,0.44,-1.05,-0.97
2026-02-24 17:55:00,2026-02-24 18:05:00,S,0.59601,0.59652,0.59652,0.59499,-1.0,sl,-1.02,0.44,-1.46,-2.43
2026-02-25 15:10:00,2026-02-25 15:10:00,S,0.59731,0.5977,0.5977,0.59654,-1.0,sl,-0.77,0.44,-1.21,-3.64
2026-02-25 15:45:00,2026-02-25 16:50:00,S,0.59713,0.5979,0.5979,0.59559,-1.0,sl,-1.54,0.44,-1.98,-5.62
2026-02-26 15:45:00,2026-02-26 17:20:00,S,0.59852,0.5966,0.59948,0.5966,2.0,tp,3.84,0.44,3.4,-2.22
2026-02-26 17:50:00,2026-02-27 01:50:00,S,0.59751,0.59781,0.59874,0.59506,-0.244,time,-0.6,0.44,-1.04,-3.26
2026-02-27 15:05:00,2026-02-27 16:35:00,S,0.59815,0.59877,0.59877,0.59692,-1.0,sl,-1.23,0.44,-1.67,-4.93
2026-03-02 15:20:00,2026-03-02 16:00:00,S,0.59453,0.5932,0.59519,0.5932,2.0,tp,2.65,0.44,2.21,-2.72
2026-03-02 16:10:00,2026-03-02 16:40:00,S,0.59395,0.59488,0.59488,0.59209,-1.0,sl,-1.86,0.44,-2.3,-5.02
2026-03-02 16:55:00,2026-03-02 17:15:00,S,0.59477,0.59366,0.59533,0.59366,2.0,tp,2.22,0.44,1.78,-3.24
2026-03-02 17:20:00,2026-03-02 21:25:00,S,0.59364,0.59532,0.59532,0.59027,-1.0,sl,-3.37,0.44,-3.81,-7.05
2026-03-03 15:30:00,2026-03-03 16:40:00,S,0.58904,0.58688,0.59012,0.58688,2.0,tp,4.31,0.44,3.87,-3.18
2026-03-03 16:45:00,2026-03-03 20:35:00,S,0.58671,0.58941,0.58941,0.58131,-1.0,sl,-5.4,0.44,-5.84,-9.02
2026-03-05 15:05:00,2026-03-05 17:25:00,S,0.59203,0.58965,0.59322,0.58965,2.0,tp,4.75,0.44,4.31,-4.71
2026-03-05 17:50:00,2026-03-06 01:50:00,S,0.58904,0.58967,0.59174,0.58364,-0.233,time,-1.26,0.44,-1.7,-6.41
2026-03-06 15:05:00,2026-03-06 15:10:00,S,0.58682,0.58736,0.58736,0.58575,-1.0,sl,-1.07,0.44,-1.51,-7.92
2026-03-06 15:45:00,2026-03-06 15:45:00,S,0.58826,0.58679,0.589,0.58679,2.0,tp,2.95,0.44,2.51,-5.41
2026-03-06 15:50:00,2026-03-06 17:30:00,S,0.58722,0.58901,0.58901,0.58365,-1.0,sl,-3.57,0.44,-4.01,-9.42
2026-03-06 17:45:00,2026-03-06 18:00:00,S,0.58847,0.58915,0.58915,0.5871,-1.0,sl,-1.37,0.44,-1.81,-11.23
2026-03-06 19:25:00,2026-03-06 20:15:00,S,0.58997,0.59075,0.59075,0.58841,-1.0,sl,-1.56,0.44,-2.0,-13.23
2026-03-11 17:10:00,2026-03-11 17:45:00,S,0.59277,0.59108,0.59362,0.59108,2.0,tp,3.38,0.44,2.94,-10.29
2026-03-11 18:40:00,2026-03-11 19:35:00,S,0.59139,0.59057,0.5918,0.59057,2.0,tp,1.65,0.44,1.21,-9.08
2026-03-11 19:40:00,2026-03-11 21:50:00,S,0.59084,0.5918,0.5918,0.58891,-1.0,sl,-1.93,0.44,-2.37,-11.45
2026-03-12 15:05:00,2026-03-12 15:10:00,S,0.58963,0.58896,0.58996,0.58896,2.0,tp,1.34,0.44,0.9,-10.55
2026-03-12 15:15:00,2026-03-12 16:40:00,S,0.58875,0.58647,0.58989,0.58647,2.0,tp,4.56,0.44,4.12,-6.43
2026-03-12 16:50:00,2026-03-13 00:50:00,S,0.58643,0.58512,0.58853,0.58222,0.622,time,2.62,0.44,2.18,-4.25
2026-03-13 15:10:00,2026-03-13 15:50:00,S,0.58276,0.58392,0.58392,0.58044,-1.0,sl,-2.32,0.44,-2.76,-7.01
2026-03-13 16:15:00,2026-03-13 17:05:00,S,0.58311,0.58126,0.58403,0.58126,2.0,tp,3.7,0.44,3.26,-3.75
2026-03-13 18:30:00,2026-03-16 02:35:00,S,0.57999,0.58046,0.58132,0.57733,-0.354,time,-0.94,0.44,-1.38,-5.13
