entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:20:00,2023-01-04 01:20:00,S,0.62534,0.62428,0.62844,0.61914,0.342,time,2.12,0.44,1.68,1.68
2023-01-05 15:15:00,2023-01-05 15:30:00,S,0.62956,0.62687,0.6309,0.62687,2.0,tp,5.37,0.44,4.93,6.61
2023-01-05 16:40:00,2023-01-06 00:40:00,S,0.62319,0.62228,0.62598,0.61761,0.326,time,1.82,0.44,1.38,7.99
2023-01-06 15:10:00,2023-01-06 15:40:00,L,0.62064,0.62395,0.61899,0.62395,2.0,tp,6.61,0.44,6.17,14.16
2023-01-06 15:45:00,2023-01-06 18:35:00,L,0.62421,0.63336,0.61964,0.63336,2.0,tp,18.3,0.44,17.86,32.02
2023-01-06 18:55:00,2023-01-09 03:00:00,L,0.63351,0.63661,0.63081,0.63891,1.149,time,6.2,0.44,5.76,37.78
2023-01-09 15:05:00,2023-01-09 15:25:00,L,0.63839,0.64044,0.63737,0.64044,2.0,tp,4.1,0.44,3.66,41.44
2023-01-09 16:00:00,2023-01-09 16:20:00,L,0.63977,0.63807,0.63807,0.64316,-1.0,sl,-3.39,0.44,-3.83,37.61
2023-01-09 16:50:00,2023-01-09 22:30:00,L,0.63874,0.63732,0.63732,0.64158,-1.0,sl,-2.84,0.44,-3.28,34.33
2023-01-10 16:05:00,2023-01-11 00:05:00,L,0.63757,0.63649,0.63411,0.6445,-0.312,time,-2.16,0.44,-2.6,31.73
2023-01-12 15:05:00,2023-01-12 15:30:00,L,0.63533,0.63406,0.63406,0.63786,-1.0,sl,-2.53,0.44,-2.97,28.76
2023-01-12 15:35:00,2023-01-12 23:35:00,L,0.63836,0.63953,0.63046,0.65415,0.148,time,2.34,0.44,1.9,30.66
2023-01-13 19:05:00,2023-01-13 20:45:00,L,0.63597,0.63796,0.63498,0.63796,2.0,tp,3.98,0.44,3.54,34.2
2023-01-16 17:05:00,2023-01-16 22:20:00,L,0.63859,0.63803,0.63803,0.63971,-1.0,sl,-1.12,0.44,-1.56,32.64
2023-01-17 15:05:00,2023-01-17 15:05:00,L,0.64038,0.63958,0.63958,0.64198,-1.0,sl,-1.6,0.44,-2.04,30.6
2023-01-17 15:35:00,2023-01-17 17:30:00,L,0.64004,0.64256,0.63878,0.64256,2.0,tp,5.04,0.44,4.6,35.2
2023-01-17 17:45:00,2023-01-18 01:45:00,L,0.6421,0.64304,0.64036,0.64558,0.541,time,1.88,0.44,1.44,36.64
2023-01-18 15:05:00,2023-01-18 16:30:00,L,0.64932,0.65289,0.64753,0.65289,2.0,tp,7.15,0.44,6.71,43.35
2023-01-18 16:40:00,2023-01-18 17:35:00,L,0.65096,0.64838,0.64838,0.65613,-1.0,sl,-5.17,0.44,-5.61,37.74
2023-01-18 18:05:00,2023-01-18 18:15:00,L,0.64746,0.64667,0.64667,0.64903,-1.0,sl,-1.57,0.44,-2.01,35.73
