exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 18:10:00,4.33,4.33,1004.33,0.0
2023-01-04 02:15:00,0.52,4.85,1004.85,0.0
2023-01-06 18:35:00,19.44,24.29,1024.29,0.0
2023-01-10 00:55:00,-0.78,23.51,1023.51,-0.08
2023-01-10 16:05:00,4.12,27.63,1027.63,0.0
2023-01-11 23:05:00,0.38,28.01,1028.01,0.0
2023-01-18 17:05:00,-2.98,25.03,1025.03,-0.29
2023-01-24 00:50:00,3.04,28.07,1028.07,0.0
2023-01-24 16:45:00,-1.77,26.3,1026.3,-0.17
2023-01-25 01:25:00,0.52,26.82,1026.82,-0.12
2023-01-30 01:10:00,0.04,26.86,1026.86,-0.12
2023-02-01 18:50:00,-1.22,25.64,1025.64,-0.24
2023-02-03 01:40:00,-1.49,24.15,1024.15,-0.38
2023-02-13 16:30:00,-1.1,23.05,1023.05,-0.49
2023-02-14 00:40:00,3.29,26.34,1026.34,-0.17
2023-02-15 01:35:00,-1.14,25.2,1025.2,-0.28
2023-02-17 17:15:00,-2.53,22.67,1022.67,-0.53
2023-02-17 21:20:00,-2.61,20.06,1020.06,-0.78
2023-02-22 23:10:00,2.19,22.25,1022.25,-0.57
2023-03-02 17:00:00,-2.79,19.46,1019.46,-0.84
2023-03-02 20:25:00,3.12,22.58,1022.58,-0.53
2023-03-06 19:10:00,-2.55,20.03,1020.03,-0.78
2023-03-07 03:40:00,-0.1,19.93,1019.93,-0.79
2023-03-08 15:15:00,0.56,20.49,1020.49,-0.74
2023-03-08 20:25:00,5.1,25.59,1025.59,-0.24
2023-03-09 17:35:00,-2.2,23.39,1023.39,-0.46
2023-03-09 21:40:00,5.48,28.87,1028.87,0.0
2023-03-15 20:20:00,-0.9,27.97,1027.97,-0.09
2023-03-16 19:05:00,-3.25,24.72,1024.72,-0.4
2023-03-24 18:00:00,-2.67,22.05,1022.05,-0.66
2023-03-24 20:15:00,-1.01,21.04,1021.04,-0.76
2023-03-31 17:10:00,3.42,24.46,1024.46,-0.43
2023-04-04 15:45:00,-1.91,22.55,1022.55,-0.61
2023-04-04 16:20:00,1.42,23.97,1023.97,-0.48
2023-04-04 18:25:00,-3.2,20.77,1020.77,-0.79
2023-04-04 18:50:00,-1.75,19.02,1019.02,-0.96
2023-04-04 20:15:00,1.59,20.61,1020.61,-0.8
2023-04-05 19:50:00,-3.09,17.52,1017.52,-1.1
2023-04-12 15:20:00,-1.28,16.24,1016.24,-1.23
2023-04-12 15:30:00,2.85,19.09,1019.09,-0.95
2023-04-12 23:35:00,0.03,19.12,1019.12,-0.95
2023-04-14 15:40:00,-2.32,16.8,1016.8,-1.17
2023-04-14 17:05:00,-2.92,13.88,1013.88,-1.46
2023-04-14 17:20:00,-1.8,12.08,1012.08,-1.63
2023-04-24 17:20:00,-2.15,9.93,1009.93,-1.84
2023-04-25 02:05:00,-1.03,8.9,1008.9,-1.94
2023-04-26 18:40:00,-1.91,6.99,1006.99,-2.13
2023-04-26 19:20:00,0.99,7.98,1007.98,-2.03
2023-04-26 21:20:00,3.7,11.68,1011.68,-1.67
2023-04-27 15:30:00,-1.35,10.33,1010.33,-1.8
2023-04-27 16:55:00,-3.16,7.17,1007.17,-2.11
2023-04-27 21:25:00,-2.6,4.57,1004.57,-2.36
2023-04-28 16:50:00,-3.31,1.26,1001.26,-2.68
2023-05-09 15:55:00,-0.81,0.45,1000.45,-2.76
2023-05-09 17:10:00,-2.18,-1.73,998.27,-2.97
2023-05-09 20:25:00,2.13,0.4,1000.4,-2.77
2023-05-15 18:55:00,3.06,3.46,1003.46,-2.47
2023-05-16 20:25:00,-1.3,2.16,1002.16,-2.6
2023-05-19 16:50:00,-1.91,0.25,1000.25,-2.78
2023-05-26 15:35:00,2.11,2.36,1002.36,-2.58
2023-05-26 23:45:00,-2.3,0.06,1000.06,-2.8
2023-05-29 15:20:00,1.19,1.25,1001.25,-2.68
2023-05-29 18:50:00,-2.45,-1.2,998.8,-2.92
2023-06-02 15:20:00,-2.1,-3.3,996.7,-3.13
2023-06-02 15:30:00,-1.53,-4.83,995.17,-3.28
2023-06-02 17:55:00,-3.86,-8.69,991.31,-3.65
2023-06-05 17:10:00,-1.83,-10.52,989.48,-3.83
2023-06-06 01:50:00,-0.51,-11.03,988.97,-3.88
2023-06-07 01:10:00,3.07,-7.96,992.04,-3.58
2023-06-07 17:00:00,3.43,-4.53,995.47,-3.25
2023-06-08 16:40:00,-2.01,-6.54,993.46,-3.44
2023-06-09 03:20:00,-0.22,-6.76,993.24,-3.46
2023-06-12 00:45:00,-0.65,-7.41,992.59,-3.53
2023-06-12 15:40:00,-0.92,-8.33,991.67,-3.62
2023-06-14 15:30:00,-1.47,-9.8,990.2,-3.76
2023-06-14 21:00:00,-2.16,-11.96,988.04,-3.97
2023-06-19 17:55:00,-0.97,-12.93,987.07,-4.06
2023-06-19 18:30:00,-0.78,-13.71,986.29,-4.14
2023-06-22 16:05:00,-1.47,-15.18,984.82,-4.28
2023-06-23 00:55:00,1.81,-13.37,986.63,-4.11
2023-06-26 19:00:00,3.09,-10.28,989.72,-3.81
2023-06-30 17:00:00,5.4,-4.88,995.12,-3.28
2023-07-10 16:20:00,-1.43,-6.31,993.69,-3.42
2023-07-10 17:05:00,2.92,-3.39,996.61,-3.14
2023-07-11 16:30:00,1.97,-1.42,998.58,-2.94
2023-07-12 00:35:00,4.67,3.25,1003.25,-2.49
2023-07-12 15:30:00,1.85,5.1,1005.1,-2.31
2023-07-12 16:00:00,-4.24,0.86,1000.86,-2.72
2023-07-13 17:45:00,5.21,6.07,1006.07,-2.22
2023-07-19 01:05:00,4.36,10.43,1010.43,-1.79
2023-07-19 16:10:00,2.45,12.88,1012.88,-1.55
2023-07-20 02:15:00,-0.07,12.81,1012.81,-1.56
