symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
USDCAD,2023Q1,32,16,50.0,0.199,1.47,True
USDCAD,2023Q2,50,16,32.0,-0.104,0.83,False
USDCAD,2023Q3,53,26,49.06,0.317,1.65,True
USDCAD,2023Q4,40,20,50.0,0.394,1.88,True
USDCAD,2024Q1,49,24,48.98,0.348,1.7,True
USDCAD,2024Q2,56,28,50.0,0.36,1.77,True
USDCAD,2024Q3,45,22,48.89,0.373,1.78,True
USDCAD,2024Q4,51,25,49.02,0.42,1.95,True
USDCAD,2025Q1,32,17,53.12,0.27,1.58,True
USDCAD,2025Q2,37,18,48.65,0.426,1.9,True
USDCAD,2025Q3,35,18,51.43,0.219,1.49,True
USDCAD,2025Q4,31,12,38.71,-0.027,0.95,False
USDCAD,2026Q1,17,9,52.94,0.452,1.96,False
