symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
USDCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,528,47.54,0.426,1.58,76.9,38.0
USDCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,530,47.55,0.426,1.58,69.2,34.16
USDCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,748,48.26,0.448,1.63,53.8,27.19
USDCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,795,47.67,0.43,1.6,46.2,22.75
USDCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,469,48.19,0.446,1.61,38.5,19.42
USDCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,470,48.09,0.443,1.6,38.5,19.32
USDCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,717,47.56,0.427,1.58,38.5,18.79
USDCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1758,46.08,0.382,1.5,38.5,17.31
USDCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1612,46.03,0.381,1.5,38.5,17.26
USDCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,677,47.86,0.436,1.59,30.8,15.24
USDCAD,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,486,46.91,0.407,1.58,30.8,14.3
USDCAD,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,484,46.9,0.407,1.58,30.8,14.29
USDCAD,OR,f_candle|f_ema,10,1,0.9,NY08-12,1484,46.23,0.387,1.51,30.8,13.61
USDCAD,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,428,47.66,0.43,1.61,23.1,11.2
USDCAD,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,429,47.55,0.427,1.6,23.1,11.09
USDCAD,OR,f_candle|f_ema,10,1,0.9,NY08-13,1606,46.45,0.394,1.51,23.1,9.99
USDCAD,OR,f_candle|f_ema,10,1,0.9,NY07-16,2194,45.9,0.377,1.49,23.1,9.44
USDCAD,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2413,45.59,0.368,1.48,23.1,9.12
