symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
USDCAD,{},528,47.54,0.426,1.58,76.9,38.0
USDCAD,{'add_vol_confirm': True},673,47.85,0.435,1.64,69.2,34.46
USDCAD,"{'adx_min': 18.0, 'add_vol_confirm': True}",597,47.4,0.422,1.6,61.5,30.17
USDCAD,{'require_h1_rsi_align': True},388,52.32,0.57,1.91,46.2,27.4
USDCAD,{'require_macd_align': True},389,50.13,0.504,1.67,46.2,25.21
USDCAD,{'adx_min': 18.0},462,46.1,0.383,1.47,38.5,17.33
USDCAD,"{'adx_min': 18.0, 'require_macd_align': True}",331,49.24,0.477,1.55,30.8,16.63
USDCAD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",337,50.15,0.504,1.71,23.1,13.69
USDCAD,{'adx_min': 22.0},352,47.73,0.432,1.6,23.1,11.27
USDCAD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",299,54.52,0.635,1.97,7.7,10.36
USDCAD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",213,54.46,0.634,1.91,0.0,6.46
