entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:20:00,2023-01-03 18:10:00,L,1.36156,1.36473,1.35997,1.36473,2.0,tp,4.59,0.26,4.33,4.33
2023-01-06 15:35:00,2023-01-06 18:35:00,S,1.35975,1.34613,1.36656,1.34613,2.0,tp,19.7,0.26,19.44,23.77
2023-01-09 16:55:00,2023-01-10 00:55:00,S,1.33863,1.33899,1.34157,1.33274,-0.122,time,-0.52,0.26,-0.78,22.99
2023-01-10 15:10:00,2023-01-10 16:05:00,S,1.34128,1.33826,1.34279,1.33826,2.0,tp,4.38,0.26,4.12,27.11
2023-01-11 15:05:00,2023-01-11 23:05:00,S,1.34299,1.34255,1.34446,1.34005,0.3,time,0.64,0.26,0.38,27.49
2023-01-18 16:10:00,2023-01-18 17:05:00,S,1.33758,1.33946,1.33946,1.33381,-1.0,sl,-2.72,0.26,-2.98,24.51
2023-01-23 14:05:00,2023-01-23 14:15:00,S,1.33709,1.33812,1.33812,1.33504,-1.0,sl,-1.48,0.26,-1.74,22.77
2023-01-23 14:35:00,2023-01-23 15:00:00,S,1.33761,1.33602,1.3384,1.33602,2.0,tp,2.29,0.26,2.03,24.8
2023-01-23 16:50:00,2023-01-24 00:50:00,S,1.3391,1.33682,1.34179,1.33371,0.846,time,3.3,0.26,3.04,27.84
2023-01-24 16:00:00,2023-01-24 16:45:00,S,1.33811,1.33915,1.33915,1.33603,-1.0,sl,-1.51,0.26,-1.77,26.07
2023-01-24 17:25:00,2023-01-25 01:25:00,S,1.33822,1.33768,1.34141,1.33183,0.169,time,0.78,0.26,0.52,26.59
2023-01-27 16:40:00,2023-01-27 17:05:00,S,1.33289,1.33027,1.3342,1.33027,2.0,tp,3.79,0.26,3.53,30.12
2023-01-27 17:25:00,2023-01-30 01:30:00,S,1.33141,1.33054,1.33421,1.32581,0.311,time,1.26,0.26,1.0,31.12
2023-02-01 18:25:00,2023-02-01 18:50:00,S,1.33245,1.33311,1.33311,1.33112,-1.0,sl,-0.96,0.26,-1.22,29.9
2023-02-01 21:10:00,2023-02-01 21:30:00,S,1.33455,1.33772,1.33772,1.32821,-1.0,sl,-4.59,0.26,-4.85,25.05
2023-02-01 21:40:00,2023-02-02 05:40:00,S,1.33318,1.32831,1.33808,1.32339,0.994,time,7.05,0.26,6.79,31.84
2023-02-02 17:40:00,2023-02-03 01:40:00,S,1.33081,1.33166,1.3348,1.32283,-0.213,time,-1.23,0.26,-1.49,30.35
2023-02-13 16:25:00,2023-02-13 16:30:00,S,1.33588,1.33646,1.33646,1.33472,-1.0,sl,-0.84,0.26,-1.1,29.25
2023-02-13 16:40:00,2023-02-14 00:40:00,S,1.33558,1.33313,1.33724,1.33226,1.474,time,3.55,0.26,3.29,32.54
2023-02-14 17:00:00,2023-02-15 01:05:00,S,1.33411,1.33362,1.33913,1.32407,0.098,time,0.71,0.26,0.45,32.99
2023-02-17 16:40:00,2023-02-17 17:15:00,L,1.34994,1.34837,1.34837,1.35308,-1.0,sl,-2.27,0.26,-2.53,30.46
2023-02-17 17:40:00,2023-02-17 21:20:00,L,1.34838,1.34676,1.34676,1.35162,-1.0,sl,-2.35,0.26,-2.61,27.85
2023-02-20 14:10:00,2023-02-20 16:10:00,L,1.34629,1.34493,1.34493,1.34902,-1.0,sl,-1.98,0.26,-2.24,25.61
2023-02-22 14:45:00,2023-02-22 17:10:00,L,1.35261,1.35517,1.35133,1.35517,2.0,tp,3.7,0.26,3.44,29.05
2023-02-23 22:00:00,2023-02-24 03:00:00,L,1.35497,1.35332,1.35332,1.35826,-1.0,sl,-2.38,0.26,-2.64,26.41
2023-02-24 21:30:00,2023-02-24 21:50:00,L,1.36103,1.36028,1.36028,1.36254,-1.0,sl,-1.09,0.26,-1.35,25.06
2023-03-02 14:20:00,2023-03-02 15:15:00,L,1.3608,1.36253,1.35994,1.36253,2.0,tp,2.5,0.26,2.24,27.3
2023-03-03 20:05:00,2023-03-03 21:50:00,L,1.36007,1.35941,1.35941,1.36139,-1.0,sl,-0.96,0.26,-1.22,26.08
2023-03-06 16:00:00,2023-03-06 19:10:00,L,1.36163,1.36005,1.36005,1.3648,-1.0,sl,-2.29,0.26,-2.55,23.53
2023-03-06 19:40:00,2023-03-07 03:40:00,L,1.36077,1.36088,1.35955,1.36321,0.09,time,0.16,0.26,-0.1,23.43
2023-03-08 14:25:00,2023-03-08 15:05:00,L,1.37491,1.3745,1.3745,1.37572,-1.0,sl,-0.59,0.26,-0.85,22.58
2023-03-08 15:10:00,2023-03-08 15:15:00,L,1.37466,1.37523,1.37438,1.37523,2.0,tp,0.82,0.26,0.56,23.14
2023-03-09 17:15:00,2023-03-09 17:35:00,L,1.37658,1.37524,1.37524,1.37926,-1.0,sl,-1.94,0.26,-2.2,20.94
2023-03-09 18:10:00,2023-03-09 21:40:00,L,1.37708,1.38105,1.3751,1.38105,2.0,tp,5.74,0.26,5.48,26.42
2023-03-10 14:05:00,2023-03-10 14:15:00,L,1.38373,1.38202,1.38202,1.38714,-1.0,sl,-2.47,0.26,-2.73,23.69
2023-03-10 14:25:00,2023-03-10 15:25:00,L,1.38264,1.38178,1.38178,1.38436,-1.0,sl,-1.24,0.26,-1.5,22.19
2023-03-15 19:40:00,2023-03-15 20:20:00,L,1.37711,1.37667,1.37667,1.37799,-1.0,sl,-0.64,0.26,-0.9,21.29
2023-03-15 21:10:00,2023-03-16 05:10:00,L,1.37575,1.37587,1.3738,1.37964,0.062,time,0.17,0.26,-0.09,21.2
2023-03-16 14:40:00,2023-03-16 16:15:00,L,1.37435,1.3781,1.37247,1.3781,2.0,tp,5.43,0.26,5.17,26.37
2023-03-17 21:30:00,2023-03-17 21:55:00,L,1.37193,1.37325,1.37127,1.37325,2.0,tp,1.9,0.26,1.64,28.01
2023-03-21 21:50:00,2023-03-21 22:20:00,L,1.37124,1.37102,1.37102,1.37169,-1.0,sl,-0.32,0.26,-0.58,27.43
2023-03-21 22:30:00,2023-03-21 23:05:00,L,1.37126,1.37094,1.37094,1.37189,-1.0,sl,-0.46,0.26,-0.72,26.71
2023-03-22 21:05:00,2023-03-23 05:05:00,L,1.37078,1.36753,1.3654,1.38154,-0.604,time,-4.7,0.26,-4.96,21.75
2023-03-24 16:35:00,2023-03-24 18:00:00,L,1.37685,1.37518,1.37518,1.38019,-1.0,sl,-2.41,0.26,-2.67,19.08
2023-03-24 19:35:00,2023-03-24 20:15:00,L,1.37436,1.37384,1.37384,1.3754,-1.0,sl,-0.75,0.26,-1.01,18.07
2023-03-24 20:55:00,2023-03-27 01:30:00,L,1.37357,1.37293,1.37293,1.37484,-1.0,sl,-0.92,0.26,-1.18,16.89
2023-03-30 14:45:00,2023-03-30 21:50:00,S,1.35443,1.35209,1.3556,1.35209,2.0,tp,3.39,0.26,3.13,20.02
2023-03-31 14:45:00,2023-03-31 16:35:00,S,1.35461,1.35214,1.35584,1.35214,2.0,tp,3.57,0.26,3.31,23.33
2023-04-04 14:55:00,2023-04-04 15:45:00,S,1.34326,1.34407,1.34407,1.34163,-1.0,sl,-1.18,0.26,-1.44,21.89
2023-04-04 16:25:00,2023-04-04 18:25:00,S,1.34355,1.34558,1.34558,1.33949,-1.0,sl,-2.94,0.26,-3.2,18.69
2023-04-04 18:50:00,2023-04-04 18:50:00,S,1.34473,1.34576,1.34576,1.34267,-1.0,sl,-1.49,0.26,-1.75,16.94
2023-04-05 18:35:00,2023-04-05 19:50:00,S,1.34579,1.34775,1.34775,1.34188,-1.0,sl,-2.83,0.26,-3.09,13.85
2023-04-12 15:20:00,2023-04-12 15:20:00,S,1.34799,1.34869,1.34869,1.34658,-1.0,sl,-1.02,0.26,-1.28,12.57
2023-04-12 15:30:00,2023-04-12 15:30:00,S,1.34789,1.34574,1.34896,1.34574,2.0,tp,3.11,0.26,2.85,15.42
2023-04-12 15:35:00,2023-04-12 23:35:00,S,1.34431,1.34411,1.34897,1.33499,0.043,time,0.29,0.26,0.03,15.45
2023-04-14 14:40:00,2023-04-14 15:00:00,S,1.33294,1.33199,1.33341,1.33199,2.0,tp,1.37,0.26,1.11,16.56
2023-04-14 15:05:00,2023-04-14 15:40:00,S,1.33199,1.33341,1.33341,1.32915,-1.0,sl,-2.06,0.26,-2.32,14.24
