entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 19:35:00,2026-02-17 20:00:00,L,1.36529,1.36458,1.36458,1.36672,-1.0,sl,-1.03,0.26,-1.29,-1.29
2026-02-18 15:05:00,2026-02-18 15:50:00,L,1.36459,1.36636,1.3637,1.36636,2.0,tp,2.57,0.26,2.31,1.02
2026-02-20 18:05:00,2026-02-20 18:20:00,L,1.3679,1.3694,1.36715,1.3694,2.0,tp,2.17,0.26,1.91,2.93
2026-02-20 18:25:00,2026-02-20 20:35:00,L,1.36986,1.36724,1.36724,1.3751,-1.0,sl,-3.79,0.26,-4.05,-1.12
2026-02-23 17:05:00,2026-02-24 01:05:00,L,1.36801,1.36952,1.36673,1.37056,1.184,time,2.18,0.26,1.92,0.8
2026-02-24 18:35:00,2026-02-24 19:10:00,L,1.37084,1.37014,1.37014,1.37224,-1.0,sl,-1.01,0.26,-1.27,-0.47
2026-02-24 19:15:00,2026-02-24 19:30:00,L,1.3703,1.37078,1.37006,1.37078,2.0,tp,0.69,0.26,0.43,-0.04
2026-02-24 19:45:00,2026-02-24 21:40:00,L,1.37071,1.37007,1.37007,1.372,-1.0,sl,-0.93,0.26,-1.19,-1.23
2026-02-25 15:40:00,2026-02-25 17:10:00,L,1.36919,1.36845,1.36845,1.37067,-1.0,sl,-1.07,0.26,-1.33,-2.56
2026-03-03 15:30:00,2026-03-03 16:40:00,L,1.36951,1.37197,1.36828,1.37197,2.0,tp,3.56,0.26,3.3,0.74
2026-03-04 17:05:00,2026-03-04 21:50:00,S,1.36755,1.36433,1.36916,1.36433,2.0,tp,4.67,0.26,4.41,5.15
2026-03-09 15:30:00,2026-03-09 15:40:00,S,1.35559,1.35741,1.35741,1.35195,-1.0,sl,-2.64,0.26,-2.9,2.25
2026-03-09 16:00:00,2026-03-09 16:10:00,S,1.3573,1.35797,1.35797,1.35596,-1.0,sl,-0.97,0.26,-1.23,1.02
2026-03-09 16:15:00,2026-03-09 17:05:00,S,1.35742,1.3584,1.3584,1.35545,-1.0,sl,-1.43,0.26,-1.69,-0.67
2026-03-09 17:45:00,2026-03-09 20:10:00,S,1.35767,1.35915,1.35915,1.3547,-1.0,sl,-2.15,0.26,-2.41,-3.08
2026-03-10 16:15:00,2026-03-10 20:15:00,S,1.35673,1.3581,1.3581,1.35399,-1.0,sl,-1.99,0.26,-2.25,-5.33
2026-03-13 15:40:00,2026-03-13 15:40:00,L,1.36947,1.36908,1.36908,1.37026,-1.0,sl,-0.57,0.26,-0.83,-6.16
2026-03-16 17:30:00,2026-03-16 17:50:00,L,1.36673,1.368,1.36609,1.368,2.0,tp,1.84,0.26,1.58,-4.58
2026-03-17 16:40:00,2026-03-17 17:20:00,L,1.36929,1.37186,1.36801,1.37186,2.0,tp,3.71,0.26,3.45,-1.13
2026-03-17 17:30:00,2026-03-18 01:30:00,L,1.37167,1.3693,1.36862,1.37777,-0.777,time,-3.43,0.26,-3.69,-4.82
2026-03-18 18:50:00,2026-03-18 22:10:00,L,1.37016,1.37297,1.36875,1.37297,2.0,tp,4.07,0.26,3.81,-1.01
2026-03-19 16:25:00,2026-03-20 00:25:00,L,1.37302,1.37354,1.3705,1.37807,0.206,time,0.75,0.26,0.49,-0.52
2026-03-20 15:05:00,2026-03-22 23:10:00,L,1.37202,1.37176,1.36991,1.37623,-0.123,time,-0.38,0.26,-0.64,-1.16
2026-03-25 15:35:00,2026-03-25 17:15:00,L,1.37833,1.3805,1.37724,1.3805,2.0,tp,3.14,0.26,2.88,1.72
2026-03-26 16:30:00,2026-03-26 17:25:00,L,1.38291,1.38454,1.3821,1.38454,2.0,tp,2.36,0.26,2.1,3.82
2026-03-31 15:50:00,2026-03-31 16:20:00,L,1.39413,1.39311,1.39311,1.39617,-1.0,sl,-1.47,0.26,-1.73,2.09
2026-03-31 16:35:00,2026-03-31 17:45:00,L,1.3933,1.39513,1.39238,1.39513,2.0,tp,2.65,0.26,2.39,4.48
2026-04-02 15:40:00,2026-04-02 23:40:00,L,1.39215,1.3917,1.39066,1.39513,-0.302,time,-0.65,0.26,-0.91,3.57
2026-04-15 15:05:00,2026-04-15 17:00:00,S,1.37795,1.37602,1.37891,1.37602,2.0,tp,2.79,0.26,2.53,6.1
2026-04-20 16:20:00,2026-04-20 16:45:00,S,1.36937,1.36783,1.37014,1.36783,2.0,tp,2.23,0.26,1.97,8.07
2026-04-22 16:10:00,2026-04-22 17:20:00,S,1.36644,1.36472,1.3673,1.36472,2.0,tp,2.49,0.26,2.23,10.3
2026-04-27 18:30:00,2026-04-27 20:20:00,S,1.3619,1.36228,1.36228,1.36114,-1.0,sl,-0.55,0.26,-0.81,9.49
2026-05-11 16:05:00,2026-05-12 00:05:00,S,1.36678,1.36752,1.3683,1.36373,-0.486,time,-1.07,0.26,-1.33,8.16
2026-05-13 15:15:00,2026-05-13 16:35:00,L,1.36944,1.37045,1.36893,1.37045,2.0,tp,1.46,0.26,1.2,9.36
