entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:20:00,2023-01-03 18:10:00,L,1.36156,1.36473,1.35997,1.36473,2.0,tp,4.59,0.26,4.33,4.33
2023-01-03 18:15:00,2023-01-04 02:15:00,L,1.36531,1.36585,1.36054,1.37485,0.113,time,0.78,0.26,0.52,4.85
2023-01-06 15:35:00,2023-01-06 18:35:00,S,1.35975,1.34613,1.36656,1.34613,2.0,tp,19.7,0.26,19.44,24.29
2023-01-09 16:55:00,2023-01-10 00:55:00,S,1.33863,1.33899,1.34157,1.33274,-0.122,time,-0.52,0.26,-0.78,23.51
2023-01-10 15:10:00,2023-01-10 16:05:00,S,1.34128,1.33826,1.34279,1.33826,2.0,tp,4.38,0.26,4.12,27.63
2023-01-11 15:05:00,2023-01-11 23:05:00,S,1.34299,1.34255,1.34446,1.34005,0.3,time,0.64,0.26,0.38,28.01
2023-01-18 16:10:00,2023-01-18 17:05:00,S,1.33758,1.33946,1.33946,1.33381,-1.0,sl,-2.72,0.26,-2.98,25.03
2023-01-23 16:50:00,2023-01-24 00:50:00,S,1.3391,1.33682,1.34179,1.33371,0.846,time,3.3,0.26,3.04,28.07
2023-01-24 16:00:00,2023-01-24 16:45:00,S,1.33811,1.33915,1.33915,1.33603,-1.0,sl,-1.51,0.26,-1.77,26.3
2023-01-24 17:25:00,2023-01-25 01:25:00,S,1.33822,1.33768,1.34141,1.33183,0.169,time,0.78,0.26,0.52,26.82
2023-01-27 17:05:00,2023-01-30 01:10:00,S,1.33075,1.33054,1.33422,1.32381,0.061,time,0.3,0.26,0.04,26.86
2023-02-01 18:25:00,2023-02-01 18:50:00,S,1.33245,1.33311,1.33311,1.33112,-1.0,sl,-0.96,0.26,-1.22,25.64
2023-02-02 17:40:00,2023-02-03 01:40:00,S,1.33081,1.33166,1.3348,1.32283,-0.213,time,-1.23,0.26,-1.49,24.15
2023-02-13 16:25:00,2023-02-13 16:30:00,S,1.33588,1.33646,1.33646,1.33472,-1.0,sl,-0.84,0.26,-1.1,23.05
2023-02-13 16:40:00,2023-02-14 00:40:00,S,1.33558,1.33313,1.33724,1.33226,1.474,time,3.55,0.26,3.29,26.34
2023-02-14 17:30:00,2023-02-15 01:35:00,S,1.33323,1.33384,1.3391,1.32148,-0.104,time,-0.88,0.26,-1.14,25.2
2023-02-17 16:40:00,2023-02-17 17:15:00,L,1.34994,1.34837,1.34837,1.35308,-1.0,sl,-2.27,0.26,-2.53,22.67
2023-02-17 17:40:00,2023-02-17 21:20:00,L,1.34838,1.34676,1.34676,1.35162,-1.0,sl,-2.35,0.26,-2.61,20.06
2023-02-22 15:10:00,2023-02-22 23:10:00,L,1.35355,1.35524,1.35133,1.35798,0.763,time,2.45,0.26,2.19,22.25
2023-03-02 15:05:00,2023-03-02 17:00:00,L,1.36168,1.35993,1.35993,1.36517,-1.0,sl,-2.53,0.26,-2.79,19.46
2023-03-02 18:15:00,2023-03-02 20:25:00,L,1.36065,1.36299,1.35948,1.36299,2.0,tp,3.38,0.26,3.12,22.58
2023-03-06 16:00:00,2023-03-06 19:10:00,L,1.36163,1.36005,1.36005,1.3648,-1.0,sl,-2.29,0.26,-2.55,20.03
2023-03-06 19:40:00,2023-03-07 03:40:00,L,1.36077,1.36088,1.35955,1.36321,0.09,time,0.16,0.26,-0.1,19.93
2023-03-08 15:10:00,2023-03-08 15:15:00,L,1.37466,1.37523,1.37438,1.37523,2.0,tp,0.82,0.26,0.56,20.49
2023-03-08 15:20:00,2023-03-08 20:25:00,L,1.3762,1.3799,1.37435,1.3799,2.0,tp,5.36,0.26,5.1,25.59
2023-03-09 17:15:00,2023-03-09 17:35:00,L,1.37658,1.37524,1.37524,1.37926,-1.0,sl,-1.94,0.26,-2.2,23.39
2023-03-09 18:10:00,2023-03-09 21:40:00,L,1.37708,1.38105,1.3751,1.38105,2.0,tp,5.74,0.26,5.48,28.87
2023-03-15 19:40:00,2023-03-15 20:20:00,L,1.37711,1.37667,1.37667,1.37799,-1.0,sl,-0.64,0.26,-0.9,27.97
2023-03-16 15:05:00,2023-03-16 19:05:00,L,1.37471,1.37265,1.37265,1.37884,-1.0,sl,-2.99,0.26,-3.25,24.72
2023-03-24 16:35:00,2023-03-24 18:00:00,L,1.37685,1.37518,1.37518,1.38019,-1.0,sl,-2.41,0.26,-2.67,22.05
2023-03-24 19:35:00,2023-03-24 20:15:00,L,1.37436,1.37384,1.37384,1.3754,-1.0,sl,-0.75,0.26,-1.01,21.04
2023-03-31 15:05:00,2023-03-31 17:10:00,S,1.35457,1.35203,1.35584,1.35203,2.0,tp,3.68,0.26,3.42,24.46
2023-04-04 15:15:00,2023-04-04 15:45:00,S,1.34293,1.34407,1.34407,1.34065,-1.0,sl,-1.65,0.26,-1.91,22.55
2023-04-04 16:00:00,2023-04-04 16:20:00,S,1.345,1.34384,1.34558,1.34384,2.0,tp,1.68,0.26,1.42,23.97
2023-04-04 16:25:00,2023-04-04 18:25:00,S,1.34355,1.34558,1.34558,1.33949,-1.0,sl,-2.94,0.26,-3.2,20.77
2023-04-04 18:50:00,2023-04-04 18:50:00,S,1.34473,1.34576,1.34576,1.34267,-1.0,sl,-1.49,0.26,-1.75,19.02
2023-04-04 19:25:00,2023-04-04 20:15:00,S,1.3461,1.34482,1.34674,1.34482,2.0,tp,1.85,0.26,1.59,20.61
2023-04-05 18:35:00,2023-04-05 19:50:00,S,1.34579,1.34775,1.34775,1.34188,-1.0,sl,-2.83,0.26,-3.09,17.52
2023-04-12 15:20:00,2023-04-12 15:20:00,S,1.34799,1.34869,1.34869,1.34658,-1.0,sl,-1.02,0.26,-1.28,16.24
2023-04-12 15:30:00,2023-04-12 15:30:00,S,1.34789,1.34574,1.34896,1.34574,2.0,tp,3.11,0.26,2.85,19.09
2023-04-12 15:35:00,2023-04-12 23:35:00,S,1.34431,1.34411,1.34897,1.33499,0.043,time,0.29,0.26,0.03,19.12
2023-04-14 15:05:00,2023-04-14 15:40:00,S,1.33199,1.33341,1.33341,1.32915,-1.0,sl,-2.06,0.26,-2.32,16.8
2023-04-14 16:55:00,2023-04-14 17:05:00,S,1.33303,1.33487,1.33487,1.32935,-1.0,sl,-2.66,0.26,-2.92,13.88
2023-04-14 17:15:00,2023-04-14 17:20:00,S,1.33447,1.33554,1.33554,1.33234,-1.0,sl,-1.54,0.26,-1.8,12.08
2023-04-24 16:30:00,2023-04-24 17:20:00,L,1.35425,1.35294,1.35294,1.35686,-1.0,sl,-1.89,0.26,-2.15,9.93
2023-04-24 18:05:00,2023-04-25 02:05:00,L,1.35396,1.35343,1.35236,1.35717,-0.33,time,-0.77,0.26,-1.03,8.9
