exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 01:15:00,2.8,2.8,1002.8,0.0
2023-01-05 23:30:00,15.21,18.01,1018.01,0.0
2023-01-06 17:05:00,-10.08,7.93,1007.93,-0.99
2023-01-09 20:45:00,-6.88,1.05,1001.05,-1.67
2023-01-11 00:05:00,-0.41,0.64,1000.64,-1.71
2023-01-11 20:15:00,5.14,5.78,1005.78,-1.2
2023-01-13 16:50:00,-5.34,0.44,1000.44,-1.73
2023-01-17 17:15:00,-4.77,-4.33,995.67,-2.19
2023-01-18 02:10:00,-5.76,-10.09,989.91,-2.76
2023-01-18 16:15:00,7.85,-2.24,997.76,-1.99
2023-01-18 18:20:00,-9.69,-11.93,988.07,-2.94
2023-01-20 00:25:00,2.09,-9.84,990.16,-2.74
2023-01-25 18:00:00,-3.75,-13.59,986.41,-3.1
2023-01-31 21:35:00,19.02,5.43,1005.43,-1.24
2023-02-01 17:00:00,-3.58,1.85,1001.85,-1.59
2023-02-01 21:00:00,-7.11,-5.26,994.74,-2.29
2023-02-02 20:05:00,-8.39,-13.65,986.35,-3.11
2023-02-03 15:25:00,2.79,-10.86,989.14,-2.84
2023-02-03 23:35:00,16.84,5.98,1005.98,-1.18
2023-02-06 16:50:00,5.49,11.47,1011.47,-0.64
2023-02-07 01:20:00,0.99,12.46,1012.46,-0.55
2023-02-07 19:45:00,6.59,19.05,1019.05,0.0
2023-02-08 17:00:00,-3.87,15.18,1015.18,-0.38
2023-02-09 17:30:00,-5.27,9.91,1009.91,-0.9
2023-02-09 19:35:00,-3.63,6.28,1006.28,-1.25
2023-02-13 15:45:00,-5.54,0.74,1000.74,-1.8
2023-02-14 00:40:00,5.4,6.14,1006.14,-1.27
2023-02-14 15:30:00,-4.31,1.83,1001.83,-1.69
2023-02-14 16:20:00,-12.72,-10.89,989.11,-2.94
2023-02-15 23:45:00,-0.15,-11.04,988.96,-2.95
2023-02-16 17:05:00,7.71,-3.33,996.67,-2.2
2023-02-16 18:30:00,-4.93,-8.26,991.74,-2.68
2023-02-17 17:05:00,-3.94,-12.2,987.8,-3.07
2023-02-21 17:35:00,-4.14,-16.34,983.66,-3.47
2023-02-22 16:30:00,-3.09,-19.43,980.57,-3.78
2023-02-23 02:30:00,2.27,-17.16,982.84,-3.55
2023-02-24 00:00:00,-1.3,-18.46,981.54,-3.68
2023-02-24 16:15:00,4.01,-14.45,985.55,-3.29
2023-02-27 00:30:00,3.85,-10.6,989.4,-2.91
2023-02-28 17:25:00,-4.16,-14.76,985.24,-3.32
2023-02-28 21:55:00,10.17,-4.59,995.41,-2.32
2023-03-02 01:05:00,-1.63,-6.22,993.78,-2.48
2023-03-02 23:25:00,0.66,-5.56,994.44,-2.41
2023-03-07 17:00:00,2.59,-2.97,997.03,-2.16
2023-03-08 01:05:00,6.83,3.86,1003.86,-1.49
2023-03-10 15:40:00,10.3,14.16,1014.16,-0.48
2023-03-12 23:10:00,10.6,24.76,1024.76,0.0
2023-03-13 23:15:00,-1.76,23.0,1023.0,-0.17
2023-03-15 20:25:00,18.14,41.14,1041.14,0.0
2023-03-22 02:30:00,-2.96,38.18,1038.18,-0.28
2023-03-22 20:00:00,5.05,43.23,1043.23,0.0
2023-03-24 00:00:00,-3.36,39.87,1039.87,-0.32
2023-03-28 00:40:00,1.37,41.24,1041.24,-0.19
2023-03-30 23:55:00,2.24,43.48,1043.48,0.0
2023-03-31 15:30:00,3.5,46.98,1046.98,0.0
2023-03-31 23:35:00,-1.0,45.98,1045.98,-0.1
2023-04-03 17:00:00,6.32,52.3,1052.3,0.0
2023-04-04 01:20:00,-1.12,51.18,1051.18,-0.11
2023-04-04 19:10:00,12.52,63.7,1063.7,0.0
2023-04-05 17:00:00,6.31,70.01,1070.01,0.0
2023-04-05 17:35:00,-4.33,65.68,1065.68,-0.4
2023-04-07 00:40:00,1.6,67.28,1067.28,-0.26
2023-04-07 17:30:00,3.92,71.2,1071.2,0.0
2023-04-10 02:10:00,-2.47,68.73,1068.73,-0.23
2023-04-11 19:35:00,-3.53,65.2,1065.2,-0.56
2023-04-13 00:40:00,1.37,66.57,1066.57,-0.43
2023-04-13 15:50:00,4.89,71.46,1071.46,0.0
2023-04-13 23:55:00,-6.24,65.22,1065.22,-0.58
2023-04-21 00:20:00,3.29,68.51,1068.51,-0.28
2023-04-21 16:45:00,-2.78,65.73,1065.73,-0.53
2023-04-24 02:25:00,1.6,67.33,1067.33,-0.39
2023-04-24 16:05:00,4.0,71.33,1071.33,-0.01
2023-04-25 00:25:00,3.49,74.82,1074.82,0.0
2023-04-26 16:25:00,7.15,81.97,1081.97,0.0
2023-04-26 17:35:00,-7.24,74.73,1074.73,-0.67
2023-05-01 01:40:00,-6.96,67.77,1067.77,-1.31
2023-05-01 17:00:00,-3.8,63.97,1063.97,-1.66
2023-05-02 17:40:00,8.71,72.68,1072.68,-0.86
2023-05-03 02:30:00,2.7,75.38,1075.38,-0.61
2023-05-03 21:00:00,10.6,85.98,1085.98,0.0
2023-05-10 23:35:00,-1.45,84.53,1084.53,-0.13
2023-05-18 17:40:00,9.4,93.93,1093.93,0.0
2023-05-19 18:20:00,9.18,103.11,1103.11,0.0
2023-05-22 02:40:00,-1.66,101.45,1101.45,-0.15
2023-05-24 16:55:00,4.55,106.0,1106.0,0.0
2023-05-25 01:15:00,-0.28,105.72,1105.72,-0.03
2023-05-25 23:40:00,-0.84,104.88,1104.88,-0.1
2023-05-26 17:45:00,6.77,111.65,1111.65,0.0
2023-05-29 02:00:00,-3.14,108.51,1108.51,-0.28
2023-06-01 01:40:00,-4.54,103.97,1103.97,-0.69
2023-06-02 16:25:00,-2.94,101.03,1101.03,-0.96
2023-06-05 01:10:00,4.53,105.56,1105.56,-0.55
2023-06-06 18:50:00,-4.89,100.67,1100.67,-0.99
2023-06-08 02:45:00,2.27,102.94,1102.94,-0.78
2023-06-09 16:40:00,-2.66,100.28,1100.28,-1.02
2023-06-13 00:45:00,2.52,102.8,1102.8,-0.8
2023-06-14 21:00:00,-6.22,96.58,1096.58,-1.36
2023-06-15 16:20:00,8.65,105.23,1105.23,-0.58
2023-06-15 19:20:00,15.75,120.98,1120.98,0.0
2023-06-16 17:10:00,-4.07,116.91,1116.91,-0.36
2023-06-23 16:15:00,6.62,123.53,1123.53,0.0
2023-06-26 22:25:00,-3.6,119.93,1119.93,-0.32
2023-06-28 02:25:00,2.85,122.78,1122.78,-0.07
2023-07-04 01:15:00,1.58,124.36,1124.36,0.0
2023-07-06 00:10:00,-3.67,120.69,1120.69,-0.33
2023-07-06 17:00:00,-5.28,115.41,1115.41,-0.8
2023-07-07 01:55:00,3.67,119.08,1119.08,-0.47
2023-07-10 00:10:00,13.55,132.63,1132.63,0.0
2023-07-10 17:00:00,4.58,137.21,1137.21,0.0
2023-07-10 21:55:00,6.88,144.09,1144.09,0.0
2023-07-11 18:55:00,5.05,149.14,1149.14,0.0
2023-07-14 01:00:00,1.27,150.41,1150.41,0.0
2023-07-17 01:35:00,-0.49,149.92,1149.92,-0.04
2023-07-18 01:05:00,-0.23,149.69,1149.69,-0.06
2023-07-19 00:05:00,-1.22,148.47,1148.47,-0.17
2023-07-26 02:55:00,-0.28,148.19,1148.19,-0.19
2023-07-26 21:30:00,-4.76,143.43,1143.43,-0.61
2023-08-03 16:40:00,-4.17,139.26,1139.26,-0.97
2023-08-04 01:45:00,2.55,141.81,1141.81,-0.75
2023-08-04 15:50:00,7.68,149.49,1149.49,-0.08
2023-08-07 01:00:00,-7.62,141.87,1141.87,-0.74
2023-08-10 15:30:00,2.09,143.96,1143.96,-0.56
2023-08-10 15:40:00,-5.11,138.85,1138.85,-1.0
2023-08-10 16:20:00,-4.16,134.69,1134.69,-1.37
2023-08-10 20:20:00,-7.33,127.36,1127.36,-2.0
2023-08-14 01:20:00,0.33,127.69,1127.69,-1.97
2023-08-15 23:50:00,-5.3,122.39,1122.39,-2.44
2023-08-17 17:30:00,-4.92,117.47,1117.47,-2.86
2023-08-18 16:05:00,-3.73,113.74,1113.74,-3.19
2023-08-21 22:05:00,5.05,118.79,1118.79,-2.75
2023-08-24 00:20:00,5.81,124.6,1124.6,-2.24
2023-08-24 23:35:00,4.0,128.6,1128.6,-1.9
2023-08-25 16:15:00,1.45,130.05,1130.05,-1.77
2023-08-25 16:50:00,-2.7,127.35,1127.35,-2.0
2023-08-28 01:30:00,-2.52,124.83,1124.83,-2.22
2023-08-30 01:25:00,8.43,133.26,1133.26,-1.49
2023-08-30 23:45:00,-3.44,129.82,1129.82,-1.79
2023-09-04 01:10:00,7.01,136.83,1136.83,-1.18
2023-09-04 23:50:00,-0.15,136.68,1136.68,-1.19
2023-09-05 15:40:00,-3.46,133.22,1133.22,-1.49
2023-09-06 01:10:00,0.81,134.03,1134.03,-1.42
2023-09-06 17:00:00,5.58,139.61,1139.61,-0.94
2023-09-07 01:20:00,-3.44,136.17,1136.17,-1.24
2023-09-07 20:20:00,-3.7,132.47,1132.47,-1.56
2023-09-12 18:50:00,-3.04,129.43,1129.43,-1.82
2023-09-13 15:35:00,-4.45,124.98,1124.98,-2.21
2023-09-14 00:20:00,-1.02,123.96,1123.96,-2.3
2023-09-14 15:15:00,-0.39,123.57,1123.57,-2.33
2023-09-14 15:30:00,5.84,129.41,1129.41,-1.83
2023-09-14 23:35:00,-0.51,128.9,1128.9,-1.87
2023-09-15 17:00:00,-2.05,126.85,1126.85,-2.05
2023-09-18 23:25:00,0.1,126.95,1126.95,-2.04
2023-09-20 00:05:00,1.45,128.4,1128.4,-1.91
2023-09-22 02:45:00,2.42,130.82,1130.82,-1.7
2023-09-22 17:00:00,-3.19,127.63,1127.63,-1.98
2023-09-22 20:40:00,3.54,131.17,1131.17,-1.67
2023-09-25 16:30:00,3.29,134.46,1134.46,-1.39
2023-09-26 01:05:00,-0.28,134.18,1134.18,-1.41
2023-09-28 00:55:00,3.36,137.54,1137.54,-1.12
2023-10-02 17:40:00,7.72,145.26,1145.26,-0.45
2023-10-06 15:30:00,6.15,151.41,1151.41,0.0
2023-10-06 18:10:00,-8.61,142.8,1142.8,-0.75
2023-10-13 00:10:00,12.82,155.62,1155.62,0.0
2023-10-17 15:30:00,4.93,160.55,1160.55,0.0
2023-10-17 18:10:00,-8.61,151.94,1151.94,-0.74
2023-10-19 19:00:00,5.38,157.32,1157.32,-0.28
2023-10-23 02:25:00,-4.43,152.89,1152.89,-0.66
2023-10-24 01:15:00,5.3,158.19,1158.19,-0.2
2023-10-26 17:15:00,5.04,163.23,1163.23,0.0
2023-10-27 01:55:00,0.76,163.99,1163.99,0.0
2023-10-30 17:35:00,-3.69,160.3,1160.3,-0.32
2023-10-31 02:20:00,-1.38,158.92,1158.92,-0.44
2023-10-31 17:55:00,11.55,170.47,1170.47,0.0
2023-11-01 16:00:00,-3.86,166.61,1166.61,-0.33
2023-11-01 20:40:00,5.83,172.44,1172.44,0.0
2023-11-02 17:45:00,3.39,175.83,1175.83,0.0
2023-11-03 01:50:00,-0.26,175.57,1175.57,-0.02
2023-11-07 17:05:00,-2.17,173.4,1173.4,-0.21
2023-11-08 00:00:00,-3.58,169.82,1169.82,-0.51
2023-11-13 01:20:00,-0.18,169.64,1169.64,-0.53
2023-11-14 15:30:00,6.59,176.23,1176.23,0.0
2023-11-15 00:35:00,10.52,186.75,1186.75,0.0
2023-11-16 15:30:00,1.86,188.61,1188.61,0.0
2023-11-16 23:35:00,-1.78,186.83,1186.83,-0.15
2023-11-21 00:05:00,0.0,186.83,1186.83,-0.15
2023-11-21 20:20:00,-3.21,183.62,1183.62,-0.42
2023-11-23 18:15:00,-1.49,182.13,1182.13,-0.55
2023-11-28 19:00:00,7.0,189.13,1189.13,0.0
2023-11-30 01:05:00,-0.94,188.19,1188.19,-0.08
2023-11-30 20:50:00,-10.29,177.9,1177.9,-0.94
2023-12-04 01:10:00,12.33,190.23,1190.23,0.0
2023-12-06 18:35:00,-2.25,187.98,1187.98,-0.19
2023-12-13 17:05:00,-4.02,183.96,1183.96,-0.53
2023-12-15 20:10:00,-4.32,179.64,1179.64,-0.89
2023-12-19 17:25:00,8.57,188.21,1188.21,-0.17
2023-12-20 01:50:00,-1.99,186.22,1186.22,-0.34
2023-12-20 16:30:00,5.8,192.02,1192.02,0.0
2023-12-20 21:50:00,-3.9,188.12,1188.12,-0.33
2023-12-21 23:55:00,3.21,191.33,1191.33,-0.06
2023-12-22 19:00:00,-8.81,182.52,1182.52,-0.8
2023-12-26 17:05:00,5.49,188.01,1188.01,-0.34
2023-12-27 17:40:00,8.39,196.4,1196.4,0.0
2023-12-27 18:20:00,16.45,212.85,1212.85,0.0
2023-12-28 03:00:00,-0.18,212.67,1212.67,-0.01
2023-12-29 17:50:00,-4.47,208.2,1208.2,-0.38
2024-01-02 03:05:00,-4.64,203.56,1203.56,-0.77
2024-01-08 00:10:00,3.18,206.74,1206.74,-0.5
2024-01-08 16:30:00,2.01,208.75,1208.75,-0.34
2024-01-09 00:35:00,2.29,211.04,1211.04,-0.15
2024-01-12 18:50:00,-8.15,202.89,1202.89,-0.82
2024-01-18 23:35:00,1.81,204.7,1204.7,-0.67
2024-01-23 02:20:00,-0.49,204.21,1204.21,-0.71
2024-01-24 01:10:00,-3.7,200.51,1200.51,-1.02
2024-01-24 23:50:00,-2.78,197.73,1197.73,-1.25
2024-01-26 15:30:00,-4.08,193.65,1193.65,-1.58
2024-01-26 23:50:00,-3.57,190.08,1190.08,-1.88
2024-01-31 02:40:00,1.45,191.53,1191.53,-1.76
2024-01-31 16:40:00,10.35,201.88,1201.88,-0.9
2024-02-02 02:25:00,4.97,206.85,1206.85,-0.49
2024-02-05 20:50:00,-3.38,203.47,1203.47,-0.77
2024-02-07 16:40:00,-2.93,200.54,1200.54,-1.01
2024-02-08 15:55:00,3.29,203.83,1203.83,-0.74
2024-02-08 18:45:00,-3.99,199.84,1199.84,-1.07
2024-02-12 01:20:00,-2.14,197.7,1197.7,-1.25
2024-02-12 20:00:00,-2.53,195.17,1195.17,-1.46
2024-02-14 00:35:00,2.55,197.72,1197.72,-1.25
2024-02-16 15:30:00,2.43,200.15,1200.15,-1.05
2024-02-16 17:10:00,-7.59,192.56,1192.56,-1.67
2024-02-19 17:45:00,1.73,194.29,1194.29,-1.53
2024-02-22 23:05:00,1.94,196.23,1196.23,-1.37
2024-02-26 00:00:00,-4.43,191.8,1191.8,-1.74
2024-02-27 01:05:00,-2.8,189.0,1189.0,-1.97
2024-02-29 18:00:00,5.44,194.44,1194.44,-1.52
2024-03-01 17:20:00,-5.21,189.23,1189.23,-1.95
2024-03-05 17:00:00,-2.81,186.42,1186.42,-2.18
2024-03-11 23:35:00,-1.66,184.76,1184.76,-2.32
2024-03-12 23:20:00,-3.7,181.06,1181.06,-2.62
2024-03-14 02:25:00,1.71,182.77,1182.77,-2.48
2024-03-14 23:20:00,8.08,190.85,1190.85,-1.81
2024-03-18 02:20:00,-0.56,190.29,1190.29,-1.86
2024-03-18 19:10:00,7.45,197.74,1197.74,-1.25
2024-03-20 18:55:00,-2.02,195.72,1195.72,-1.41
2024-03-22 00:25:00,-1.38,194.34,1194.34,-1.53
2024-03-22 22:10:00,-3.09,191.25,1191.25,-1.78
2024-03-26 00:05:00,2.57,193.82,1193.82,-1.57
2024-03-26 23:10:00,-0.97,192.85,1192.85,-1.65
2024-03-27 18:35:00,-2.64,190.21,1190.21,-1.87
2024-04-01 17:00:00,4.89,195.1,1195.1,-1.46
2024-04-02 01:30:00,-1.33,193.77,1193.77,-1.57
2024-04-03 01:20:00,2.62,196.39,1196.39,-1.36
2024-04-03 17:00:00,-3.89,192.5,1192.5,-1.68
2024-04-05 17:20:00,-9.57,182.93,1182.93,-2.47
2024-04-08 15:35:00,-1.48,181.45,1181.45,-2.59
2024-04-09 01:05:00,-0.56,180.89,1180.89,-2.64
