symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
USDCHF,2023Q1,56,29,51.79,0.282,1.71,True
USDCHF,2023Q2,47,27,57.45,0.52,2.69,True
USDCHF,2023Q3,56,31,55.36,0.269,1.81,True
USDCHF,2023Q4,47,26,55.32,0.47,2.28,True
USDCHF,2024Q1,41,17,41.46,0.134,1.32,False
USDCHF,2024Q2,61,32,52.46,0.33,1.85,True
USDCHF,2024Q3,51,29,56.86,0.297,1.8,True
USDCHF,2024Q4,48,22,45.83,0.061,1.12,False
USDCHF,2025Q1,49,19,38.78,0.008,1.02,False
USDCHF,2025Q2,51,25,49.02,0.277,1.62,True
USDCHF,2025Q3,54,28,51.85,0.214,1.47,True
USDCHF,2025Q4,53,29,54.72,0.417,2.11,True
USDCHF,2026Q1,34,19,55.88,0.461,2.22,True
