symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
USDCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1519,47.53,0.426,1.6,61.5,30.3
USDCHF,OR,f_candle|f_ema,10,1,0.9,NY08-12,1430,47.27,0.418,1.58,61.5,30.04
USDCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1626,47.17,0.415,1.57,53.8,26.09
USDCHF,OR,f_candle|f_ema,10,1,0.9,NY08-13,1528,47.38,0.421,1.57,46.2,22.46
USDCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,443,46.5,0.395,1.54,38.5,17.73
USDCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,440,46.59,0.398,1.54,30.8,13.98
USDCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,471,46.07,0.382,1.5,23.1,9.61
USDCHF,OR,f_candle|f_ema,10,1,0.9,NY07-16,2032,45.47,0.364,1.48,23.1,9.01
USDCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,483,45.34,0.36,1.46,23.1,8.88
USDCHF,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,2174,45.12,0.354,1.47,23.1,8.66
USDCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,559,42.93,0.288,1.31,23.1,6.47
USDCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,384,44.79,0.344,1.42,15.4,4.48
USDCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,382,44.76,0.343,1.42,15.4,4.46
USDCHF,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,409,44.5,0.335,1.4,15.4,4.19
USDCHF,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,632,44.3,0.329,1.4,15.4,4.0
USDCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,420,43.81,0.314,1.36,15.4,3.5
USDCHF,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,730,43.42,0.303,1.37,15.4,3.12
USDCHF,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,644,42.24,0.267,1.29,15.4,1.93
