symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
USDCHF,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",648,51.39,0.542,1.71,76.9,41.85
USDCHF,"{'require_h1_rsi_align': True, 'require_macd_align': True}",881,50.96,0.529,1.69,76.9,41.43
USDCHF,{'require_h1_rsi_align': True},1338,51.2,0.536,1.86,69.2,37.81
USDCHF,"{'adx_min': 18.0, 'add_vol_confirm': True}",1338,48.43,0.453,1.67,69.2,35.05
USDCHF,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",1104,51.45,0.543,1.88,61.5,34.22
USDCHF,{'adx_min': 22.0},996,48.59,0.458,1.61,61.5,31.36
USDCHF,{},1519,47.53,0.426,1.6,61.5,30.3
USDCHF,{'adx_min': 18.0},1264,48.1,0.443,1.64,53.8,27.02
USDCHF,"{'adx_min': 18.0, 'require_macd_align': True}",795,47.8,0.434,1.48,53.8,26.72
USDCHF,{'add_vol_confirm': True},1630,47.67,0.43,1.61,53.8,26.59
USDCHF,{'require_macd_align': True},959,47.97,0.439,1.5,46.2,23.04
