entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:00:00,2023-01-03 17:25:00,L,0.93287,0.93539,0.93161,0.93539,2.0,tp,6.42,0.46,5.96,5.96
2023-01-03 17:30:00,2023-01-04 01:30:00,L,0.9357,0.93617,0.93161,0.94389,0.115,time,1.2,0.46,0.74,6.7
2023-01-06 16:40:00,2023-01-06 17:05:00,L,0.93804,0.93427,0.93427,0.94559,-1.0,sl,-9.62,0.46,-10.08,-3.38
2023-01-09 19:30:00,2023-01-09 19:40:00,S,0.91962,0.91999,0.91999,0.91888,-1.0,sl,-0.95,0.46,-1.41,-4.79
2023-01-09 20:15:00,2023-01-09 20:35:00,S,0.91969,0.92016,0.92016,0.91875,-1.0,sl,-1.2,0.46,-1.66,-6.45
2023-01-09 21:00:00,2023-01-09 22:50:00,S,0.92032,0.92093,0.92093,0.91909,-1.0,sl,-1.57,0.46,-2.03,-8.48
2023-01-10 16:05:00,2023-01-11 00:05:00,S,0.9221,0.92208,0.92522,0.91586,0.006,time,0.05,0.46,-0.41,-8.89
2023-01-12 16:05:00,2023-01-12 16:50:00,L,0.92888,0.93392,0.92636,0.93392,2.0,tp,12.85,0.46,12.39,3.5
2023-01-12 16:55:00,2023-01-13 00:55:00,L,0.93378,0.9274,0.92636,0.94862,-0.86,time,-16.26,0.46,-16.72,-13.22
2023-01-17 18:00:00,2023-01-18 02:00:00,S,0.92051,0.92265,0.92327,0.91498,-0.774,time,-5.45,0.46,-5.91,-19.13
2023-01-18 20:00:00,2023-01-19 03:45:00,S,0.91577,0.91721,0.91721,0.91288,-1.0,sl,-3.68,0.46,-4.14,-23.27
2023-01-19 15:55:00,2023-01-19 17:05:00,S,0.91776,0.91532,0.91898,0.91532,2.0,tp,6.22,0.46,5.76,-17.51
2023-02-01 20:10:00,2023-02-01 20:45:00,S,0.91567,0.91625,0.91625,0.9145,-1.0,sl,-1.49,0.46,-1.95,-19.46
2023-02-01 21:40:00,2023-02-02 05:45:00,S,0.91398,0.90728,0.91838,0.90519,1.524,time,17.07,0.46,16.61,-2.85
2023-02-02 17:35:00,2023-02-02 20:05:00,S,0.9104,0.91351,0.91351,0.90417,-1.0,sl,-7.93,0.46,-8.39,-11.24
2023-02-02 20:45:00,2023-02-02 22:00:00,S,0.91308,0.91383,0.91383,0.91157,-1.0,sl,-1.92,0.46,-2.38,-13.62
2023-02-06 15:25:00,2023-02-06 16:15:00,L,0.92516,0.92707,0.9242,0.92707,2.0,tp,4.88,0.46,4.42,-9.2
2023-02-06 21:35:00,2023-02-07 03:30:00,L,0.92751,0.92685,0.92685,0.92882,-1.0,sl,-1.67,0.46,-2.13,-11.33
