entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-17 16:25:00,2026-02-17 20:50:00,L,0.77166,0.77024,0.77024,0.7745,-1.0,sl,-3.62,0.46,-4.08,-4.08
2026-02-18 15:20:00,2026-02-18 16:20:00,L,0.7705,0.7717,0.7699,0.7717,2.0,tp,3.06,0.46,2.6,-1.48
2026-02-18 16:35:00,2026-02-18 18:05:00,L,0.77147,0.77095,0.77095,0.7725,-1.0,sl,-1.32,0.46,-1.78,-3.26
2026-02-19 15:05:00,2026-02-19 23:05:00,L,0.77544,0.7753,0.77396,0.7784,-0.095,time,-0.36,0.46,-0.82,-4.08
2026-02-20 18:20:00,2026-02-23 01:20:00,L,0.7748,0.77319,0.77319,0.77803,-1.0,sl,-4.11,0.46,-4.57,-8.65
2026-02-23 17:45:00,2026-02-24 01:45:00,L,0.77369,0.77415,0.77307,0.77494,0.737,time,1.17,0.46,0.71,-7.94
2026-02-25 15:55:00,2026-02-25 16:25:00,L,0.7747,0.77402,0.77402,0.77606,-1.0,sl,-1.73,0.46,-2.19,-10.13
2026-02-26 15:45:00,2026-02-26 16:40:00,L,0.77439,0.77348,0.77348,0.77621,-1.0,sl,-2.32,0.46,-2.78,-12.91
2026-02-26 17:20:00,2026-02-27 01:20:00,L,0.77388,0.77372,0.77308,0.77547,-0.201,time,-0.41,0.46,-0.87,-13.78
2026-02-27 15:35:00,2026-02-27 23:35:00,S,0.76998,0.76882,0.77216,0.76562,0.532,time,2.96,0.46,2.5,-11.28
2026-03-03 15:55:00,2026-03-03 18:00:00,L,0.78518,0.78391,0.78391,0.78771,-1.0,sl,-3.23,0.46,-3.69,-14.97
2026-03-05 15:05:00,2026-03-05 15:45:00,L,0.77977,0.78166,0.77882,0.78166,2.0,tp,4.83,0.46,4.37,-10.6
2026-03-05 16:05:00,2026-03-05 18:25:00,L,0.78076,0.78325,0.77951,0.78325,2.0,tp,6.35,0.46,5.89,-4.71
2026-03-11 17:10:00,2026-03-12 00:55:00,L,0.77919,0.7811,0.77823,0.7811,2.0,tp,4.87,0.46,4.41,-0.3
2026-03-12 15:05:00,2026-03-12 15:20:00,L,0.78184,0.78285,0.78133,0.78285,2.0,tp,2.57,0.46,2.11,1.81
2026-03-12 15:30:00,2026-03-12 16:25:00,L,0.78218,0.78366,0.78144,0.78366,2.0,tp,3.77,0.46,3.31,5.12
2026-03-12 16:40:00,2026-03-13 00:40:00,L,0.78365,0.78558,0.78162,0.7877,0.953,time,4.92,0.46,4.46,9.58
2026-03-13 15:20:00,2026-03-13 17:35:00,L,0.78723,0.7896,0.78605,0.7896,2.0,tp,6.03,0.46,5.57,15.15
2026-03-16 17:05:00,2026-03-16 20:25:00,L,0.78798,0.78673,0.78673,0.79048,-1.0,sl,-3.18,0.46,-3.64,11.51
2026-03-18 15:45:00,2026-03-18 20:40:00,L,0.78827,0.79132,0.78675,0.79132,2.0,tp,7.77,0.46,7.31,18.82
2026-03-19 15:45:00,2026-03-19 15:50:00,L,0.79402,0.79291,0.79291,0.79625,-1.0,sl,-2.84,0.46,-3.3,15.52
2026-03-19 17:40:00,2026-03-19 19:25:00,L,0.79168,0.79011,0.79011,0.79482,-1.0,sl,-4.01,0.46,-4.47,11.05
2026-03-20 16:10:00,2026-03-22 23:05:00,L,0.78947,0.78689,0.78689,0.79462,-1.0,sl,-6.56,0.46,-7.02,4.03
