entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:15:00,2023-01-04 01:15:00,L,0.93448,0.93576,0.93162,0.94021,0.447,time,3.26,0.46,2.8,2.8
2023-01-05 15:30:00,2023-01-05 23:30:00,L,0.93023,0.93638,0.92644,0.93781,1.624,time,15.67,0.46,15.21,18.01
2023-01-06 16:40:00,2023-01-06 17:05:00,L,0.93804,0.93427,0.93427,0.94559,-1.0,sl,-9.62,0.46,-10.08,7.93
2023-01-09 17:05:00,2023-01-09 20:45:00,S,0.91822,0.92074,0.92074,0.91318,-1.0,sl,-6.42,0.46,-6.88,1.05
2023-01-10 16:05:00,2023-01-11 00:05:00,S,0.9221,0.92208,0.92522,0.91586,0.006,time,0.05,0.46,-0.41,0.64
2023-01-11 18:10:00,2023-01-11 20:15:00,L,0.92974,0.93194,0.92864,0.93194,2.0,tp,5.6,0.46,5.14,5.78
2023-01-13 15:50:00,2023-01-13 16:50:00,L,0.9305,0.92859,0.92859,0.93433,-1.0,sl,-4.88,0.46,-5.34,0.44
2023-01-17 16:00:00,2023-01-17 17:15:00,S,0.92081,0.9225,0.9225,0.91743,-1.0,sl,-4.31,0.46,-4.77,-4.33
2023-01-17 18:10:00,2023-01-18 02:10:00,S,0.92027,0.92235,0.92327,0.91426,-0.693,time,-5.3,0.46,-5.76,-10.09
2023-01-18 15:35:00,2023-01-18 16:15:00,S,0.91333,0.91007,0.91496,0.91007,2.0,tp,8.31,0.46,7.85,-2.24
2023-01-18 16:40:00,2023-01-18 18:20:00,S,0.91024,0.91386,0.91386,0.90299,-1.0,sl,-9.23,0.46,-9.69,-11.93
2023-01-19 16:25:00,2023-01-20 00:25:00,S,0.91677,0.91577,0.91897,0.91237,0.455,time,2.55,0.46,2.09,-9.84
2023-01-25 17:40:00,2023-01-25 18:00:00,S,0.91965,0.92094,0.92094,0.91707,-1.0,sl,-3.29,0.46,-3.75,-13.59
2023-01-31 16:10:00,2023-01-31 21:35:00,S,0.92295,0.9153,0.92677,0.9153,2.0,tp,19.48,0.46,19.02,5.43
2023-02-01 15:55:00,2023-02-01 17:00:00,S,0.91511,0.91634,0.91634,0.91266,-1.0,sl,-3.12,0.46,-3.58,1.85
2023-02-01 18:20:00,2023-02-01 21:00:00,S,0.91433,0.91694,0.91694,0.90911,-1.0,sl,-6.65,0.46,-7.11,-5.26
2023-02-02 17:35:00,2023-02-02 20:05:00,S,0.9104,0.91351,0.91351,0.90417,-1.0,sl,-7.93,0.46,-8.39,-13.65
2023-02-03 15:15:00,2023-02-03 15:25:00,L,0.9132,0.91448,0.91256,0.91448,2.0,tp,3.25,0.46,2.79,-10.86
2023-02-03 15:35:00,2023-02-03 23:35:00,L,0.91864,0.92543,0.91262,0.93068,1.127,time,17.3,0.46,16.84,5.98
2023-02-06 15:40:00,2023-02-06 16:50:00,L,0.92537,0.92771,0.9242,0.92771,2.0,tp,5.95,0.46,5.49,11.47
