exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 01:05:00,7.21,7.21,1007.21,0.0
2023-01-06 17:00:00,-7.63,-0.42,999.58,-0.76
2023-01-11 01:10:00,1.87,1.45,1001.45,-0.57
2023-01-11 20:10:00,-1.72,-0.27,999.73,-0.74
2023-01-16 19:10:00,-1.41,-1.68,998.32,-0.88
2023-02-03 01:35:00,-2.67,-4.35,995.65,-1.15
2023-02-03 15:30:00,2.53,-1.82,998.18,-0.9
2023-02-03 23:35:00,22.45,20.63,1020.63,0.0
2023-02-07 17:30:00,-1.45,19.18,1019.18,-0.14
2023-02-14 23:40:00,10.6,29.78,1029.78,0.0
2023-02-16 19:35:00,-1.52,28.26,1028.26,-0.15
2023-02-17 15:45:00,-1.59,26.67,1026.67,-0.3
2023-02-17 16:15:00,-1.21,25.46,1025.46,-0.42
2023-02-17 17:00:00,-2.53,22.93,1022.93,-0.67
2023-02-17 17:35:00,-2.2,20.73,1020.73,-0.88
2023-02-17 22:05:00,-2.48,18.25,1018.25,-1.12
2023-02-22 21:00:00,2.81,21.06,1021.06,-0.85
2023-02-23 17:00:00,-1.12,19.94,1019.94,-0.96
2023-02-23 17:10:00,-1.61,18.33,1018.33,-1.11
2023-02-23 17:45:00,1.78,20.11,1020.11,-0.94
2023-02-23 18:30:00,-2.99,17.12,1017.12,-1.23
2023-02-23 21:05:00,-2.14,14.98,1014.98,-1.44
2023-02-27 16:55:00,-2.07,12.91,1012.91,-1.64
2023-02-27 17:35:00,1.99,14.9,1014.9,-1.44
2023-02-28 01:40:00,1.09,15.99,1015.99,-1.34
2023-02-28 17:50:00,-3.0,12.99,1012.99,-1.63
2023-02-28 18:00:00,-1.04,11.95,1011.95,-1.73
2023-03-08 15:15:00,0.85,12.8,1012.8,-1.65
2023-03-08 15:20:00,-2.11,10.69,1010.69,-1.85
2023-03-08 16:00:00,-1.33,9.36,1009.36,-1.98
2023-03-08 17:20:00,-2.53,6.83,1006.83,-2.23
2023-03-08 17:50:00,3.94,10.77,1010.77,-1.85
2023-03-09 01:55:00,3.49,14.26,1014.26,-1.51
2023-03-20 15:55:00,-3.89,10.37,1010.37,-1.88
2023-03-20 16:50:00,-3.19,7.18,1007.18,-2.19
2023-03-20 18:05:00,2.67,9.85,1009.85,-1.94
2023-03-23 18:10:00,6.52,16.37,1016.37,-1.3
2023-03-24 15:45:00,-2.66,13.71,1013.71,-1.56
2023-03-24 18:00:00,-2.64,11.07,1011.07,-1.82
2023-03-27 02:50:00,-2.05,9.02,1009.02,-2.02
2023-03-28 17:30:00,0.83,9.85,1009.85,-1.94
2023-03-29 01:50:00,1.19,11.04,1011.04,-1.82
2023-03-31 15:30:00,-2.08,8.96,1008.96,-2.02
2023-03-31 15:55:00,2.66,11.62,1011.62,-1.76
2023-03-31 19:20:00,-4.58,7.04,1007.04,-2.21
2023-04-13 15:30:00,2.03,9.07,1009.07,-2.01
2023-04-13 23:35:00,3.77,12.84,1012.84,-1.65
2023-04-17 23:35:00,4.94,17.78,1017.78,-1.17
2023-04-18 15:30:00,1.11,18.89,1018.89,-1.06
2023-04-18 23:35:00,0.43,19.32,1019.32,-1.02
2023-04-19 17:50:00,2.23,21.55,1021.55,-0.8
2023-04-20 01:55:00,1.35,22.9,1022.9,-0.67
2023-04-21 16:45:00,1.96,24.86,1024.86,-0.48
2023-04-24 00:55:00,-2.91,21.95,1021.95,-0.76
2023-04-24 20:30:00,-1.59,20.36,1020.36,-0.91
2023-04-27 15:25:00,1.25,21.61,1021.61,-0.79
2023-04-27 23:35:00,2.51,24.12,1024.12,-0.55
2023-05-02 17:00:00,-2.22,21.9,1021.9,-0.77
2023-05-08 19:15:00,-1.06,20.84,1020.84,-0.87
2023-05-15 23:55:00,2.64,23.48,1023.48,-0.61
2023-05-24 15:20:00,1.0,24.48,1024.48,-0.51
