symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
USDJPY,2023Q1,45,17,37.78,-0.02,0.97,False
USDJPY,2023Q2,42,26,61.9,0.659,2.97,True
USDJPY,2023Q3,32,20,62.5,0.548,2.46,True
USDJPY,2023Q4,51,25,49.02,0.353,1.74,True
USDJPY,2024Q1,34,16,47.06,0.357,1.78,False
USDJPY,2024Q2,63,29,46.03,0.306,1.67,False
USDJPY,2024Q3,55,18,32.73,-0.097,0.84,False
USDJPY,2024Q4,51,25,49.02,0.333,1.86,True
USDJPY,2025Q1,39,19,48.72,0.293,1.59,True
USDJPY,2025Q2,62,23,37.1,0.093,1.16,False
USDJPY,2025Q3,42,18,42.86,0.141,1.25,False
USDJPY,2025Q4,47,18,38.3,-0.135,0.77,False
USDJPY,2026Q1,32,18,56.25,0.562,2.38,True
