symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
USDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,486,47.53,0.426,1.52,38.5,18.76
USDJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,497,46.68,0.4,1.45,38.5,17.91
USDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,540,45.19,0.356,1.37,38.5,16.42
USDJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,623,44.78,0.343,1.34,38.5,16.01
USDJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,457,48.58,0.457,1.57,30.8,15.96
USDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,558,43.19,0.296,1.25,38.5,14.42
USDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,421,45.84,0.375,1.41,30.8,13.23
USDJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,1446,44.4,0.332,1.33,30.8,11.78
USDJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1553,43.98,0.319,1.31,30.8,11.36
USDJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1888,43.59,0.308,1.32,30.8,10.98
USDJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,782,43.35,0.301,1.3,30.8,10.73
USDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,707,42.72,0.281,1.27,30.8,10.1
USDJPY,OR,f_candle|f_ema,10,1,0.9,NY08-12,1338,44.39,0.332,1.29,23.1,7.93
USDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,433,44.34,0.33,1.31,23.1,7.88
USDJPY,OR,f_candle|f_ema,10,1,0.9,NY08-13,1434,43.79,0.314,1.27,23.1,7.33
USDJPY,OR,f_candle|f_ema,10,1,0.9,NY07-16,1739,43.3,0.299,1.28,23.1,6.84
USDJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,395,46.58,0.397,1.44,15.4,6.27
USDJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,470,43.19,0.296,1.27,15.4,2.88
