symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
USDJPY,{'add_vol_confirm': True},754,46.55,0.397,1.54,58.8,27.96
USDJPY,{},622,48.07,0.442,1.58,47.1,23.6
USDJPY,"{'adx_min': 18.0, 'add_vol_confirm': True}",716,46.93,0.408,1.57,47.1,22.46
USDJPY,{'adx_min': 18.0},589,48.56,0.457,1.61,35.3,18.2
USDJPY,{'require_h1_rsi_align': True},464,53.23,0.597,1.93,17.6,14.06
USDJPY,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",434,53.46,0.604,1.94,11.8,11.34
USDJPY,{'adx_min': 22.0},497,49.3,0.479,1.65,17.6,10.12
USDJPY,"{'require_h1_rsi_align': True, 'require_macd_align': True}",334,52.4,0.572,1.71,5.9,7.34
USDJPY,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",265,52.45,0.574,1.64,0.0,4.45
USDJPY,{'require_macd_align': True},428,49.3,0.479,1.51,5.9,4.24
USDJPY,"{'adx_min': 18.0, 'require_macd_align': True}",392,48.98,0.469,1.47,5.9,3.92
