entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:10:00,2023-01-04 01:10:00,L,130.535,131.129,130.02982,131.54537,1.176,time,7.46,0.25,7.21,7.21
2023-01-05 19:55:00,2023-01-05 20:20:00,L,133.292,133.05401,133.05401,133.76798,-1.0,sl,-2.99,0.25,-3.24,3.97
2023-01-05 21:10:00,2023-01-06 03:30:00,L,133.221,133.77842,132.94229,133.77842,2.0,tp,7.0,0.25,6.75,10.72
2023-01-06 16:40:00,2023-01-06 17:00:00,L,133.847,133.20997,133.20997,135.12107,-1.0,sl,-8.0,0.25,-8.25,2.47
2023-01-10 17:10:00,2023-01-11 01:10:00,L,132.029,132.198,131.70818,132.67063,0.527,time,2.12,0.25,1.87,4.34
2023-01-11 17:50:00,2023-01-11 20:10:00,L,132.481,132.36417,132.36417,132.71465,-1.0,sl,-1.47,0.25,-1.72,2.62
2023-01-16 19:00:00,2023-01-16 19:10:00,S,128.576,128.6684,128.6684,128.39119,-1.0,sl,-1.16,0.25,-1.41,1.21
2023-01-16 20:20:00,2023-01-17 00:30:00,S,128.648,128.42678,128.75861,128.42678,2.0,tp,2.78,0.25,2.53,3.74
2023-01-18 19:40:00,2023-01-18 19:50:00,S,128.801,128.92038,128.92038,128.56223,-1.0,sl,-1.5,0.25,-1.75,1.99
2023-01-18 20:20:00,2023-01-19 04:20:00,S,128.679,128.617,128.95821,128.12057,0.222,time,0.78,0.25,0.53,2.52
2023-01-19 14:10:00,2023-01-19 15:30:00,S,128.586,128.72548,128.72548,128.30705,-1.0,sl,-1.75,0.25,-2.0,0.52
2023-01-31 20:15:00,2023-02-01 04:15:00,S,130.175,130.014,130.35693,129.81113,0.885,time,2.02,0.25,1.77,2.29
2023-02-01 21:40:00,2023-02-02 05:40:00,S,129.245,128.597,129.89307,127.94886,1.0,time,8.14,0.25,7.89,10.18
2023-02-02 17:35:00,2023-02-03 01:35:00,S,128.519,128.712,128.92086,127.71528,-0.48,time,-2.42,0.25,-2.67,7.51
2023-02-03 15:05:00,2023-02-03 15:30:00,L,128.431,128.65241,128.3203,128.65241,2.0,tp,2.78,0.25,2.53,10.04
2023-02-06 22:10:00,2023-02-07 01:15:00,L,132.519,132.68172,132.43764,132.68172,2.0,tp,2.04,0.25,1.79,11.83
2023-02-07 16:20:00,2023-02-07 17:30:00,L,131.926,131.79608,131.79608,132.18583,-1.0,sl,-1.63,0.25,-1.88,9.95
2023-02-13 21:00:00,2023-02-13 21:10:00,L,132.496,132.42542,132.42542,132.63715,-1.0,sl,-0.89,0.25,-1.14,8.81
2023-02-13 21:30:00,2023-02-13 21:45:00,L,132.495,132.40148,132.40148,132.68204,-1.0,sl,-1.17,0.25,-1.42,7.39
2023-02-13 21:50:00,2023-02-13 22:15:00,L,132.441,132.37336,132.37336,132.57627,-1.0,sl,-0.85,0.25,-1.1,6.29
2023-02-14 15:40:00,2023-02-14 23:40:00,L,132.213,133.077,131.46655,133.70591,1.157,time,10.85,0.25,10.6,16.89
2023-02-16 18:55:00,2023-02-16 19:35:00,L,133.946,133.8451,133.8451,134.1478,-1.0,sl,-1.27,0.25,-1.52,15.37
2023-02-16 19:55:00,2023-02-16 20:50:00,L,133.869,133.78766,133.78766,134.03169,-1.0,sl,-1.02,0.25,-1.27,14.1
2023-02-16 21:15:00,2023-02-16 21:15:00,L,133.758,133.71314,133.71314,133.84772,-1.0,sl,-0.56,0.25,-0.81,13.29
2023-02-16 21:40:00,2023-02-16 22:05:00,L,133.758,133.68707,133.68707,133.89987,-1.0,sl,-0.89,0.25,-1.14,12.15
2023-02-16 22:10:00,2023-02-17 01:10:00,L,133.824,134.12994,133.67103,134.12994,2.0,tp,3.84,0.25,3.59,15.74
2023-02-17 15:00:00,2023-02-17 15:00:00,L,134.85,134.72014,134.72014,135.10971,-1.0,sl,-1.63,0.25,-1.88,13.86
2023-02-17 15:45:00,2023-02-17 15:45:00,L,134.731,134.63119,134.63119,134.93062,-1.0,sl,-1.25,0.25,-1.5,12.36
2023-02-17 16:50:00,2023-02-17 17:00:00,L,134.638,134.44532,134.44532,135.02336,-1.0,sl,-2.42,0.25,-2.67,9.69
