entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-20 18:20:00,2026-02-20 19:20:00,L,154.855,155.18841,154.6883,155.18841,2.0,tp,4.19,0.25,3.94,3.94
2026-02-24 18:50:00,2026-02-24 18:50:00,L,155.655,155.6007,155.6007,155.76361,-1.0,sl,-0.68,0.25,-0.93,3.01
2026-02-25 16:50:00,2026-02-25 17:10:00,L,156.49,156.4245,156.4245,156.621,-1.0,sl,-0.82,0.25,-1.07,1.94
2026-02-25 17:25:00,2026-02-25 17:35:00,L,156.443,156.38513,156.38513,156.55874,-1.0,sl,-0.73,0.25,-0.98,0.96
2026-02-25 18:00:00,2026-02-25 18:25:00,L,156.359,156.44223,156.31738,156.44223,2.0,tp,1.05,0.25,0.8,1.76
2026-02-25 18:45:00,2026-02-25 18:45:00,L,156.405,156.31387,156.31387,156.58726,-1.0,sl,-1.14,0.25,-1.39,0.37
2026-02-26 17:05:00,2026-02-26 18:15:00,L,155.957,156.24847,155.81127,156.24847,2.0,tp,3.66,0.25,3.41,3.78
2026-02-27 15:05:00,2026-02-27 16:00:00,L,155.943,156.19001,155.81949,156.19001,2.0,tp,3.1,0.25,2.85,6.63
2026-03-06 15:50:00,2026-03-06 23:50:00,L,157.714,157.8,157.35299,158.43601,0.238,time,1.08,0.25,0.83,7.46
2026-03-09 15:55:00,2026-03-09 17:20:00,L,158.381,158.16671,158.16671,158.80958,-1.0,sl,-2.69,0.25,-2.94,4.52
2026-03-09 18:10:00,2026-03-09 18:35:00,L,158.089,157.97856,157.97856,158.30988,-1.0,sl,-1.39,0.25,-1.64,2.88
2026-03-09 19:00:00,2026-03-09 21:20:00,L,158.127,157.95168,157.95168,158.47763,-1.0,sl,-2.2,0.25,-2.45,0.43
2026-03-13 16:05:00,2026-03-13 17:20:00,L,159.138,159.43629,158.98885,159.43629,2.0,tp,3.75,0.25,3.5,3.93
2026-03-16 17:15:00,2026-03-17 01:15:00,L,159.098,159.182,158.83035,159.63329,0.314,time,1.06,0.25,0.81,4.74
2026-03-24 17:10:00,2026-03-24 19:05:00,L,158.727,159.10272,158.53914,159.10272,2.0,tp,4.72,0.25,4.47,9.21
2026-03-26 16:45:00,2026-03-26 21:10:00,L,159.543,159.80468,159.41216,159.80468,2.0,tp,3.29,0.25,3.04,12.25
2026-03-27 17:40:00,2026-03-27 17:55:00,L,159.76,159.91551,159.68224,159.91551,2.0,tp,1.95,0.25,1.7,13.95
2026-03-27 18:00:00,2026-03-30 03:05:00,L,160.152,160.068,159.67817,161.09966,-0.177,time,-1.06,0.25,-1.31,12.64
2026-04-02 17:15:00,2026-04-02 17:15:00,L,159.478,159.42242,159.42242,159.58915,-1.0,sl,-0.7,0.25,-0.95,11.69
2026-04-02 17:30:00,2026-04-02 17:35:00,L,159.417,159.36194,159.36194,159.52711,-1.0,sl,-0.69,0.25,-0.94,10.75
2026-04-02 17:50:00,2026-04-02 18:00:00,L,159.269,159.36373,159.22164,159.36373,2.0,tp,1.19,0.25,0.94,11.69
2026-04-02 18:10:00,2026-04-02 19:05:00,L,159.269,159.38144,159.21278,159.38144,2.0,tp,1.41,0.25,1.16,12.85
2026-04-06 17:05:00,2026-04-06 18:00:00,L,159.506,159.74305,159.38747,159.74305,2.0,tp,2.98,0.25,2.73,15.58
2026-04-09 15:05:00,2026-04-09 15:30:00,L,158.905,159.06981,158.8226,159.06981,2.0,tp,2.07,0.25,1.82,17.4
2026-04-09 15:35:00,2026-04-09 19:00:00,L,159.053,158.82192,158.82192,159.51517,-1.0,sl,-2.9,0.25,-3.15,14.25
2026-04-10 15:10:00,2026-04-10 15:10:00,L,159.173,159.146,159.146,159.22699,-1.0,sl,-0.34,0.25,-0.59,13.66
2026-04-10 15:25:00,2026-04-10 15:25:00,L,159.149,159.11676,159.11676,159.21348,-1.0,sl,-0.4,0.25,-0.65,13.01
2026-04-10 15:45:00,2026-04-10 23:45:00,L,159.082,159.249,158.88703,159.47193,0.857,time,2.1,0.25,1.85,14.86
2026-04-13 17:20:00,2026-04-13 17:45:00,L,159.589,159.52683,159.52683,159.71334,-1.0,sl,-0.78,0.25,-1.03,13.83
2026-04-13 17:50:00,2026-04-13 18:20:00,L,159.571,159.73068,159.49116,159.73068,2.0,tp,2.01,0.25,1.76,15.59
2026-04-13 18:40:00,2026-04-13 19:45:00,L,159.71,159.49203,159.49203,160.14594,-1.0,sl,-2.74,0.25,-2.99,12.6
2026-04-21 15:05:00,2026-04-21 15:10:00,L,159.068,159.0097,159.0097,159.1846,-1.0,sl,-0.73,0.25,-0.98,11.62
2026-04-21 15:20:00,2026-04-21 17:50:00,L,159.083,159.24779,159.0006,159.24779,2.0,tp,2.07,0.25,1.82,13.44
2026-04-22 15:15:00,2026-04-22 15:25:00,L,159.215,159.17865,159.17865,159.2877,-1.0,sl,-0.46,0.25,-0.71,12.73
2026-04-22 15:30:00,2026-04-22 16:35:00,L,159.247,159.13352,159.13352,159.47396,-1.0,sl,-1.43,0.25,-1.68,11.05
2026-04-22 16:55:00,2026-04-22 17:50:00,L,159.168,159.31038,159.09681,159.31038,2.0,tp,1.79,0.25,1.54,12.59
2026-04-22 18:00:00,2026-04-23 02:00:00,L,159.382,159.474,159.12318,159.89965,0.355,time,1.16,0.25,0.91,13.5
2026-04-23 15:20:00,2026-04-23 17:45:00,L,159.501,159.41667,159.41667,159.66966,-1.0,sl,-1.06,0.25,-1.31,12.19
2026-04-23 18:30:00,2026-04-23 20:00:00,L,159.366,159.50414,159.29693,159.50414,2.0,tp,1.74,0.25,1.49,13.68
2026-04-24 16:05:00,2026-04-24 17:35:00,L,159.514,159.37606,159.37606,159.78988,-1.0,sl,-1.73,0.25,-1.98,11.7
2026-04-28 16:05:00,2026-04-29 00:05:00,L,159.517,159.511,159.39542,159.76016,-0.049,time,-0.08,0.25,-0.33,11.37
2026-05-01 16:55:00,2026-05-01 18:50:00,S,156.62,156.75695,156.75695,156.34609,-1.0,sl,-1.72,0.25,-1.97,9.4
2026-05-06 15:45:00,2026-05-06 16:00:00,S,156.12,156.3026,156.3026,155.7548,-1.0,sl,-2.29,0.25,-2.54,6.86
2026-05-06 16:35:00,2026-05-06 18:00:00,S,156.128,156.3108,156.3108,155.7624,-1.0,sl,-2.3,0.25,-2.55,4.31
2026-05-08 15:05:00,2026-05-08 15:30:00,S,156.731,156.77637,156.77637,156.64026,-1.0,sl,-0.57,0.25,-0.82,3.49
