entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:05:00,2023-01-04 01:05:00,L,130.44,131.034,130.0298,131.26039,1.448,time,7.46,0.25,7.21,7.21
2023-01-06 16:20:00,2023-01-06 17:00:00,L,133.796,133.20827,133.20827,134.97146,-1.0,sl,-7.38,0.25,-7.63,-0.42
2023-01-10 17:10:00,2023-01-11 01:10:00,L,132.029,132.198,131.70818,132.67063,0.527,time,2.12,0.25,1.87,1.45
2023-01-11 17:50:00,2023-01-11 20:10:00,L,132.481,132.36417,132.36417,132.71465,-1.0,sl,-1.47,0.25,-1.72,-0.27
2023-01-16 19:00:00,2023-01-16 19:10:00,S,128.576,128.6684,128.6684,128.39119,-1.0,sl,-1.16,0.25,-1.41,-1.68
2023-02-02 17:35:00,2023-02-03 01:35:00,S,128.519,128.712,128.92086,127.71528,-0.48,time,-2.42,0.25,-2.67,-4.35
2023-02-03 15:05:00,2023-02-03 15:30:00,L,128.431,128.65241,128.3203,128.65241,2.0,tp,2.78,0.25,2.53,-1.82
2023-02-03 15:35:00,2023-02-03 23:35:00,L,129.384,131.191,128.34431,131.46339,1.738,time,22.7,0.25,22.45,20.63
2023-02-07 15:55:00,2023-02-07 17:30:00,L,131.891,131.79562,131.79562,132.08175,-1.0,sl,-1.2,0.25,-1.45,19.18
2023-02-14 15:40:00,2023-02-14 23:40:00,L,132.213,133.077,131.46655,133.70591,1.157,time,10.85,0.25,10.6,29.78
2023-02-16 18:55:00,2023-02-16 19:35:00,L,133.946,133.8451,133.8451,134.1478,-1.0,sl,-1.27,0.25,-1.52,28.26
2023-02-17 15:25:00,2023-02-17 15:45:00,L,134.74,134.63319,134.63319,134.95362,-1.0,sl,-1.34,0.25,-1.59,26.67
2023-02-17 16:10:00,2023-02-17 16:15:00,L,134.596,134.51953,134.51953,134.74893,-1.0,sl,-0.96,0.25,-1.21,25.46
2023-02-17 16:45:00,2023-02-17 17:00:00,L,134.627,134.44552,134.44552,134.98995,-1.0,sl,-2.28,0.25,-2.53,22.93
2023-02-17 17:25:00,2023-02-17 17:35:00,L,134.32,134.16468,134.16468,134.63064,-1.0,sl,-1.95,0.25,-2.2,20.73
2023-02-17 17:45:00,2023-02-17 22:05:00,L,134.233,134.05537,134.05537,134.58826,-1.0,sl,-2.23,0.25,-2.48,18.25
2023-02-22 18:05:00,2023-02-22 21:00:00,L,134.596,134.83994,134.47403,134.83994,2.0,tp,3.06,0.25,2.81,21.06
2023-02-23 16:55:00,2023-02-23 17:00:00,L,134.903,134.8335,134.8335,135.042,-1.0,sl,-0.87,0.25,-1.12,19.94
2023-02-23 17:05:00,2023-02-23 17:10:00,L,134.931,134.82236,134.82236,135.14829,-1.0,sl,-1.36,0.25,-1.61,18.33
2023-02-23 17:25:00,2023-02-23 17:45:00,L,134.714,134.87562,134.63319,134.87562,2.0,tp,2.03,0.25,1.78,20.11
2023-02-23 18:10:00,2023-02-23 18:30:00,L,134.854,134.63558,134.63558,135.29083,-1.0,sl,-2.74,0.25,-2.99,17.12
2023-02-23 18:50:00,2023-02-23 21:05:00,L,134.766,134.6156,134.6156,135.06679,-1.0,sl,-1.89,0.25,-2.14,14.98
2023-02-27 16:00:00,2023-02-27 16:55:00,L,136.062,135.91744,135.91744,136.35112,-1.0,sl,-1.82,0.25,-2.07,12.91
2023-02-27 17:05:00,2023-02-27 17:35:00,L,135.994,136.17256,135.90472,136.17256,2.0,tp,2.24,0.25,1.99,14.9
2023-02-27 17:40:00,2023-02-28 01:40:00,L,136.106,136.213,135.90436,136.50928,0.531,time,1.34,0.25,1.09,15.99
2023-02-28 17:40:00,2023-02-28 17:50:00,L,136.45,136.23117,136.23117,136.88766,-1.0,sl,-2.75,0.25,-3.0,12.99
2023-02-28 18:00:00,2023-02-28 18:00:00,L,136.205,136.142,136.142,136.331,-1.0,sl,-0.79,0.25,-1.04,11.95
2023-03-08 15:10:00,2023-03-08 15:15:00,L,137.17,137.25789,137.12605,137.25789,2.0,tp,1.1,0.25,0.85,12.8
2023-03-08 15:20:00,2023-03-08 15:20:00,L,137.271,137.12273,137.12273,137.56755,-1.0,sl,-1.86,0.25,-2.11,10.69
2023-03-08 15:30:00,2023-03-08 16:00:00,L,137.108,137.02193,137.02193,137.28014,-1.0,sl,-1.08,0.25,-1.33,9.36
2023-03-08 17:05:00,2023-03-08 17:20:00,L,136.844,136.66233,136.66233,137.20733,-1.0,sl,-2.28,0.25,-2.53,6.83
2023-03-08 17:30:00,2023-03-08 17:50:00,L,136.625,136.95829,136.45835,136.95829,2.0,tp,4.19,0.25,3.94,10.77
2023-03-08 17:55:00,2023-03-09 01:55:00,L,136.923,137.221,136.4607,137.8476,0.645,time,3.74,0.25,3.49,14.26
2023-03-20 15:05:00,2023-03-20 15:55:00,S,131.342,131.63185,131.63185,130.7623,-1.0,sl,-3.64,0.25,-3.89,10.37
2023-03-20 16:20:00,2023-03-20 16:50:00,S,131.544,131.77777,131.77777,131.07647,-1.0,sl,-2.94,0.25,-3.19,7.18
2023-03-20 17:10:00,2023-03-20 18:05:00,S,131.74,131.50737,131.85632,131.50737,2.0,tp,2.92,0.25,2.67,9.85
2023-03-23 15:10:00,2023-03-23 18:10:00,S,131.399,130.86,131.6685,130.86,2.0,tp,6.77,0.25,6.52,16.37
2023-03-24 15:35:00,2023-03-24 15:45:00,S,130.225,130.41656,130.41656,129.84188,-1.0,sl,-2.41,0.25,-2.66,13.71
2023-03-24 16:05:00,2023-03-24 18:00:00,S,130.559,130.74931,130.74931,130.17837,-1.0,sl,-2.39,0.25,-2.64,11.07
2023-03-24 18:55:00,2023-03-27 02:50:00,S,130.758,130.90117,130.90117,130.47167,-1.0,sl,-1.8,0.25,-2.05,9.02
2023-03-28 17:30:00,2023-03-28 17:30:00,S,131.147,131.06125,131.18987,131.06125,2.0,tp,1.08,0.25,0.83,9.85
2023-03-28 17:50:00,2023-03-29 01:50:00,S,130.974,130.859,131.18945,130.5431,0.534,time,1.44,0.25,1.19,11.04
2023-03-31 15:20:00,2023-03-31 15:30:00,L,133.241,133.0952,133.0952,133.53259,-1.0,sl,-1.83,0.25,-2.08,8.96
2023-03-31 15:40:00,2023-03-31 15:55:00,L,132.848,133.08005,132.73197,133.08005,2.0,tp,2.91,0.25,2.66,11.62
2023-03-31 16:00:00,2023-03-31 19:20:00,L,133.077,132.73238,132.73238,133.76625,-1.0,sl,-4.33,0.25,-4.58,7.04
2023-04-13 15:05:00,2023-04-13 15:30:00,S,133.301,133.11959,133.3917,133.11959,2.0,tp,2.28,0.25,2.03,9.07
2023-04-13 15:35:00,2023-04-13 23:35:00,S,132.93,132.61,133.39759,131.99482,0.684,time,4.02,0.25,3.77,12.84
2023-04-17 15:35:00,2023-04-17 23:35:00,L,134.031,134.444,133.72941,134.63419,1.369,time,5.19,0.25,4.94,17.78
2023-04-18 15:05:00,2023-04-18 15:30:00,L,133.903,134.01159,133.84871,134.01159,2.0,tp,1.36,0.25,1.11,18.89
2023-04-18 15:35:00,2023-04-18 23:35:00,L,134.022,134.076,133.84779,134.37042,0.31,time,0.68,0.25,0.43,19.32
2023-04-19 16:40:00,2023-04-19 17:50:00,L,134.38,134.57735,134.28133,134.57735,2.0,tp,2.48,0.25,2.23,21.55
2023-04-19 17:55:00,2023-04-20 01:55:00,L,134.59,134.717,134.28261,135.20478,0.413,time,1.6,0.25,1.35,22.9
2023-04-21 16:45:00,2023-04-21 16:45:00,L,133.617,133.793,133.529,133.793,2.0,tp,2.21,0.25,1.96,24.86
2023-04-21 16:50:00,2023-04-24 00:55:00,L,134.214,134.002,133.52841,135.58517,-0.309,time,-2.66,0.25,-2.91,21.95
2023-04-24 18:00:00,2023-04-24 20:30:00,L,134.431,134.32409,134.32409,134.64483,-1.0,sl,-1.34,0.25,-1.59,20.36
2023-04-27 15:15:00,2023-04-27 15:25:00,L,133.329,133.44831,133.26934,133.44831,2.0,tp,1.5,0.25,1.25,21.61
