exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-03 14:50:00,5.84,5.84,1005.84,0.0
2023-01-04 17:25:00,-3.22,2.62,1002.62,-0.32
2023-01-04 20:30:00,-6.93,-4.31,995.69,-1.01
2023-01-09 21:30:00,4.75,0.44,1000.44,-0.54
2023-01-11 00:05:00,6.3,6.74,1006.74,0.0
2023-01-11 16:15:00,-3.97,2.77,1002.77,-0.39
2023-01-13 04:10:00,-3.0,-0.23,999.77,-0.69
2023-01-13 16:45:00,4.37,4.14,1004.14,-0.26
2023-01-18 15:05:00,-2.13,2.01,1002.01,-0.47
2023-01-18 15:30:00,4.29,6.3,1006.3,-0.04
2023-01-18 17:00:00,-6.56,-0.26,999.74,-0.7
2023-01-23 17:45:00,4.11,3.85,1003.85,-0.29
2023-01-24 21:55:00,5.52,9.37,1009.37,0.0
2023-01-27 18:05:00,-4.06,5.31,1005.31,-0.4
2023-01-30 02:20:00,0.83,6.14,1006.14,-0.32
2023-01-31 00:10:00,0.26,6.4,1006.4,-0.29
2023-02-02 15:35:00,3.41,9.81,1009.81,0.0
2023-02-02 18:45:00,-3.82,5.99,1005.99,-0.38
2023-02-06 16:10:00,3.8,9.79,1009.79,-0.0
2023-02-06 17:20:00,10.32,20.11,1020.11,0.0
2023-02-07 06:00:00,-1.43,18.68,1018.68,-0.14
2023-02-10 22:05:00,11.24,29.92,1029.92,0.0
2023-02-13 20:45:00,6.83,36.75,1036.75,0.0
2023-02-14 15:10:00,-3.13,33.62,1033.62,-0.3
2023-02-14 16:30:00,-18.63,14.99,1014.99,-2.1
2023-02-15 00:55:00,6.44,21.43,1021.43,-1.48
2023-02-16 20:00:00,12.76,34.19,1034.19,-0.25
2023-02-16 23:00:00,-2.98,31.21,1031.21,-0.53
2023-02-21 01:00:00,0.81,32.02,1032.02,-0.46
2023-02-21 20:10:00,-4.85,27.17,1027.17,-0.92
2023-02-23 05:50:00,0.86,28.03,1028.03,-0.84
2023-02-23 17:50:00,-5.04,22.99,1022.99,-1.33
2023-02-27 17:25:00,2.5,25.49,1025.49,-1.09
2023-02-27 19:05:00,-6.98,18.51,1018.51,-1.76
2023-02-28 22:50:00,2.16,20.67,1020.67,-1.55
2023-03-01 14:30:00,3.29,23.96,1023.96,-1.23
