symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
USDMXN,2023Q1,53,27,50.94,0.374,1.82,True
USDMXN,2023Q2,33,18,54.55,0.378,2.09,True
USDMXN,2023Q3,41,30,73.17,0.863,4.22,True
USDMXN,2023Q4,42,27,64.29,0.762,3.24,True
USDMXN,2024Q1,53,31,58.49,0.567,2.48,True
USDMXN,2024Q2,31,19,61.29,0.675,2.88,True
USDMXN,2024Q3,41,22,53.66,0.595,2.61,True
USDMXN,2024Q4,36,18,50.0,0.339,1.7,True
USDMXN,2025Q1,42,25,59.52,0.569,2.51,True
USDMXN,2025Q2,48,31,64.58,0.809,3.48,True
USDMXN,2025Q3,49,33,67.35,0.855,3.91,True
USDMXN,2025Q4,52,25,48.08,0.355,1.74,True
USDMXN,2026Q1,24,14,58.33,0.75,2.8,False
