symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
USDMXN,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,255,55.29,0.659,2.21,80.0,47.29
USDMXN,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,276,52.9,0.587,2.0,80.0,44.9
USDMXN,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,227,54.19,0.626,2.12,60.0,36.19
USDMXN,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,248,52.02,0.56,1.94,60.0,34.02
USDMXN,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,166,54.22,0.627,2.08,40.0,26.22
USDMXN,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,164,53.66,0.61,2.02,40.0,25.66
USDMXN,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,586,48.46,0.454,1.61,40.0,20.46
USDMXN,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,531,48.21,0.446,1.6,40.0,20.21
USDMXN,OR,f_candle|f_ema,10,1,0.9,NY08-13,545,47.71,0.431,1.54,40.0,19.71
USDMXN,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,825,47.64,0.429,1.63,40.0,19.64
USDMXN,OR,f_candle|f_ema,10,1,0.9,NY08-12,499,47.49,0.425,1.53,40.0,19.49
USDMXN,OR,f_candle|f_ema,10,1,0.9,NY07-16,763,47.31,0.419,1.58,40.0,19.31
USDMXN,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,147,53.74,0.612,2.08,20.0,15.74
USDMXN,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,145,53.1,0.593,2.02,20.0,15.1
USDMXN,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,131,51.91,0.557,1.96,20.0,13.91
USDMXN,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,147,51.7,0.551,1.9,20.0,13.7
USDMXN,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,128,51.56,0.547,1.93,20.0,13.56
USDMXN,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,144,51.39,0.542,1.87,20.0,13.39
