symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
USDMXN,{'require_h1_rsi_align': True},209,59.81,0.794,2.75,80.0,51.81
USDMXN,{'require_macd_align': True},199,56.78,0.704,2.23,80.0,48.78
USDMXN,{'add_vol_confirm': True},299,56.19,0.686,2.33,80.0,48.19
USDMXN,{},255,55.29,0.659,2.21,80.0,47.29
USDMXN,{'adx_min': 18.0},229,53.71,0.611,2.07,80.0,45.71
USDMXN,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",184,58.7,0.761,2.61,60.0,40.7
USDMXN,"{'adx_min': 18.0, 'require_macd_align': True}",174,55.17,0.655,2.04,60.0,37.17
USDMXN,"{'require_h1_rsi_align': True, 'require_macd_align': True}",169,60.36,0.811,2.69,40.0,32.36
USDMXN,"{'adx_min': 18.0, 'add_vol_confirm': True}",274,54.38,0.631,2.16,40.0,26.38
USDMXN,{'adx_min': 22.0},169,53.85,0.615,2.06,40.0,25.85
USDMXN,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",121,58.68,0.76,2.52,0.0,10.68
