entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 14:10:00,2023-01-03 14:50:00,S,19.497,19.43608,19.52746,19.43608,2.0,tp,7.04,1.2,5.84,5.84
2023-01-04 17:15:00,2023-01-04 17:25:00,S,19.3674,19.38487,19.38487,19.33247,-1.0,sl,-2.02,1.2,-3.22,2.62
2023-01-04 18:10:00,2023-01-04 20:30:00,S,19.34,19.38957,19.38957,19.24086,-1.0,sl,-5.73,1.2,-6.93,-4.31
2023-01-09 16:10:00,2023-01-09 21:30:00,S,19.1654,19.11391,19.19114,19.11391,2.0,tp,5.95,1.2,4.75,0.44
2023-01-10 15:15:00,2023-01-10 19:30:00,S,19.14155,19.07869,19.17298,19.07869,2.0,tp,7.26,1.2,6.06,6.5
2023-01-11 15:05:00,2023-01-11 16:15:00,S,19.0606,19.08463,19.08463,19.01255,-1.0,sl,-2.77,1.2,-3.97,2.53
2023-01-12 22:30:00,2023-01-12 23:05:00,S,18.8509,18.83398,18.85936,18.83398,2.0,tp,1.95,1.2,0.75,3.28
2023-01-13 14:20:00,2023-01-13 14:40:00,S,18.8609,18.87475,18.87475,18.83321,-1.0,sl,-1.6,1.2,-2.8,0.48
2023-01-13 15:00:00,2023-01-13 15:05:00,S,18.8852,18.89829,18.89829,18.85903,-1.0,sl,-1.51,1.2,-2.71,-2.23
2023-01-13 15:40:00,2023-01-13 16:45:00,S,18.8849,18.82993,18.91239,18.82993,2.0,tp,6.35,1.2,5.15,2.92
2023-01-16 15:50:00,2023-01-16 23:50:00,S,18.8117,18.7739,18.84248,18.75013,1.228,time,4.37,1.2,3.17,6.09
2023-01-18 15:00:00,2023-01-18 15:05:00,S,18.631,18.63909,18.63909,18.61481,-1.0,sl,-0.93,1.2,-2.13,3.96
2023-01-18 15:25:00,2023-01-18 15:30:00,S,18.6533,18.6058,18.67705,18.6058,2.0,tp,5.49,1.2,4.29,8.25
2023-01-18 15:50:00,2023-01-18 17:00:00,S,18.6313,18.6777,18.6777,18.5385,-1.0,sl,-5.36,1.2,-6.56,1.69
2023-01-23 16:45:00,2023-01-23 17:45:00,S,18.86142,18.81545,18.8844,18.81545,2.0,tp,5.31,1.2,4.11,5.8
2023-01-24 17:20:00,2023-01-24 21:55:00,S,18.85891,18.80077,18.88798,18.80077,2.0,tp,6.72,1.2,5.52,11.32
