entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-23 17:05:00,2026-02-23 17:15:00,L,17.16439,17.18878,17.15219,17.18878,2.0,tp,2.82,1.2,1.62,1.62
2026-02-23 17:20:00,2026-02-23 19:10:00,L,17.188,17.25965,17.15218,17.25965,2.0,tp,8.28,1.2,7.08,8.7
2026-02-25 16:30:00,2026-02-25 17:30:00,S,17.18122,17.20704,17.20704,17.12959,-1.0,sl,-2.98,1.2,-4.18,4.52
2026-02-25 17:40:00,2026-02-25 18:00:00,S,17.19698,17.14667,17.22213,17.14667,2.0,tp,5.81,1.2,4.61,9.13
2026-02-25 23:00:00,2026-02-25 23:55:00,S,17.16822,17.15505,17.1748,17.15505,2.0,tp,1.52,1.2,0.32,9.45
2026-02-26 21:55:00,2026-02-26 21:55:00,L,17.201,17.19565,17.19565,17.21171,-1.0,sl,-0.62,1.2,-1.82,7.63
2026-03-02 14:05:00,2026-03-02 14:45:00,L,17.2765,17.32967,17.24992,17.32967,2.0,tp,6.14,1.2,4.94,12.57
2026-03-02 15:05:00,2026-03-02 21:35:00,L,17.35085,17.27491,17.27491,17.50273,-1.0,sl,-8.77,1.2,-9.97,2.6
2026-03-02 22:10:00,2026-03-03 06:10:00,L,17.31519,17.30649,17.26681,17.41196,-0.18,time,-1.0,1.2,-2.2,0.4
2026-03-03 20:45:00,2026-03-03 21:05:00,L,17.6081,17.64708,17.58861,17.64708,2.0,tp,4.5,1.2,3.3,3.7
2026-03-03 21:10:00,2026-03-04 05:10:00,L,17.66774,17.70865,17.58853,17.82616,0.516,time,4.73,1.2,3.53,7.23
2026-03-04 15:30:00,2026-03-04 16:35:00,L,17.5597,17.62639,17.52635,17.62639,2.0,tp,7.7,1.2,6.5,13.73
2026-03-09 14:45:00,2026-03-09 15:10:00,L,17.86526,17.82084,17.82084,17.9541,-1.0,sl,-5.13,1.2,-6.33,7.4
2026-03-13 14:45:00,2026-03-13 14:45:00,L,17.81423,17.79981,17.79981,17.84307,-1.0,sl,-1.67,1.2,-2.87,4.53
