entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2025-01-21 14:50:00,2025-01-21 15:30:00,L,20.72636,20.67779,20.67779,20.82349,-1.0,sl,-5.61,1.2,-6.81,-6.81
2025-01-21 16:25:00,2025-01-21 18:05:00,L,20.69722,20.6207,20.6207,20.85027,-1.0,sl,-8.84,1.2,-10.04,-16.85
2025-01-24 19:35:00,2025-01-24 19:50:00,S,20.2342,20.24945,20.24945,20.20369,-1.0,sl,-1.76,1.2,-2.96,-19.81
2025-01-24 20:00:00,2025-01-24 20:45:00,S,20.2436,20.26042,20.26042,20.20997,-1.0,sl,-1.94,1.2,-3.14,-22.95
2025-01-28 14:05:00,2025-01-28 15:10:00,L,20.6777,20.63346,20.63346,20.76618,-1.0,sl,-5.11,1.2,-6.31,-29.26
2025-01-29 16:25:00,2025-01-30 00:25:00,L,20.5594,20.50526,20.46023,20.75774,-0.546,time,-6.25,1.2,-7.45,-36.71
2025-01-30 22:05:00,2025-01-30 22:35:00,L,20.4254,20.48263,20.39678,20.48263,2.0,tp,6.61,1.2,5.41,-31.3
2025-01-31 16:05:00,2025-01-31 19:00:00,L,20.6547,20.6157,20.6157,20.7327,-1.0,sl,-4.5,1.2,-5.7,-37.0
2025-01-31 20:10:00,2025-01-31 20:15:00,L,20.50496,20.62087,20.44701,20.62087,2.0,tp,13.39,1.2,12.19,-24.81
2025-01-31 20:20:00,2025-02-03 00:25:00,L,20.696,21.2004,20.4438,21.2004,2.0,tp,58.26,1.2,57.06,32.25
2025-02-07 22:05:00,2025-02-10 00:10:00,L,20.5471,20.61428,20.51351,20.61428,2.0,tp,7.76,1.2,6.56,38.81
2025-02-10 15:30:00,2025-02-10 16:45:00,L,20.5803,20.63354,20.55368,20.63354,2.0,tp,6.15,1.2,4.95,43.76
2025-02-10 21:40:00,2025-02-10 21:45:00,L,20.6009,20.59001,20.59001,20.62267,-1.0,sl,-1.26,1.2,-2.46,41.3
2025-02-10 22:00:00,2025-02-10 22:15:00,L,20.5917,20.61392,20.58059,20.61392,2.0,tp,2.57,1.2,1.37,42.67
2025-02-10 22:20:00,2025-02-11 06:20:00,L,20.61604,20.6225,20.58078,20.68655,0.183,time,0.75,1.2,-0.45,42.22
2025-02-12 15:05:00,2025-02-12 15:30:00,L,20.5497,20.60101,20.52405,20.60101,2.0,tp,5.93,1.2,4.73,46.95
2025-02-12 15:35:00,2025-02-12 17:20:00,L,20.609,20.52251,20.52251,20.78197,-1.0,sl,-9.99,1.2,-11.19,35.76
