exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-04-04 19:10:00,-0.05,-0.05,999.95,0.0
2023-04-04 19:20:00,-0.07,-0.12,999.88,-0.01
2023-04-04 19:50:00,-0.06,-0.18,999.82,-0.01
2023-04-04 21:55:00,0.01,-0.17,999.83,-0.01
2023-04-05 23:50:00,-0.07,-0.24,999.76,-0.02
2023-05-16 18:05:00,0.09,-0.15,999.85,-0.01
2023-05-17 16:20:00,-0.05,-0.2,999.8,-0.02
2023-05-17 23:25:00,-0.08,-0.28,999.72,-0.02
2023-05-25 00:00:00,-0.08,-0.36,999.64,-0.03
2023-05-25 19:50:00,0.02,-0.34,999.66,-0.03
2023-05-29 19:10:00,-0.11,-0.45,999.55,-0.04
2023-05-30 22:05:00,-0.03,-0.48,999.52,-0.04
2023-05-31 17:55:00,-0.19,-0.67,999.33,-0.06
2023-05-31 23:00:00,0.26,-0.41,999.59,-0.04
2023-06-02 15:55:00,-0.06,-0.47,999.53,-0.04
2023-06-02 23:50:00,-0.18,-0.65,999.35,-0.06
2023-06-05 15:00:00,0.1,-0.55,999.45,-0.05
2023-06-05 23:05:00,-0.02,-0.57,999.43,-0.05
2023-06-06 23:50:00,-0.19,-0.76,999.24,-0.07
2023-06-07 14:30:00,0.45,-0.31,999.69,-0.03
2023-06-07 22:35:00,0.37,0.06,1000.06,0.0
2023-06-08 21:10:00,-0.27,-0.21,999.79,-0.03
2023-06-08 22:20:00,-0.56,-0.77,999.23,-0.08
2023-06-08 22:55:00,-0.41,-1.18,998.82,-0.12
2023-06-09 00:00:00,0.97,-0.21,999.79,-0.03
2023-06-13 02:55:00,0.1,-0.11,999.89,-0.02
2023-06-23 04:05:00,1.17,1.06,1001.06,0.0
2023-06-26 00:05:00,1.4,2.46,1002.46,0.0
2023-06-26 14:10:00,0.2,2.66,1002.66,0.0
2023-06-26 16:25:00,-0.82,1.84,1001.84,-0.08
2023-06-26 16:50:00,-0.45,1.39,1001.39,-0.13
2023-06-26 18:00:00,-0.61,0.78,1000.78,-0.19
2023-06-26 22:25:00,-0.36,0.42,1000.42,-0.22
2023-06-26 23:00:00,-0.17,0.25,1000.25,-0.24
2023-06-28 22:25:00,0.05,0.3,1000.3,-0.24
2023-07-18 22:10:00,0.12,0.42,1000.42,-0.22
