symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
USDTRY,2023Q2,35,14,40.0,0.046,1.08,False
USDTRY,2023Q3,16,2,12.5,-0.796,0.09,False
USDTRY,2023Q4,26,7,26.92,-0.319,0.56,False
USDTRY,2024Q1,82,21,25.61,-0.232,0.69,False
USDTRY,2024Q2,13,6,46.15,0.385,1.71,False
USDTRY,2024Q3,15,8,53.33,0.502,2.08,False
USDTRY,2024Q4,13,4,30.77,-0.077,0.89,False
USDTRY,2025Q1,10,3,30.0,-0.1,0.86,False
USDTRY,2025Q2,9,0,0.0,-1.0,0.0,False
USDTRY,2025Q3,11,0,0.0,-1.0,0.0,False
USDTRY,2025Q4,24,2,8.33,-0.69,0.19,False
USDTRY,2026Q1,6,0,0.0,-1.0,0.0,False
