symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
USDTRY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,1619,20.32,-0.39,0.43,0.0,-27.68
USDTRY,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,699,20.31,-0.391,0.39,0.0,-27.69
USDTRY,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,1124,19.57,-0.413,0.41,0.0,-28.43
USDTRY,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,625,19.36,-0.419,0.36,0.0,-28.64
USDTRY,OR,f_candle|f_ema,10,1,0.9,NY07-16,1512,18.98,-0.431,0.4,0.0,-29.02
USDTRY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,1129,18.95,-0.431,0.41,0.0,-29.05
USDTRY,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,1001,18.68,-0.44,0.38,0.0,-29.32
USDTRY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,413,18.64,-0.441,0.35,0.0,-29.36
USDTRY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,452,18.14,-0.456,0.35,0.0,-29.86
USDTRY,OR,f_candle|f_ema,10,1,0.9,NY08-13,1049,18.02,-0.459,0.39,0.0,-29.98
USDTRY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,787,17.53,-0.474,0.37,0.0,-30.47
USDTRY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,740,17.03,-0.489,0.35,0.0,-30.97
USDTRY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,664,16.87,-0.494,0.34,0.0,-31.13
USDTRY,OR,f_candle|f_ema,10,1,0.9,NY08-12,728,16.76,-0.497,0.37,0.0,-31.24
USDTRY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,253,16.21,-0.514,0.32,0.0,-31.79
USDTRY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,282,15.96,-0.521,0.32,0.0,-32.04
USDTRY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,543,15.1,-0.547,0.32,0.0,-32.9
USDTRY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,476,14.5,-0.565,0.3,0.0,-33.5
