symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
USDTRY,{},0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,{'adx_min': 18.0},0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,{'adx_min': 22.0},0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,{'require_h1_rsi_align': True},0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,{'require_macd_align': True},0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,"{'adx_min': 18.0, 'require_macd_align': True}",0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,"{'require_h1_rsi_align': True, 'require_macd_align': True}",0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,{'add_vol_confirm': True},0,0.0,0.0,0.0,0,-1000000000.0
USDTRY,"{'adx_min': 18.0, 'add_vol_confirm': True}",0,0.0,0.0,0.0,0,-1000000000.0
