entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 17:05:00,2023-01-03 20:45:00,L,18.72678,18.72273,18.72273,18.73488,-1.0,sl,-0.02,0.03,-0.05,-0.05
2023-01-03 20:55:00,2023-01-03 23:05:00,L,18.72163,18.70783,18.70783,18.74923,-1.0,sl,-0.08,0.03,-0.11,-0.16
2023-01-04 18:00:00,2023-01-04 23:40:00,L,18.73952,18.73273,18.73273,18.7531,-1.0,sl,-0.04,0.03,-0.07,-0.23
2023-01-05 19:50:00,2023-01-05 22:00:00,L,18.7637,18.75367,18.75367,18.78375,-1.0,sl,-0.06,0.03,-0.09,-0.32
2023-01-05 22:15:00,2023-01-05 22:15:00,L,18.75995,18.7517,18.7517,18.77646,-1.0,sl,-0.05,0.03,-0.08,-0.4
2023-01-05 22:25:00,2023-01-05 23:55:00,L,18.75847,18.75055,18.75055,18.77431,-1.0,sl,-0.05,0.03,-0.08,-0.48
2023-01-06 14:05:00,2023-01-06 17:05:00,L,18.7607,18.74862,18.74862,18.78487,-1.0,sl,-0.07,0.03,-0.1,-0.58
2023-01-06 17:25:00,2023-01-06 19:35:00,L,18.74788,18.68562,18.68562,18.8724,-1.0,sl,-0.37,0.03,-0.4,-0.98
2023-01-09 15:30:00,2023-01-09 16:05:00,L,18.77476,18.77032,18.77032,18.78363,-1.0,sl,-0.03,0.03,-0.06,-1.04
2023-01-09 16:25:00,2023-01-09 16:35:00,L,18.77171,18.76934,18.76934,18.77645,-1.0,sl,-0.01,0.03,-0.04,-1.08
2023-01-09 17:05:00,2023-01-09 17:40:00,L,18.77373,18.76822,18.76822,18.78476,-1.0,sl,-0.03,0.03,-0.06,-1.14
2023-01-09 20:20:00,2023-01-09 21:45:00,L,18.76158,18.77622,18.75426,18.77622,2.0,tp,0.09,0.03,0.06,-1.08
2023-01-10 16:15:00,2023-01-10 16:45:00,L,18.77244,18.76831,18.76831,18.7807,-1.0,sl,-0.02,0.03,-0.05,-1.13
2023-01-10 16:50:00,2023-01-10 16:50:00,L,18.77133,18.76747,18.76747,18.77905,-1.0,sl,-0.02,0.03,-0.05,-1.18
2023-01-10 17:00:00,2023-01-11 00:00:00,L,18.77222,18.76326,18.76326,18.79014,-1.0,sl,-0.05,0.03,-0.08,-1.26
