entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2026-02-20 17:05:00,2026-02-20 17:35:00,L,43.83335,43.82285,43.82285,43.85434,-1.0,sl,-0.06,0.03,-0.09,-0.09
2026-02-20 17:40:00,2026-02-20 18:55:00,L,43.83023,43.81285,43.81285,43.86498,-1.0,sl,-0.1,0.03,-0.13,-0.22
2026-02-27 14:05:00,2026-02-27 15:25:00,L,43.95008,43.94149,43.94149,43.96727,-1.0,sl,-0.05,0.03,-0.08,-0.3
2026-02-27 15:35:00,2026-02-27 17:10:00,L,43.94798,43.93971,43.93971,43.96452,-1.0,sl,-0.05,0.03,-0.08,-0.38
2026-02-27 17:20:00,2026-02-27 17:40:00,L,43.94919,43.93857,43.93857,43.97043,-1.0,sl,-0.06,0.03,-0.09,-0.47
2026-02-27 17:50:00,2026-02-27 19:45:00,L,43.93724,43.93069,43.93069,43.95034,-1.0,sl,-0.04,0.03,-0.07,-0.54
2026-03-06 15:45:00,2026-03-06 23:45:00,L,44.06297,44.04448,44.04256,44.1038,-0.906,time,-0.11,0.03,-0.14,-0.68
2026-03-13 15:25:00,2026-03-13 18:00:00,L,44.17932,44.17241,44.17241,44.19315,-1.0,sl,-0.04,0.03,-0.07,-0.75
2026-03-13 18:20:00,2026-03-13 20:20:00,L,44.17868,44.17,44.17,44.19605,-1.0,sl,-0.05,0.03,-0.08,-0.83
2026-03-13 20:45:00,2026-03-13 20:45:00,L,44.16293,44.15814,44.15814,44.17251,-1.0,sl,-0.03,0.03,-0.06,-0.89
2026-03-13 20:55:00,2026-03-13 21:25:00,L,44.15726,44.17805,44.14686,44.17805,2.0,tp,0.12,0.03,0.09,-0.8
2026-03-27 15:10:00,2026-03-27 18:00:00,L,44.45008,44.44399,44.44399,44.46227,-1.0,sl,-0.04,0.03,-0.07,-0.87
2026-03-27 21:40:00,2026-03-30 00:05:00,L,44.43159,44.41592,44.41592,44.46292,-1.0,sl,-0.09,0.03,-0.12,-0.99
2026-04-03 17:55:00,2026-04-03 18:00:00,L,44.58152,44.57549,44.57549,44.59359,-1.0,sl,-0.04,0.03,-0.07,-1.06
2026-04-03 18:25:00,2026-04-03 19:10:00,L,44.5794,44.57077,44.57077,44.59666,-1.0,sl,-0.05,0.03,-0.08,-1.14
2026-04-03 20:10:00,2026-04-03 21:35:00,L,44.57579,44.56379,44.56379,44.59978,-1.0,sl,-0.07,0.03,-0.1,-1.24
2026-04-03 22:45:00,2026-04-03 23:40:00,L,44.56699,44.55916,44.55916,44.58264,-1.0,sl,-0.05,0.03,-0.08,-1.32
2026-04-10 16:10:00,2026-04-10 16:30:00,L,44.66725,44.6553,44.6553,44.69115,-1.0,sl,-0.07,0.03,-0.1,-1.42
2026-04-10 16:45:00,2026-04-10 16:50:00,L,44.65166,44.64485,44.64485,44.66528,-1.0,sl,-0.04,0.03,-0.07,-1.49
2026-04-10 16:55:00,2026-04-10 18:25:00,L,44.6529,44.64361,44.64361,44.67147,-1.0,sl,-0.06,0.03,-0.09,-1.58
2026-04-13 16:05:00,2026-04-13 16:35:00,L,44.70218,44.71102,44.69776,44.71102,2.0,tp,0.05,0.03,0.02,-1.56
2026-04-13 16:40:00,2026-04-13 18:50:00,L,44.70719,44.69773,44.69773,44.7261,-1.0,sl,-0.06,0.03,-0.09,-1.65
2026-04-17 16:20:00,2026-04-17 23:35:00,L,44.83433,44.82319,44.82319,44.85661,-1.0,sl,-0.07,0.03,-0.1,-1.75
2026-04-24 17:35:00,2026-04-24 18:45:00,L,45.0154,45.0072,45.0072,45.0318,-1.0,sl,-0.05,0.03,-0.08,-1.83
2026-04-24 19:00:00,2026-04-24 19:00:00,L,45.01092,45.00149,45.00149,45.02979,-1.0,sl,-0.06,0.03,-0.09,-1.92
2026-04-24 19:20:00,2026-04-24 23:00:00,L,45.00796,44.99568,44.99568,45.03253,-1.0,sl,-0.07,0.03,-0.1,-2.02
2026-04-30 14:05:00,2026-04-30 17:50:00,L,45.17179,45.16643,45.16643,45.18251,-1.0,sl,-0.03,0.03,-0.06,-2.08
2026-04-30 18:10:00,2026-04-30 23:40:00,L,45.17308,45.16031,45.16031,45.19861,-1.0,sl,-0.08,0.03,-0.11,-2.19
2026-05-08 18:10:00,2026-05-08 20:20:00,L,45.35049,45.34102,45.34102,45.36943,-1.0,sl,-0.06,0.03,-0.09,-2.28
2026-05-08 20:35:00,2026-05-08 20:55:00,L,45.33653,45.32931,45.32931,45.35097,-1.0,sl,-0.04,0.03,-0.07,-2.35
2026-05-08 21:00:00,2026-05-08 21:00:00,L,45.33239,45.34023,45.32847,45.34023,2.0,tp,0.05,0.03,0.02,-2.33
2026-05-08 21:05:00,2026-05-08 22:15:00,L,45.34449,45.32848,45.32848,45.37651,-1.0,sl,-0.1,0.03,-0.13,-2.46
2026-05-08 22:25:00,2026-05-08 22:40:00,L,45.33546,45.32731,45.32731,45.35175,-1.0,sl,-0.05,0.03,-0.08,-2.54
2026-05-11 15:00:00,2026-05-11 16:25:00,L,45.3687,45.35986,45.35986,45.38639,-1.0,sl,-0.05,0.03,-0.08,-2.62
