entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-04-04 18:55:00,2023-04-04 19:10:00,L,19.22779,19.22391,19.22391,19.23554,-1.0,sl,-0.02,0.03,-0.05,-0.05
2023-04-04 19:15:00,2023-04-04 19:20:00,L,19.22697,19.21985,19.21985,19.24121,-1.0,sl,-0.04,0.03,-0.07,-0.12
2023-04-04 19:40:00,2023-04-04 19:50:00,L,19.22133,19.21671,19.21671,19.23058,-1.0,sl,-0.03,0.03,-0.06,-0.18
2023-04-04 20:15:00,2023-04-04 21:55:00,L,19.21667,19.22289,19.21356,19.22289,2.0,tp,0.04,0.03,0.01,-0.17
2023-04-05 19:30:00,2023-04-05 23:50:00,L,19.24719,19.23975,19.23975,19.26207,-1.0,sl,-0.04,0.03,-0.07,-0.24
2023-05-16 15:35:00,2023-05-16 18:05:00,L,19.6994,19.71864,19.68978,19.71864,2.0,tp,0.12,0.03,0.09,-0.15
2023-05-17 14:15:00,2023-05-17 16:20:00,L,19.75171,19.74904,19.74904,19.75705,-1.0,sl,-0.02,0.03,-0.05,-0.2
2023-05-17 16:30:00,2023-05-17 23:25:00,L,19.75454,19.74693,19.74693,19.76977,-1.0,sl,-0.05,0.03,-0.08,-0.28
2023-05-24 20:05:00,2023-05-25 00:00:00,L,19.895,19.88642,19.88642,19.91215,-1.0,sl,-0.05,0.03,-0.08,-0.36
2023-05-25 16:15:00,2023-05-25 19:50:00,L,19.92506,19.93281,19.92118,19.93281,2.0,tp,0.05,0.03,0.02,-0.34
2023-05-29 17:45:00,2023-05-29 19:10:00,L,20.08374,20.07106,20.07106,20.1091,-1.0,sl,-0.08,0.03,-0.11,-0.45
2023-05-30 14:05:00,2023-05-30 22:05:00,L,20.39004,20.38958,20.33789,20.49435,-0.009,time,-0.0,0.03,-0.03,-0.48
2023-05-31 14:05:00,2023-05-31 17:55:00,L,20.7065,20.68051,20.68051,20.75848,-1.0,sl,-0.16,0.03,-0.19,-0.67
2023-05-31 18:10:00,2023-05-31 23:00:00,L,20.70094,20.74905,20.67688,20.74905,2.0,tp,0.29,0.03,0.26,-0.41
2023-06-02 15:35:00,2023-06-02 15:55:00,L,20.8783,20.8728,20.8728,20.88929,-1.0,sl,-0.03,0.03,-0.06,-0.47
2023-06-02 18:15:00,2023-06-02 23:50:00,L,20.90188,20.87624,20.87624,20.95316,-1.0,sl,-0.15,0.03,-0.18,-0.65
2023-06-05 14:50:00,2023-06-05 15:00:00,L,21.21148,21.23322,21.20061,21.23322,2.0,tp,0.13,0.03,0.1,-0.55
2023-06-05 15:05:00,2023-06-05 23:05:00,L,21.22862,21.23034,21.20351,21.27885,0.068,time,0.01,0.03,-0.02,-0.57
2023-06-06 20:30:00,2023-06-06 23:50:00,L,21.49752,21.47074,21.47074,21.55108,-1.0,sl,-0.16,0.03,-0.19,-0.76
2023-06-07 14:05:00,2023-06-07 14:30:00,L,23.04188,23.12238,23.00163,23.12238,2.0,tp,0.48,0.03,0.45,-0.31
2023-06-07 14:35:00,2023-06-07 22:35:00,L,23.14278,23.20973,23.00173,23.42488,0.475,time,0.4,0.03,0.37,0.06
2023-06-08 21:10:00,2023-06-08 21:10:00,L,23.30634,23.26695,23.26695,23.38512,-1.0,sl,-0.24,0.03,-0.27,-0.21
2023-06-08 21:45:00,2023-06-08 22:20:00,L,23.09225,23.00362,23.00362,23.2695,-1.0,sl,-0.53,0.03,-0.56,-0.77
2023-06-08 22:35:00,2023-06-08 22:55:00,L,23.03093,22.96809,22.96809,23.15661,-1.0,sl,-0.38,0.03,-0.41,-1.18
2023-06-08 23:00:00,2023-06-09 00:00:00,L,23.04392,23.21076,22.9605,23.21076,2.0,tp,1.0,0.03,0.97,-0.21
2023-06-12 18:50:00,2023-06-13 02:55:00,L,23.60348,23.62454,23.53915,23.73215,0.327,time,0.13,0.03,0.1,-0.11
2023-06-22 19:10:00,2023-06-23 04:05:00,L,24.7033,24.90283,24.44137,25.22716,0.762,time,1.2,0.03,1.17,1.06
2023-06-23 16:10:00,2023-06-26 00:05:00,L,25.09201,25.32961,24.97321,25.32961,2.0,tp,1.43,0.03,1.4,2.46
2023-06-26 14:10:00,2023-06-26 14:10:00,L,25.8355,25.8733,25.8166,25.8733,2.0,tp,0.23,0.03,0.2,2.66
2023-06-26 14:55:00,2023-06-26 16:25:00,L,25.90953,25.77753,25.77753,26.17353,-1.0,sl,-0.79,0.03,-0.82,1.84
2023-06-26 16:40:00,2023-06-26 16:50:00,L,25.78166,25.71167,25.71167,25.92163,-1.0,sl,-0.42,0.03,-0.45,1.39
2023-06-26 17:05:00,2023-06-26 18:00:00,L,25.71833,25.62235,25.62235,25.91029,-1.0,sl,-0.58,0.03,-0.61,0.78
2023-06-26 22:20:00,2023-06-26 22:25:00,L,25.98459,25.9296,25.9296,26.09457,-1.0,sl,-0.33,0.03,-0.36,0.42
2023-06-26 22:40:00,2023-06-26 23:00:00,L,25.84373,25.8203,25.8203,25.8906,-1.0,sl,-0.14,0.03,-0.17,0.25
2023-06-28 21:20:00,2023-06-28 22:25:00,L,26.01664,26.03063,26.00964,26.03063,2.0,tp,0.08,0.03,0.05,0.3
2023-07-18 14:10:00,2023-07-18 22:10:00,L,26.92204,26.94778,26.82239,27.12135,0.258,time,0.15,0.03,0.12,0.42
2023-07-18 22:20:00,2023-07-18 23:05:00,L,26.94116,26.9249,26.9249,26.97369,-1.0,sl,-0.1,0.03,-0.13,0.29
2023-07-19 17:25:00,2023-07-19 19:05:00,L,26.87158,26.84746,26.84746,26.91982,-1.0,sl,-0.14,0.03,-0.17,0.12
2023-08-24 20:05:00,2023-08-24 20:05:00,S,25.65432,25.61722,25.61722,25.58013,1.0,sl,0.22,0.03,0.19,0.31
