exit_time,net_$,cum_net_$,equity_$,drawdown_%
2023-01-04 17:00:00,-9.46,-9.46,990.54,0.0
2023-01-04 21:00:00,-15.98,-25.44,974.56,-1.61
2023-01-05 06:35:00,0.12,-25.32,974.68,-1.6
2023-01-05 22:05:00,6.26,-19.06,980.94,-0.97
2023-01-09 19:35:00,-3.57,-22.63,977.37,-1.33
2023-01-09 21:50:00,7.67,-14.96,985.04,-0.56
2023-01-10 23:25:00,6.14,-8.82,991.18,0.0
2023-01-13 02:20:00,23.92,15.1,1015.1,0.0
2023-01-13 14:25:00,-4.34,10.76,1010.76,-0.43
2023-01-13 15:00:00,-5.86,4.9,1004.9,-1.0
2023-01-13 16:40:00,18.08,22.98,1022.98,0.0
2023-01-17 03:50:00,-2.1,20.88,1020.88,-0.21
2023-01-20 16:30:00,-3.9,16.98,1016.98,-0.59
2023-01-20 17:25:00,10.32,27.3,1027.3,0.0
2023-01-25 02:15:00,16.28,43.58,1043.58,0.0
2023-01-25 17:05:00,18.82,62.4,1062.4,0.0
2023-02-01 19:00:00,-13.49,48.91,1048.91,-1.27
2023-02-01 21:40:00,19.9,68.81,1068.81,0.0
2023-02-03 14:15:00,-2.13,66.68,1066.68,-0.2
2023-02-03 15:25:00,4.11,70.79,1070.79,0.0
2023-02-03 15:30:00,14.96,85.75,1085.75,0.0
2023-02-03 23:35:00,62.44,148.19,1148.19,0.0
2023-02-06 21:50:00,6.61,154.8,1154.8,0.0
2023-02-07 03:00:00,-10.36,144.44,1144.44,-0.9
2023-02-10 22:30:00,2.7,147.14,1147.14,-0.66
2023-02-13 14:05:00,2.68,149.82,1149.82,-0.43
2023-02-13 14:30:00,-5.89,143.93,1143.93,-0.94
2023-02-13 21:25:00,3.35,147.28,1147.28,-0.65
2023-02-14 02:15:00,-6.37,140.91,1140.91,-1.2
2023-02-14 16:30:00,33.49,174.4,1174.4,0.0
2023-02-15 03:50:00,-9.25,165.15,1165.15,-0.79
2023-02-17 15:45:00,-2.66,162.49,1162.49,-1.01
2023-02-17 17:00:00,-7.1,155.39,1155.39,-1.62
2023-02-22 01:50:00,0.6,155.99,1155.99,-1.57
2023-02-27 01:00:00,4.13,160.12,1160.12,-1.22
2023-02-27 15:35:00,-6.52,153.6,1153.6,-1.77
2023-03-08 16:30:00,-3.6,150.0,1150.0,-2.08
2023-03-08 22:55:00,14.99,164.99,1164.99,-0.8
2023-03-14 16:05:00,15.62,180.61,1180.61,0.0
2023-03-15 01:10:00,-5.52,175.09,1175.09,-0.47
2023-03-16 03:05:00,-22.96,152.13,1152.13,-2.41
2023-03-16 17:35:00,-7.65,144.48,1144.48,-3.06
2023-03-20 16:00:00,-16.89,127.59,1127.59,-4.49
2023-03-23 18:25:00,33.6,161.19,1161.19,-1.64
2023-03-24 18:00:00,-10.7,150.49,1150.49,-2.55
2023-03-31 16:05:00,-20.77,129.72,1129.72,-4.31
2023-04-04 04:10:00,-6.93,122.79,1122.79,-4.9
2023-04-04 16:25:00,12.56,135.35,1135.35,-3.83
2023-04-06 03:25:00,-3.84,131.51,1131.51,-4.16
2023-04-11 14:40:00,-1.91,129.6,1129.6,-4.32
2023-04-11 15:45:00,-2.94,126.66,1126.66,-4.57
2023-04-11 17:00:00,9.28,135.94,1135.94,-3.78
2023-04-13 22:00:00,-2.43,133.51,1133.51,-3.99
2023-04-14 04:55:00,12.06,145.57,1145.57,-2.97
2023-04-19 02:05:00,10.32,155.89,1155.89,-2.09
2023-04-25 20:55:00,31.21,187.1,1187.1,0.0
2023-04-26 16:20:00,19.42,206.52,1206.52,0.0
2023-05-03 15:10:00,-3.18,203.34,1203.34,-0.26
2023-05-03 18:05:00,19.13,222.47,1222.47,0.0
2023-05-04 17:20:00,25.66,248.13,1248.13,0.0
2023-05-09 16:45:00,6.72,254.85,1254.85,0.0
2023-05-10 01:50:00,15.06,269.91,1269.91,0.0
2023-05-10 15:30:00,20.34,290.25,1290.25,0.0
2023-05-10 18:10:00,-33.6,256.65,1256.65,-2.6
2023-05-15 16:45:00,11.28,267.93,1267.93,-1.73
2023-05-24 17:05:00,24.1,292.03,1292.03,0.0
2023-06-01 18:50:00,32.14,324.17,1324.17,0.0
2023-06-05 16:45:00,-4.23,319.94,1319.94,-0.32
2023-06-07 17:35:00,17.66,337.6,1337.6,0.0
2023-06-13 02:00:00,-1.99,335.61,1335.61,-0.15
2023-06-19 18:05:00,-5.14,330.47,1330.47,-0.53
2023-06-22 07:05:00,4.98,335.45,1335.45,-0.16
2023-06-27 16:35:00,-6.97,328.48,1328.48,-0.68
2023-06-28 18:20:00,-8.08,320.4,1320.4,-1.29
2023-06-29 17:50:00,-22.78,297.62,1297.62,-2.99
2023-07-06 15:15:00,8.51,306.13,1306.13,-2.35
2023-07-06 23:20:00,10.24,316.37,1316.37,-1.59
2023-07-13 14:35:00,-4.49,311.88,1311.88,-1.92
2023-07-14 01:05:00,1.0,312.88,1312.88,-1.85
2023-07-17 02:35:00,-6.14,306.74,1306.74,-2.31
2023-07-19 17:40:00,-7.11,299.63,1299.63,-2.84
2023-07-20 02:55:00,5.48,305.11,1305.11,-2.43
2023-07-26 18:10:00,8.62,313.73,1313.73,-1.78
2023-07-26 21:00:00,-5.79,307.94,1307.94,-2.22
2023-07-27 05:30:00,20.63,328.57,1328.57,-0.68
2023-07-27 15:25:00,7.58,336.15,1336.15,-0.11
2023-07-27 16:35:00,40.76,376.91,1376.91,0.0
2023-07-31 02:05:00,-2.43,374.48,1374.48,-0.18
2023-08-08 01:50:00,2.06,376.54,1376.54,-0.03
2023-08-11 23:35:00,6.48,383.02,1383.02,0.0
2023-08-16 02:00:00,14.66,397.68,1397.68,0.0
2023-08-17 19:45:00,19.48,417.16,1417.16,0.0
2023-08-21 16:35:00,7.07,424.23,1424.23,0.0
2023-08-22 01:40:00,-6.84,417.39,1417.39,-0.48
2023-08-29 17:00:00,12.65,430.04,1430.04,0.0
2023-08-30 23:20:00,-1.73,428.31,1428.31,-0.12
2023-09-06 01:45:00,10.86,439.17,1439.17,0.0
2023-09-06 16:00:00,6.16,445.33,1445.33,0.0
2023-09-07 02:25:00,5.06,450.39,1450.39,0.0
2023-09-07 22:40:00,1.35,451.74,1451.74,0.0
2023-09-08 03:05:00,-3.09,448.65,1448.65,-0.21
2023-09-12 02:20:00,7.32,455.97,1455.97,0.0
2023-09-13 15:30:00,-2.81,453.16,1453.16,-0.19
2023-09-14 02:05:00,7.0,460.16,1460.16,0.0
2023-09-14 15:15:00,-1.76,458.4,1458.4,-0.12
2023-09-14 19:20:00,-9.96,448.44,1448.44,-0.8
2023-09-18 17:00:00,-7.34,441.1,1441.1,-1.31
2023-09-19 19:45:00,-4.92,436.18,1436.18,-1.64
2023-09-20 22:00:00,-5.96,430.22,1430.22,-2.05
2023-09-22 02:50:00,-4.56,425.66,1425.66,-2.36
2023-09-25 15:05:00,-2.76,422.9,1422.9,-2.55
2023-09-28 18:00:00,20.53,443.43,1443.43,-1.15
2023-09-29 18:00:00,27.97,471.4,1471.4,0.0
2023-10-03 17:35:00,-20.68,450.72,1450.72,-1.41
2023-10-06 15:30:00,13.02,463.74,1463.74,-0.52
2023-10-17 23:50:00,-5.8,457.94,1457.94,-0.91
2023-10-18 20:25:00,23.27,481.21,1481.21,0.0
2023-10-20 18:00:00,24.82,506.03,1506.03,0.0
2023-10-23 01:00:00,-18.46,487.57,1487.57,-1.23
2023-10-23 16:35:00,-6.05,481.52,1481.52,-1.63
2023-10-24 02:20:00,-4.12,477.4,1477.4,-1.9
2023-10-26 03:35:00,11.78,489.18,1489.18,-1.12
2023-10-26 14:35:00,-2.21,486.97,1486.97,-1.27
2023-10-26 15:30:00,-5.69,481.28,1481.28,-1.64
2023-10-31 01:55:00,-3.22,478.06,1478.06,-1.86
2023-10-31 15:45:00,6.86,484.92,1484.92,-1.4
2023-10-31 16:15:00,17.41,502.33,1502.33,-0.25
2023-11-16 15:30:00,8.61,510.94,1510.94,0.0
2023-11-16 23:15:00,-1.39,509.55,1509.55,-0.09
2023-11-22 03:25:00,-6.98,502.57,1502.57,-0.55
2023-11-22 16:55:00,6.98,509.55,1509.55,-0.09
2023-11-27 18:35:00,-2.9,506.65,1506.65,-0.28
2023-11-28 03:55:00,10.98,517.63,1517.63,0.0
2023-11-28 16:20:00,19.38,537.01,1537.01,0.0
2023-11-30 04:20:00,-3.47,533.54,1533.54,-0.23
2023-12-07 15:40:00,13.14,546.68,1546.68,0.0
2023-12-08 05:05:00,6.88,553.56,1553.56,0.0
2023-12-14 15:30:00,-5.29,548.27,1548.27,-0.34
2023-12-14 23:50:00,-0.18,548.09,1548.09,-0.35
2023-12-20 05:30:00,3.36,551.45,1551.45,-0.14
2023-12-20 23:00:00,-13.14,538.31,1538.31,-0.98
2023-12-21 21:30:00,7.43,545.74,1545.74,-0.5
2023-12-26 03:35:00,9.07,554.81,1554.81,0.0
2023-12-28 01:20:00,4.67,559.48,1559.48,0.0
2023-12-28 20:05:00,-8.35,551.13,1551.13,-0.54
2024-01-08 01:05:00,3.18,554.31,1554.31,-0.33
2024-01-15 03:40:00,12.32,566.63,1566.63,0.0
2024-01-15 15:15:00,3.21,569.84,1569.84,0.0
2024-01-15 17:00:00,-3.69,566.15,1566.15,-0.24
2024-01-15 18:05:00,6.29,572.44,1572.44,0.0
2024-01-19 17:05:00,-6.41,566.03,1566.03,-0.41
2024-01-22 02:30:00,0.72,566.75,1566.75,-0.36
2024-01-26 15:30:00,5.4,572.15,1572.15,-0.02
2024-01-30 03:05:00,12.92,585.07,1585.07,0.0
2024-01-30 16:05:00,12.34,597.41,1597.41,0.0
2024-01-31 03:25:00,6.0,603.41,1603.41,0.0
2024-01-31 22:00:00,-16.64,586.77,1586.77,-1.04
2024-02-01 15:40:00,14.79,601.56,1601.56,-0.12
2024-02-07 15:35:00,6.18,607.74,1607.74,0.0
2024-02-07 23:15:00,-5.73,602.01,1602.01,-0.36
2024-02-12 16:20:00,16.07,618.08,1618.08,0.0
2024-02-12 20:35:00,-5.03,613.05,1613.05,-0.31
2024-02-12 21:25:00,2.97,616.02,1616.02,-0.13
2024-02-13 06:30:00,-0.38,615.64,1615.64,-0.15
2024-02-14 19:40:00,-3.41,612.23,1612.23,-0.36
2024-02-14 20:00:00,-2.5,609.73,1609.73,-0.52
2024-02-15 05:10:00,1.76,611.49,1611.49,-0.41
2024-02-21 02:00:00,-2.72,608.77,1608.77,-0.58
