symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
XAUUSD,2023Q1,46,23,50.0,0.371,1.79,True
XAUUSD,2023Q2,29,16,55.17,0.576,2.37,False
XAUUSD,2023Q3,38,22,57.89,0.455,2.19,True
XAUUSD,2023Q4,32,17,53.12,0.442,2.09,True
XAUUSD,2024Q1,39,22,56.41,0.54,2.4,True
XAUUSD,2024Q2,44,16,36.36,-0.026,0.96,False
XAUUSD,2024Q3,54,33,61.11,0.655,2.82,True
XAUUSD,2024Q4,50,24,48.0,0.373,1.76,True
XAUUSD,2025Q1,57,33,57.89,0.516,2.29,True
XAUUSD,2025Q2,28,14,50.0,0.386,1.79,False
XAUUSD,2025Q3,44,26,59.09,0.67,2.73,True
XAUUSD,2025Q4,40,21,52.5,0.454,2.07,True
XAUUSD,2026Q1,31,14,45.16,0.251,1.51,False
